Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","41,4  -2,6 (-5,91%)",47.0,41.0,44.0,44.0,44.0,41.4,41.4,42.96,15.8,94.22,4.048.000
"February, 2014","13,3  0,5 (3,91%)",13.6,12.0,12.8,13.0,13.3,12.1,13.3,12.76,44.7,122.64,1.564.843
"March, 2014","14,5  -0,4 (-2,68%)",15.9,13.9,14.9,14.1,14.8,13.9,14.5,13.99,52.0,28.13,393.641
"April, 2014","16,3  0,2 (1,24%)",17.2,15.0,16.1,16.1,16.3,16.0,16.3,16.080000000000002,58.1,30.32,487.654
"May, 2014","17,6  -0,6 (-3,3%)",19.4,17.0,18.2,17.7,19.4,17.6,17.6,19.24,66.4,1.28,25.000
"June, 2014","25,6  -1,5 (-5,54%)",28.9,25.3,27.1,27.2,27.2,25.6,25.6,26.93,96.6,73.48,1.979.000
"July, 2014","24,1  0 (0%)",25.7,22.5,24.1,24.1,24.3,24.0,24.1,24.12,90.9,96.7,2.332.000
"August, 2014","29,7  -0,1 (-0,34%)",31.8,27.8,29.8,29.8,29.9,29.7,29.7,29.79,11.2,92.1,2.744.000
"September, 2014","38,2  -0,2 (-0,52%)",41.0,35.8,38.4,38.4,39.0,38.1,38.2,38.5,14.41,162.950,6.273.000
"October, 2014",45  0 (0%),48.1,41.9,45.0,45.0,45.0,43.2,45.0,44.35,17.03,155.22,6.884.000
"November, 2014","44  -1,9 (-4,14%)",49.1,42.7,45.9,45.7,45.7,44.0,44.0,44.83,16.79,90.52,4.058.000
"December, 2014","42,9  2,8 (6,98%)",42.9,37.3,40.1,40.2,42.9,40.2,42.9,41.83,16.369999999999997,149.61,6.258.000
"January, 2015","46,7  -3,3 (-6,6%)",53.5,46.5,50.0,48.5,48.6,46.7,46.7,48.31,18.33,181.57,8.771.000
"February, 2015",43  0 (0%),46.0,40.0,43.0,43.1,43.4,42.7,43.0,43.010000000000005,16.869999999999997,190.95,8.213.000
"March, 2015","26  0,4 (1,56%)",27.3,23.9,25.6,26.0,26.0,25.0,26.0,25.62,25.34,398.450,10.209.000
"April, 2015","22,4  0 (0%)",23.9,20.9,22.4,22.5,22.7,22.2,22.4,22.45,21.83,139.71,3.136.000
"May, 2015","21,4  -0,5 (-2,28%)",23.4,20.4,21.9,21.8,21.8,21.3,21.4,21.49,20.86,220.300,4.735.000
"June, 2015","20  -0,8 (-3,85%)",22.2,19.4,20.8,20.8,20.8,19.9,20.0,20.25,19.49,650.450,13.171.000
"July, 2015","15  0,1 (0,67%)",15.9,13.9,14.9,15.0,15.2,14.9,15.0,15.0,19.26,412.07,6.181.000
"August, 2015","13,9  -0,7 (-4,79%)",15.6,13.6,14.6,14.5,14.6,13.9,13.9,14.18,18.99,178.01,2.524.000
"September, 2015","12,7  0 (0%)",13.5,11.9,12.7,13.0,13.1,12.6,12.7,12.919999999999998,17.48,32.050,414.000
"October, 2015","12,3  0 (0%)",13.1,11.5,12.3,12.3,12.4,12.2,12.3,12.29,16.64,747.160,9.185.000
"November, 2015","14  -0,3 (-2,1%)",15.3,13.3,14.3,14.2,14.3,13.8,14.0,14.0,18.94,1.984.870,27.791.000
"December, 2015","13,9  0,4 (2,96%)",14.1,12.3,13.5,13.6,13.9,13.5,13.9,13.81,18.14,1.352.100,18.648.000
"January, 2016","16,1  0,1 (0,63%)",17.1,14.9,16.0,16.0,16.2,15.8,16.1,16.02,24.12,1.710.390,27.400.000
"February, 2016","18,6  -0,2 (-1,06%)",20.1,17.5,18.8,18.6,18.7,18.4,18.6,18.52,27.860000000000003,2.698.390,49.983.000
"March, 2016","10,3  -0,7 (-6,36%)",11.7,10.3,11.0,11.1,11.1,10.3,10.3,10.61,14.8,2.765.440,29.626.000
"April, 2016","8,1  0 (0%)",86.0,76.0,81.0,81.0,82.0,79.0,81.0,80.3,13.37,2.288.160,18.369.000
"May, 2016","7,2  -0,2 (-2,7%)",79.0,69.0,74.0,72.0,75.0,72.0,72.0,72.9,97.7,1.593.940,11.719.813
"June, 2016","5,8  -0,3 (-4,92%)",65.0,57.0,61.0,58.0,61.0,58.0,58.0,59.1,72.4,1.729.780,10.218.000
"July, 2016","5,2  0 (0%)",55.0,49.0,52.0,52.0,54.0,52.0,52.0,52.5,62.8,858.860,4.512.000
"August, 2016","4  -0,1 (-2,44%)",43.0,39.0,41.0,41.0,42.0,4.0,4.0,40.6,45.7,535.930,2.173.000
"September, 2016","3,17  0,03 (0,96%)",33.5,29.3,31.4,31.8,31.8,30.2,31.7,30.9,36.6,1.417.050,4.379.000
"October, 2016","2,95  -0,14 (-4,53%)",33.0,28.8,30.9,31.0,31.0,29.2,29.5,3.0,29.6,1.299.130,3.894.000
"November, 2016","2,94  0,04 (1,38%)",31.0,27.0,29.0,29.5,29.8,29.0,29.4,29.4,29.2,928.990,2.723.000
"December, 2016","2,63  -0,02 (-0,75%)",28.3,24.7,26.5,26.5,26.5,26.0,26.3,26.1,26.1,277.82,726.0
"January, 2017","2,47  -0,04 (-1,59%)",26.8,23.4,25.1,24.0,25.1,24.0,24.7,24.5,24.4,473.48,1.158.000
"February, 2017","3,01  0 (0%)",32.2,28.0,30.1,30.2,30.6,29.8,30.1,30.1,29.7,985.550,2.968.000
"March, 2017","2,78  -0,08 (-2,8%)",30.6,26.6,28.6,28.6,28.7,27.8,27.8,28.1,27.1,1.081.740,3.038.000
"April, 2017","2,79  0,04 (1,45%)",29.4,25.6,27.5,27.5,28.2,27.0,27.9,27.8,27.2,826.990,2.295.000
"May, 2017","3,64  0 (0%)",38.9,33.9,36.4,36.5,36.6,35.9,36.4,36.3,35.5,455.570,1.655.000
"June, 2017","4,31  -0,02 (-0,46%)",46.3,40.3,43.3,43.8,44.9,40.5,43.1,43.5,42.0,3.461.090,15.061.000
"July, 2017","5,19  0,13 (2,57%)",54.1,47.1,50.6,50.2,53.1,5.0,51.9,51.6,50.6,1.202.780,6.204.000
"August, 2017","4,75  -0,07 (-1,45%)",51.5,44.9,48.2,48.0,49.2,47.5,47.5,48.1,46.3,1.441.840,6.942.000
"September, 2017","4,16  -0,27 (-6,09%)",47.4,41.2,44.3,44.3,45.0,41.6,41.6,42.9,40.6,1.774.690,7.614.000
"October, 2017","3,81  -0,2 (-4,99%)",42.9,37.3,40.1,39.6,4.0,38.1,38.1,38.8,37.2,1.412.750,5.487.000
"November, 2017","3,97  0,05 (1,28%)",41.9,36.5,39.2,39.4,39.7,38.5,39.7,38.9,38.7,818.200,3.186.000
"December, 2017","3,7  -0,03 (-0,8%)",39.9,34.7,37.3,37.4,37.8,37.0,37.0,37.3,36.1,598.790,2.235.000
"January, 2018","2,87  -0,07 (-2,38%)",31.4,27.4,29.4,28.7,29.2,28.7,28.7,28.9,28.0,469.970,1.357.000
"February, 2018","2,42  -0,04 (-1,63%)",26.3,22.9,24.6,24.5,24.7,24.2,24.2,24.5,23.6,309.29,757.0
"March, 2018","2,24  -0,01 (-0,44%)",24.0,21.0,22.5,22.5,22.7,22.3,22.4,22.5,21.9,299.000,672.000
"April, 2018","1,95  -0,08 (-3,94%)",21.7,18.9,20.3,20.3,20.4,19.5,19.5,19.9,19.0,373.86,745.000
"May, 2018","1,86  0,06 (3,33%)",19.2,16.8,18.0,17.9,18.6,17.8,18.6,18.1,18.1,152.23,276.000
"June, 2018","1,8  -0,02 (-1,1%)",19.4,17.0,18.2,18.0,18.3,17.9,18.0,18.0,17.6,98.12,177.0
