Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","15,05  -0,05 (-0,33%)",16.15,14.05,15.1,15.0,15.1,15.0,15.05,15.01,0.0,600.570,9.014.000
"February, 2020","15,05  0 (0%)",16.1,14.0,15.05,15.05,15.1,15.0,15.05,15.01,0.0,671.470,10.079.000
"March, 2020","16,1  1,05 (6,98%)",16.1,14.0,15.05,15.05,16.1,15.0,16.1,15.580000000000002,0.0,1.836.420,28.618.000
"April, 2020","16,6  0,5 (3,11%)",17.2,15.0,16.1,16.9,17.0,16.5,16.6,16.72,0.0,950.190,15.890.000
"May, 2020","15,1  -0,1 (-0,66%)",16.25,14.15,15.2,15.2,15.25,15.05,15.1,15.13,0.0,378.570,5.729.000
"June, 2020","15,15  0,05 (0,33%)",16.15,14.05,15.1,15.0,15.2,15.0,15.15,15.09,0.0,258.010,3.893.000
"July, 2020","16,35  -0,25 (-1,51%)",17.75,15.45,16.6,16.5,16.9,16.35,16.35,16.52,0.0,679.540,11.223.000
"August, 2020","16,1  -0,25 (-1,53%)",17.45,15.25,16.35,16.1,16.4,16.0,16.1,16.15,0.0,1.088.380,17.575.000
"September, 2020","17,9  -1,3 (-6,77%)",20.5,17.9,19.2,18.5,18.6,17.9,17.9,18.02,0.0,1.485.190,26.768.000
"October, 2020","15,1  0 (0%)",16.15,14.05,15.1,15.05,15.1,14.95,15.1,15.01,0.0,456.280,6.848.000
"November, 2020","15,1  0 (0%)",16.15,14.05,15.1,15.0,15.2,14.95,15.1,15.01,0.0,493.460,7.408.000
"December, 2020","19,7  -0,3 (-1,5%)",21.4,18.6,20.0,20.0,20.0,19.5,19.7,19.66,0.0,1.212.110,23.827.000
"January, 2021","14,75  0,7 (4,98%)",15.0,13.1,14.05,13.35,15.0,13.35,14.75,14.669999999999998,0.0,999.300,14.664.000
"February, 2021","15,1  0 (0%)",16.15,14.05,15.1,14.95,15.15,14.95,15.1,15.05,0.0,566.300,8.521.000
"March, 2021","15,2  0,05 (0,33%)",16.2,14.1,15.15,15.3,15.3,15.1,15.2,15.16,0.0,424.000,6.426.000
"April, 2021","14,6  -0,15 (-1,02%)",15.75,13.75,14.75,14.9,14.9,14.6,14.6,14.71,0.0,463.900,6.822.000
"May, 2021","15  0,1 (0,67%)",15.9,13.9,14.9,14.7,15.0,14.6,15.0,14.75,0.0,708.100,10.441.000
"June, 2021","15  -0,3 (-1,96%)",16.35,14.25,15.3,15.35,15.5,14.9,15.0,15.28,0.0,1.358.200,20.753.000
"July, 2021","13,9  -0,25 (-1,77%)",15.1,13.2,14.15,14.0,14.25,13.7,13.9,14.03,0.0,652.900,9.162.000
"August, 2021","15,05  -0,25 (-1,63%)",16.35,14.25,15.3,15.6,16.0,15.05,15.05,15.44,0.0,1.980.900,30.591.000
"September, 2021","14,65  -0,25 (-1,68%)",15.9,13.9,14.9,15.0,15.15,14.65,14.65,14.919999999999998,0.0,556.700,8.305.000
"October, 2021","17  -0,2 (-1,16%)",18.4,16.0,17.2,16.85,17.4,16.8,17.0,17.05,0.0,2.046.900,34.890.000
"November, 2021","16,8  -0,2 (-1,18%)",18.15,15.85,17.0,16.9,17.15,16.6,16.8,16.9,0.0,1.817.800,30.722.000
"December, 2021","16,5  -0,1 (-0,6%)",17.75,15.45,16.6,16.55,16.95,16.3,16.5,16.45,0.0,715.800,11.774.000
