Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11,1  0 (0%)",11.8,10.4,11.1,11.0,11.5,11.0,11.1,11.32,11.64,1.850.790,20.955.000
"February, 2014","8,9  0 (0%)",95.0,83.0,89.0,9.0,9.0,87.0,89.0,88.5,91.8,732.460,6.482.304
"March, 2014","10,8  0,2 (1,89%)",11.3,99.0,10.6,10.7,10.9,10.7,10.8,10.83,10.95,906.060,9.814.493
"April, 2014","10,1  0,1 (1%)",10.7,93.0,10.0,96.0,10.2,96.0,10.1,10.01,99.5,130.190,1.302.761
"May, 2014","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,84.0,84.0,82.0,83.0,82.7,87.0,423.940,3.507.000
"June, 2014","9,6  0 (0%)",10.2,9.0,96.0,96.0,98.0,95.0,96.0,96.1,10.07,579.720,5.569.000
"July, 2014","10,3  0,2 (1,98%)",10.8,94.0,10.1,10.0,10.4,10.0,10.3,10.18,10.8,417.880,4.254.000
"August, 2014","10,4  0 (0%)",11.1,97.0,10.4,10.4,10.5,10.3,10.4,10.38,10.91,1.607.290,16.676.000
"September, 2014","9,9  0,2 (2,06%)",10.3,91.0,97.0,97.0,10.1,97.0,99.0,99.0,10.38,685.290,6.787.000
"October, 2014","10  0,4 (4,17%)",10.2,9.0,96.0,97.0,10.0,96.0,10.0,98.2,10.49,1.287.870,12.646.000
"November, 2014","11,1  0,5 (4,72%)",11.3,99.0,10.6,10.6,11.3,10.6,11.1,11.07,11.64,3.251.630,35.981.000
"December, 2014","10,5  0,5 (5%)",10.7,93.0,10.0,10.3,10.5,10.1,10.5,10.37,11.01,4.509.105,47.716.000
"January, 2015","12,4  -0,1 (-0,8%)",13.3,11.7,12.5,12.5,12.7,12.1,12.4,12.4,13.0,2.851.990,35.369.000
"February, 2015","12,1  0,3 (2,54%)",12.6,11.0,11.8,11.8,12.2,11.7,12.1,11.97,12.69,1.908.510,22.857.000
"March, 2015","11  -0,2 (-1,79%)",11.9,10.5,11.2,11.3,11.4,10.9,11.0,11.21,11.54,1.250.740,14.016.000
"April, 2015","10,3  -0,2 (-1,9%)",11.2,98.0,10.5,10.3,10.4,10.1,10.3,10.25,10.96,385.190,3.950.000
"May, 2015","10,2  0 (0%)",10.9,95.0,10.2,10.3,10.4,10.1,10.2,10.25,10.85,1.035.260,10.613.000
"June, 2015","11,3  0 (0%)",12.0,10.6,11.3,11.3,11.4,11.2,11.3,11.32,12.02,4.933.290,55.473.000
"July, 2015","14,8  0,4 (2,78%)",15.4,13.4,14.4,14.4,15.0,14.4,14.8,14.71,15.75,1.426.610,20.871.000
"August, 2015","16,7  0,1 (0,6%)",17.7,15.5,16.6,16.6,16.8,16.5,16.7,16.669999999999998,17.990000000000002,2.910.490,48.380.000
"September, 2015","17,5  -0,2 (-1,13%)",18.9,16.5,17.7,17.8,17.8,17.5,17.5,17.64,19.41,267.190,4.714.000
"October, 2015","20,7  0,8 (4,02%)",21.2,18.6,19.9,19.9,20.7,19.8,20.7,20.08,24.02,402.320,8.080.000
"November, 2015","24,6  -0,2 (-0,81%)",26.5,23.1,24.8,24.8,24.8,24.4,24.6,24.62,28.55,812.130,20.070.000
"December, 2015","29  1,7 (6,23%)",28.5,24.9,27.3,27.4,29.0,27.2,29.0,28.17,36.32,1.461.050,40.779.000
"January, 2016","32  -0,1 (-0,31%)",34.3,29.9,32.1,31.8,32.4,31.6,32.0,32.06,42.64,1.395.620,45.260.000
"February, 2016","30,6  -0,6 (-1,92%)",33.3,29.1,31.2,30.6,31.3,30.5,30.6,31.06,40.77,409.94,12.731.000
"March, 2016","24,8  -0,5 (-1,98%)",27.0,23.6,25.3,25.0,25.3,24.1,24.8,24.67,30.21,843.180,20.863.000
"April, 2016","30  0,7 (2,39%)",31.3,27.3,29.3,29.3,30.2,29.1,30.0,29.75,40.97,723.690,21.529.000
"May, 2016","36,9  1,4 (3,94%)",37.9,33.1,35.5,36.9,37.6,35.8,36.9,36.88,53.38,722.52,26.494.000
"June, 2016","37,8  0,2 (0,53%)",40.2,35.0,37.6,37.8,38.3,37.6,37.8,37.85,56.15,438.4,16.600.000
"July, 2016","23,1  -1,7 (-6,85%)",26.5,23.1,24.8,23.1,23.1,23.1,23.1,23.1,32.13,1.048.550,24.221.251
"August, 2016","13,4  0,8 (6,35%)",13.4,11.8,12.6,13.4,13.4,13.4,13.4,13.4,15.23,419.040,5.375.000
"September, 2016","8,04  0,52 (6,91%)",80.4,7.0,75.2,75.2,80.4,75.0,80.4,79.0,86.8,101.530,802.000
"October, 2016","8,03  -0,28 (-3,37%)",88.9,77.3,83.1,83.0,83.2,80.1,80.3,81.4,81.9,172.8,1.406.000
"November, 2016","4,71  0,3 (6,8%)",47.1,41.1,44.1,46.9,47.1,46.9,47.1,47.1,44.5,29.206.690,128.730.000
"December, 2016","5,39  -0,4 (-6,91%)",61.9,53.9,57.9,53.9,53.9,53.9,53.9,53.9,50.9,34.09,184.000
"January, 2017","5,2  0,11 (2,16%)",54.4,47.4,50.9,50.8,54.0,5.0,52.0,51.6,5.0,35.58,183.000
"February, 2017","6,36  -0,14 (-2,15%)",69.5,60.5,65.0,69.0,69.5,63.6,63.6,67.6,61.1,412.31,2.788.000
"March, 2017","7,3  -0,21 (-2,8%)",80.3,69.9,75.1,75.1,79.0,73.0,73.0,75.0,71.7,21.712.840,152.035.257
"April, 2017","6,85  -0,3 (-4,2%)",76.5,66.5,71.5,72.2,72.2,68.5,68.5,69.1,67.3,282.160,1.951.000
"May, 2017","8,4  0 (0%)",89.8,78.2,84.0,86.0,86.5,83.5,84.0,84.6,82.5,375.48,3.178.000
"June, 2017","7,65  0,25 (3,38%)",79.1,68.9,74.0,73.5,78.0,73.5,76.5,75.4,75.2,366.51,2.765.000
"July, 2017","7,5  0,02 (0,27%)",8.0,69.6,74.8,74.5,75.0,73.0,75.0,73.9,73.7,343.91,2.540.000
"August, 2017","7,21  -0,16 (-2,17%)",78.8,68.6,73.7,74.0,74.0,72.1,72.1,72.5,70.8,197.5,1.431.000
"September, 2017","7,61  -0,29 (-3,67%)",84.5,73.5,79.0,8.0,8.0,76.1,76.1,76.9,74.8,137.27,1.055.000
"October, 2017","7,6  -0,1 (-1,3%)",82.3,71.7,77.0,79.0,79.0,74.3,76.0,75.9,74.7,197.470,1.499.000
"November, 2017","6,55  -0,21 (-3,11%)",72.3,62.9,67.6,68.0,68.0,65.0,65.5,66.4,64.4,226.900,1.506.000
"December, 2017","7,39  0,19 (2,64%)",77.0,67.0,72.0,7.0,73.9,7.0,73.9,72.2,72.6,1.012.690,7.217.355
"January, 2018","7,7  -0,45 (-5,52%)",87.2,75.8,81.5,84.0,84.9,77.0,77.0,80.6,75.7,1.272.090,10.249.000
"February, 2018","6,76  -0,14 (-2,03%)",73.8,64.2,69.0,69.0,69.0,67.6,67.6,67.9,66.4,459.67,3.121.000
"March, 2018","6,05  0,04 (0,67%)",64.3,55.9,60.1,61.0,61.2,60.1,60.5,60.6,59.4,189.38,1.148.000
"April, 2018","5,12  0,19 (3,85%)",52.7,45.9,49.3,51.9,51.9,49.3,51.2,50.1,50.3,537.640,2.692.000
"May, 2018","4,06  0,26 (6,84%)",40.6,35.4,38.0,38.2,40.6,38.0,40.6,39.6,39.9,381.14,1.508.000
"June, 2018","4,03  0,03 (0,75%)",42.8,37.2,4.0,40.3,40.6,39.5,40.3,40.1,39.6,7.973.760,29.714.800
"July, 2018","3,18  -0,2 (-5,92%)",36.1,31.5,33.8,32.1,33.7,31.8,31.8,32.3,31.2,1.239.650,4.004.000
"August, 2018","3,54  0,06 (1,72%)",37.2,32.4,34.8,33.0,35.5,32.5,35.4,33.8,34.8,1.960.640,6.635.000
"September, 2018","5,6  0 (0%)",59.9,52.1,56.0,57.0,57.0,54.5,56.0,55.3,55.0,1.041.540,5.759.000
"October, 2018","3,84  -0,28 (-6,8%)",44.0,38.4,41.2,38.4,42.8,38.4,38.4,39.2,37.7,7.042.250,27.628.000
"November, 2018","3,15  -0,02 (-0,63%)",33.9,29.5,31.7,31.7,31.9,31.5,31.5,31.6,30.9,442.810,1.401.000
"December, 2018","3,25  -0,03 (-0,91%)",35.0,30.6,32.8,32.4,33.8,32.4,32.5,32.6,31.9,233.910,763.000
"January, 2019","2,76  -0,19 (-6,44%)",31.5,27.5,29.5,28.6,29.6,27.5,27.6,28.1,26.6,1.076.620,3.030.000
"February, 2019","2,96  -0,07 (-2,31%)",32.4,28.2,30.3,30.9,30.9,29.5,29.6,3.0,28.5,658.520,1.973.000
"March, 2019","3,66  0,01 (0,27%)",39.0,34.0,36.5,37.0,37.0,36.0,36.6,36.4,35.3,566.930,2.065.000
"April, 2019","3,3  -0,13 (-3,79%)",36.7,31.9,34.3,32.0,33.0,31.9,33.0,32.4,31.8,3.047.540,9.861.000
"May, 2019","3,42  -0,13 (-3,66%)",37.9,33.1,35.5,35.3,35.5,34.0,34.2,34.8,33.0,1.334.720,4.641.000
"June, 2019","3,37  -0,01 (-0,3%)",36.1,31.5,33.8,34.2,35.6,33.5,33.7,34.4,32.5,2.075.610,7.144.000
"July, 2019","3,06  -0,06 (-1,92%)",33.3,29.1,31.2,30.8,31.4,30.6,30.6,30.8,29.5,902.910,2.777.000
"August, 2019","3,06  0 (0%)",32.7,28.5,30.6,30.6,30.8,30.6,30.6,30.6,29.5,528.010,1.617.000
"September, 2019","2,84  -0,02 (-0,7%)",30.6,26.6,28.6,28.8,28.8,28.3,28.4,28.5,27.4,346.46,989.000
"October, 2019","2,83  -0,14 (-4,71%)",31.7,27.7,29.7,29.3,29.4,28.1,28.3,28.7,27.3,1.332.040,3.811.402
"November, 2019","2,79  -0,01 (-0,36%)",29.9,26.1,28.0,28.0,28.4,27.9,27.9,28.0,26.9,363.540,1.017.000
"December, 2019","2,64  -0,01 (-0,38%)",28.3,24.7,26.5,25.9,26.5,25.8,26.4,26.1,25.4,488.82,1.274.000
"January, 2020","2,48  -0,17 (-6,42%)",28.3,24.7,26.5,26.5,26.8,24.7,24.8,25.5,23.7,762.830,1.945.000
"February, 2020","2,75  -0,07 (-2,48%)",30.1,26.3,28.2,28.3,28.3,27.2,27.5,27.6,26.3,777.470,2.145.000
"March, 2020","1,84  -0,02 (-1,08%)",19.9,17.3,18.6,18.6,19.6,17.3,18.4,19.1,18.4,536.410,1.026.000
"April, 2020","2,12  0,02 (0,95%)",22.4,19.6,21.0,21.2,21.4,20.9,21.2,21.1,21.2,1.423.490,3.002.000
"May, 2020","2,91  0,19 (6,99%)",29.1,25.3,27.2,27.2,29.1,27.1,29.1,28.8,29.1,4.941.400,14.226.000
"June, 2020","2,81  -0,12 (-4,1%)",31.3,27.3,29.3,29.3,3.0,27.4,28.1,28.8,0.0,1.947.850,5.610.000
"July, 2020","2,84  0,18 (6,77%)",28.4,24.8,26.6,26.9,28.4,26.1,28.4,28.0,0.0,1.497.900,4.188.000
"August, 2020","4,41  0,28 (6,78%)",44.1,38.5,41.3,44.1,44.1,41.3,44.1,43.6,0.0,22.812.920,99.422.000
"September, 2020","5,49  0,1 (1,86%)",57.6,50.2,53.9,53.9,55.0,53.5,54.9,54.1,0.0,3.338.950,18.075.000
"October, 2020","6,41  -0,29 (-4,33%)",71.6,62.4,67.0,69.9,71.6,62.4,64.1,66.1,0.0,6.168.710,40.783.000
"November, 2020","5,79  -0,14 (-2,36%)",63.4,55.2,59.3,59.8,59.8,56.1,57.9,58.4,0.0,3.393.850,19.814.000
"December, 2020","6,15  0 (0%)",65.8,57.2,61.5,62.2,63.8,61.1,61.5,62.0,0.0,5.477.690,33.964.000
"January, 2021","4,94  0,11 (2,28%)",51.6,45.0,48.3,45.0,50.5,45.0,49.4,47.0,0.0,6.442.900,30.259.000
"February, 2021","5,06  -0,03 (-0,59%)",54.4,47.4,50.9,50.1,50.9,49.9,50.6,50.4,0.0,1.801.300,9.072.000
"March, 2021","7,2  -0,16 (-2,17%)",78.7,68.5,73.6,73.4,73.5,70.1,72.0,71.9,0.0,7.167.400,51.502.000
"April, 2021","7,65  0,12 (1,59%)",80.5,70.1,75.3,80.5,80.5,76.5,76.5,78.9,0.0,16.748.800,132.193.000
"May, 2021","6,28  -0,29 (-4,41%)",70.2,61.2,65.7,65.7,65.7,62.5,62.8,63.5,0.0,5.583.400,35.446.000
"June, 2021","7,78  -0,12 (-1,52%)",84.5,73.5,79.0,78.5,81.2,77.3,77.8,79.0,0.0,8.545.900,67.483.000
"July, 2021","7,13  -0,07 (-0,97%)",77.0,67.0,72.0,72.0,73.4,71.1,71.3,72.0,0.0,4.832.100,34.797.000
"August, 2021","7,28  -0,11 (-1,49%)",79.0,68.8,73.9,73.8,74.0,72.3,72.8,73.2,0.0,4.360.900,31.915.000
"September, 2021","7,24  0,18 (2,55%)",75.5,65.7,70.6,71.2,74.0,70.6,72.4,71.8,0.0,2.789.600,20.016.000
"October, 2021","9,58  0,42 (4,59%)",98.0,85.2,91.6,91.7,96.3,91.5,95.8,94.3,0.0,11.321.200,106.788.000
"November, 2021","11,6  -0,15 (-1,28%)",12.55,10.95,11.75,11.9,12.0,11.55,11.6,11.73,0.0,8.487.700,99.574.000
"December, 2021","13,5  -0,2 (-1,46%)",14.65,12.75,13.7,13.7,13.8,13.05,13.5,13.48,0.0,7.781.000,104.860.000
