Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","30,6  -3,4 (-10%)",37.4,30.6,34.0,30.6,30.6,30.6,30.6,0.0,99.45,100.0,3.06
"February, 2014","21,2  0,4 (1,92%)",22.8,18.8,20.8,21.0,21.2,21.0,21.2,21.17,48.66,2.3,48.7
"March, 2014",21  0 (0%),23.1,18.9,21.0,21.0,21.0,21.0,21.0,21.0,48.03,550.0,11.445
"April, 2014","21,6  0 (0%)",23.7,19.5,21.6,21.7,21.7,21.6,21.6,21.64,52.64,5.7,123.33
"May, 2014",20  0 (0%),22.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,44.87,7.8,156.0
"June, 2014",20  0 (0%),22.0,18.0,20.0,0.0,0.0,0.0,20.0,0.0,44.35,200.0,4.0
"July, 2014","20,7  -2,2 (-9,61%)",25.1,20.7,22.9,20.7,20.7,20.7,20.7,20.7,43.59,1.1,22.77
"August, 2014","20,7  0 (0%)",22.7,18.7,20.7,0.0,0.0,0.0,20.7,0.0,47.52,600.0,12.42
"September, 2014","22,8  -0,2 (-0,87%)",25.3,20.7,23.0,23.0,23.0,22.8,22.8,22.83,52.06,2.4,54.8
"October, 2014",26  0 (0%),28.6,23.4,26.0,0.0,0.0,0.0,26.0,0.0,73.88,100.0,2.6
"November, 2014","34  2,2 (6,92%)",34.9,28.7,31.8,33.5,34.0,33.5,34.0,33.75,111.31,200.0,6.75
"December, 2014",30  0 (0%),33.0,27.0,30.0,30.0,30.0,30.0,30.0,30.0,92.22,2.5,75.0
"January, 2015","35,4  0,2 (0,57%)",38.7,31.7,35.2,35.2,37.8,35.2,35.4,36.92,113.38,4.4,162.45
"February, 2015","38,4  0,4 (1,05%)",41.8,34.2,38.0,38.9,40.0,38.4,38.4,39.4,130.32999999999998,7.2,283.59
"March, 2015","42,8  -0,2 (-0,47%)",47.3,38.7,43.0,41.5,42.8,41.5,42.8,42.09,154.09,10.1,425.12
"April, 2015",40  0 (0%),44.0,36.0,40.0,40.0,40.0,40.0,40.0,40.0,140.69,2.1,84.0
"May, 2015","41  -1 (-2,38%)",46.2,37.8,42.0,41.0,41.0,41.0,41.0,41.0,138.66,910.0,37.36
"June, 2015","40,5  -0,5 (-1,22%)",45.1,36.9,41.0,40.5,40.5,40.3,40.5,40.31,132.55,2.9,116.93
"July, 2015",40  0 (0%),44.0,36.0,40.0,0.0,0.0,0.0,40.0,0.0,123.02,1.3,52.0
"August, 2015","38,4  0 (0%)",42.2,34.6,38.4,34.6,38.4,34.6,38.4,36.5,109.82,200.0,7.3
