Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","12,2  0 (0%)",13.0,11.4,12.2,12.2,12.3,12.1,12.2,12.21,42.4,15.63,191.000
"February, 2015","12,1  0 (0%)",12.9,11.3,12.1,12.1,12.2,12.0,12.1,12.08,42.1,18.31,221.0
"March, 2015","12,3  0,5 (4,24%)",12.6,11.0,11.8,11.6,12.3,11.6,12.3,12.03,42.8,157.92,1.899.000
"April, 2015","12,5  0 (0%)",13.3,11.7,12.5,12.5,12.5,12.5,12.5,12.5,43.5,2.06,26.0
"May, 2015","11,6  0,1 (0,87%)",12.3,10.7,11.5,11.5,11.8,11.5,11.6,11.65,42.3,76.01,886.000
"June, 2015","12,4  -0,2 (-1,59%)",13.4,11.8,12.6,12.4,12.5,12.4,12.4,12.44,45.3,125.55,1.562.000
"July, 2015","14,3  0,3 (2,14%)",14.9,13.1,14.0,13.9,14.6,13.8,14.3,14.22,58.6,540.77,7.689.000
"August, 2015","12,5  -0,3 (-2,34%)",13.6,12.0,12.8,12.8,12.8,12.4,12.5,12.44,52.5,67.44,839.000
"September, 2015","12,1  0 (0%)",12.9,11.3,12.1,12.0,12.2,12.0,12.1,12.05,49.2,79.99,963.000
"October, 2015","13,3  -0,1 (-0,75%)",14.3,12.5,13.4,13.3,13.4,13.1,13.3,13.2,53.6,30.78,406.000
"November, 2015","12,6  -0,2 (-1,56%)",13.6,12.0,12.8,12.6,12.7,12.5,12.6,12.63,50.8,140.04,1.768.000
"December, 2015","12,9  -0,1 (-0,77%)",13.8,12.0,13.0,12.8,13.0,12.8,12.9,12.81,54.1,4.57,59.0
"January, 2016","13  -0,2 (-1,52%)",14.1,12.3,13.2,13.0,13.2,13.0,13.0,13.080000000000002,54.9,175.83,2.299.000
"February, 2016",12  0 (0%),12.8,11.2,12.0,12.0,12.0,11.9,12.0,11.98,55.0,26.55,318.000
"March, 2016","12,7  -0,1 (-0,78%)",13.6,12.0,12.8,12.7,12.8,12.7,12.7,12.73,58.7,37.43,477.000
"April, 2016","13  0,1 (0,78%)",13.8,12.0,12.9,13.0,13.0,12.9,13.0,12.98,58.7,7.71,100.0
"May, 2016","12,6  -0,2 (-1,56%)",13.6,12.0,12.8,0.0,12.6,12.6,12.6,12.6,56.5,9.8,123.0
"June, 2016","11,5  -0,4 (-3,36%)",12.7,11.1,11.9,11.5,11.5,11.5,11.5,11.5,56.0,5.24,60.0
"July, 2016","11,2  0 (0%)",11.9,10.5,11.2,0.0,0.0,0.0,11.2,0.0,52.7,2.12,23.0
"August, 2016","10,7  0 (0%)",11.4,10.0,10.7,0.0,0.0,0.0,10.7,0.0,51.3,20.0,27.0
"September, 2016","9,9  0 (0%)",10.55,92.1,99.0,0.0,0.0,0.0,99.0,0.0,49.8,5.7,57.0
"October, 2016","8,15  -0,55 (-6,32%)",93.0,81.0,87.0,83.0,83.0,81.1,81.5,82.2,41.3,13.5,111.0
"November, 2016","9,19  0,58 (6,74%)",92.1,80.1,86.1,91.0,92.0,91.0,91.9,91.6,47.9,290.0,3.0
"December, 2016","9,6  0,62 (6,9%)",96.0,83.6,89.8,9.0,96.0,89.8,96.0,90.6,5.0,1.35,12.0
"January, 2017","8,7  0,3 (3,57%)",89.8,78.2,84.0,84.0,87.0,84.0,87.0,84.0,43.3,51.84,435.000
"February, 2017","8,6  -0,05 (-0,58%)",92.5,80.5,86.5,86.6,86.6,84.5,86.0,85.1,42.8,22.75,194.000
"March, 2017","8,7  0,05 (0,58%)",92.5,80.5,86.5,87.0,87.9,87.0,87.0,87.0,43.3,16.44,143.0
"April, 2017","9,54  -0,04 (-0,42%)",10.25,89.1,95.8,93.0,95.4,93.0,95.4,89.1,47.5,1.01,9.0
"May, 2017","9,67  0,17 (1,79%)",10.15,88.4,95.0,95.5,96.7,95.0,96.7,95.4,48.8,41.41,395.0
"June, 2017","11  0,3 (2,8%)",11.4,99.6,10.7,10.8,11.0,10.75,11.0,10.9,57.3,19.27,210.000
"July, 2017","10,55  0 (0%)",11.25,98.2,10.55,10.55,10.6,10.55,10.55,10.55,63.8,31.38,331.000
"August, 2017","10,6  0,2 (1,92%)",11.1,96.8,10.4,10.4,10.6,10.1,10.6,10.21,65.2,7.74,79.0
"September, 2017","10,5  -0,1 (-0,94%)",11.3,98.6,10.6,10.5,10.55,10.45,10.5,10.5,66.0,28.38,298.000
"October, 2017","9,65  -0,05 (-0,52%)",10.35,90.3,97.0,98.0,98.0,96.5,96.5,97.3,62.0,10.79,105.000
"November, 2017","9,7  0,07 (0,73%)",10.3,89.6,96.3,97.0,98.5,96.0,97.0,97.0,63.2,19.9,193.0
"December, 2017","11,2  0,35 (3,23%)",11.6,10.1,10.85,10.8,11.5,10.7,11.2,11.02,74.2,77.75,857.0
"January, 2018","12,9  0 (0%)",13.8,12.0,12.9,12.7,12.9,12.55,12.9,12.72,85.4,598.72,7.748.000
"February, 2018","12,8  -0,05 (-0,39%)",13.7,12.0,12.85,12.5,12.8,12.5,12.8,12.53,84.7,125.5,1.572.000
"March, 2018","13  -0,1 (-0,76%)",14.0,12.2,13.1,13.0,13.1,12.9,13.0,13.06,86.1,2.91,38.000
"April, 2018","13,6  -0,3 (-2,16%)",14.85,12.95,13.9,13.55,13.8,13.5,13.6,13.6,9.0,44.33,603.000
"May, 2018","13,4  0,1 (0,75%)",14.2,12.4,13.3,13.2,13.4,13.1,13.4,13.330000000000002,88.7,2.85,38.0
"June, 2018","14,8  -0,05 (-0,34%)",15.85,13.85,14.85,14.85,14.85,14.0,14.8,14.84,98.0,3.84,57.0
"July, 2018","13,5  -0,5 (-3,57%)",14.95,13.05,14.0,14.0,14.0,13.5,13.5,13.44,10.23,3.2,43.000
"August, 2018","13,3  0,15 (1,14%)",14.05,12.25,13.15,13.7,14.05,13.2,13.3,13.47,10.08,83.0,1.098.500
"September, 2018","13,7  0 (0%)",14.65,12.75,13.7,13.7,13.7,13.6,13.7,13.61,10.39,16.75,228.000
"October, 2018","13,3  0,3 (2,31%)",13.9,12.1,13.0,13.3,13.3,13.3,13.3,13.29,10.08,8.2,109.0
"November, 2018","13,7  0 (0%)",14.65,12.75,13.7,0.0,0.0,0.0,13.7,0.0,10.39,7.88,105.000
"December, 2018","13,4  -0,2 (-1,47%)",14.55,12.65,13.6,13.55,13.55,13.25,13.4,13.35,10.16,16.7,223.0
"January, 2019","14,2  0,4 (2,9%)",14.75,12.85,13.8,13.5,14.2,13.5,14.2,13.3,10.76,2.03,27.000
"February, 2019","13,9  -0,45 (-3,14%)",15.35,13.35,14.35,13.75,14.0,13.7,13.9,13.7,10.54,49.84,683.000
"March, 2019","14,7  0,7 (5%)",14.95,13.05,14.0,14.4,14.9,14.2,14.7,14.580000000000002,11.14,2.95,43.000
"April, 2019","14,1  0 (0%)",15.05,13.15,14.1,0.0,0.0,0.0,14.1,0.0,10.69,10.59,146.0
"May, 2019","14,6  0,05 (0,34%)",15.55,13.55,14.55,14.55,14.6,14.4,14.6,14.56,11.07,21.490,313.000
"June, 2019","12  -0,1 (-0,83%)",12.9,11.3,12.1,12.1,12.4,12.0,12.0,12.06,11.62,12.85,155.0
"July, 2019","12,1  0 (0%)",12.9,11.3,12.1,12.2,12.2,12.1,12.1,12.25,11.72,4.0,49.0
"August, 2019","11,75  0,05 (0,43%)",12.5,10.9,11.7,11.75,11.75,11.7,11.75,11.84,11.38,1.52,18.0
"September, 2019","11,4  0 (0%)",12.15,10.65,11.4,0.0,0.0,0.0,11.4,0.0,11.04,10.0,114
"October, 2019","11,45  0 (0%)",12.25,10.65,11.45,11.4,11.55,11.4,11.45,11.42,11.09,43.8,500.0
"November, 2019","12,2  0 (0%)",13.05,11.35,12.2,12.1,12.2,12.0,12.2,12.13,11.81,30.0,364.0
"December, 2019","14  0,05 (0,36%)",14.9,13.0,13.95,14.0,14.0,13.6,14.0,13.78,13.56,44.64,615.0
"January, 2020","13,2  -0,4 (-2,94%)",14.55,12.65,13.6,13.2,13.5,13.2,13.2,13.25,12.78,31.77,421.0
"February, 2020","11,4  -0,6 (-5%)",12.8,11.2,12.0,11.9,11.9,11.2,11.4,11.24,11.32,360.22,4.036.000
"March, 2020","11,25  0,15 (1,35%)",11.85,10.35,11.1,10.55,11.25,10.5,11.25,11.17,11.08,33.11,370.0
"April, 2020",11  0 (0%),11.75,10.25,11.0,11.0,11.1,11.0,11.0,11.06,10.97,10.31,114.0
"May, 2020","10,9  0,05 (0,46%)",11.6,10.1,10.85,10.85,10.95,10.7,10.9,10.82,10.9,4.53,49.0
"June, 2020","10,5  0,1 (0,96%)",11.1,96.8,10.4,98.0,10.5,98.0,10.5,10.43,0.0,7.0,73.000
"July, 2020","10,6  -0,1 (-0,93%)",11.4,99.6,10.7,10.7,10.7,10.6,10.6,10.63,0.0,3.01,32.0
"August, 2020","10,9  0 (0%)",11.65,10.15,10.9,10.55,10.9,10.5,10.9,10.52,0.0,19.11,201.0
"September, 2020","10,8  0 (0%)",11.55,10.05,10.8,10.8,10.85,10.75,10.8,10.8,0.0,21.01,227.0
"October, 2020","10,6  0,1 (0,95%)",11.2,97.7,10.5,10.6,10.6,10.6,10.6,10.74,0.0,2.7,29.000
"November, 2020",12  0 (0%),12.8,11.2,12.0,12.0,12.0,11.75,12.0,11.82,0.0,19.2,227.0
"December, 2020","14,55  -0,05 (-0,34%)",15.6,13.6,14.6,14.6,14.6,13.6,14.55,14.36,0.0,138.31,1.986.000
"January, 2021","16,5  0,3 (1,85%)",17.3,15.1,16.2,15.1,16.8,15.1,16.5,16.32,0.0,116.5,1.901.000
"February, 2021","19,1  -0,3 (-1,55%)",20.75,18.05,19.4,19.35,19.35,18.3,19.1,18.89,0.0,98.8,1.866.000
"March, 2021","20,9  -0,6 (-2,79%)",23.0,20.0,21.5,20.4,20.9,20.0,20.9,20.36,0.0,314.0,6.392.000
"April, 2021",19  0 (0%),20.3,17.7,19.0,18.6,19.5,18.6,19.0,19.34,0.0,27.3,528.000
"May, 2021","22,9  1,45 (6,76%)",22.95,19.95,21.45,22.45,22.95,22.3,22.9,22.68,0.0,192.9,4.375.000
