Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9  0,2 (2,27%)",94.0,82.0,88.0,89.0,9.0,89.0,9.0,89.7,34.0,64.75,581.000
"February, 2014","7,3  0 (0%)",78.0,68.0,73.0,73.0,74.0,72.0,73.0,73.0,27.9,33.53,244.640
"March, 2014","8,2  0 (0%)",87.0,77.0,82.0,85.0,85.0,8.0,82.0,81.5,31.4,36.51,297.416
"April, 2014","7,4  0,2 (2,78%)",77.0,67.0,72.0,75.0,75.0,72.0,74.0,72.9,28.3,6.16,44.885
"May, 2014","6,9  0,2 (2,99%)",71.0,63.0,67.0,68.0,69.0,68.0,69.0,68.3,26.0,500.0,3.0
"June, 2014","6,6  0,1 (1,54%)",69.0,61.0,65.0,66.0,66.0,66.0,66.0,66.0,24.9,1.89,12.0
"July, 2014","7,5  0,1 (1,35%)",79.0,69.0,74.0,74.0,75.0,73.0,75.0,74.0,28.3,19.87,147.000
"August, 2014","8,1  0,2 (2,53%)",84.0,74.0,79.0,82.0,83.0,79.0,81.0,80.3,30.6,44.75,359.000
"September, 2014","7,8  0 (0%)",83.0,73.0,78.0,77.0,78.0,74.0,78.0,76.0,29.4,36.91,281.0
"October, 2014","9,1  0,1 (1,11%)",96.0,84.0,9.0,9.0,91.0,88.0,91.0,88.9,34.3,74.98,666.000
"November, 2014","8,8  -0,1 (-1,12%)",95.0,83.0,89.0,88.0,9.0,88.0,88.0,88.0,33.2,23.62,208.000
"December, 2014","10,7  0,7 (7%)",10.7,93.0,10.0,10.0,10.7,10.0,10.7,10.51,40.4,79.63,837.000
"January, 2015","10,6  -0,3 (-2,75%)",11.6,10.2,10.9,10.7,10.9,10.6,10.6,10.69,4.0,15.01,161.0
"February, 2015","10,5  -0,2 (-1,87%)",11.4,10.0,10.7,10.7,10.7,10.3,10.5,10.45,39.6,3.75,39.0
"March, 2015","10,6  0,2 (1,92%)",11.1,97.0,10.4,10.4,10.7,10.4,10.6,10.49,4.0,20.45,214.0
"April, 2015","10,8  0 (0%)",11.5,10.1,10.8,10.6,11.0,10.6,10.8,10.71,40.8,22.53,241.0
"May, 2015","9,8  0,2 (2,08%)",10.2,9.0,96.0,96.0,98.0,95.0,98.0,95.9,40.8,36.71,352.0
"June, 2015","10,7  -0,2 (-1,83%)",11.6,10.2,10.9,10.7,10.8,10.6,10.7,10.62,44.5,7.66,81.0
"July, 2015","10,2  0 (0%)",10.9,95.0,10.2,10.1,10.4,96.0,10.2,10.11,42.5,17.18,174.0
"August, 2015","9,9  0,3 (3,13%)",10.2,9.0,96.0,98.0,10.0,96.0,99.0,98.2,42.5,11.55,113.0
"September, 2015","9,2  -0,2 (-2,13%)",10.0,88.0,94.0,95.0,97.0,92.0,92.0,93.5,40.7,25.06,234.0
"October, 2015","9,7  0,1 (1,04%)",10.2,9.0,96.0,95.0,97.0,94.0,97.0,95.4,42.1,5.04,48.0
"November, 2015","10,2  0,3 (3,03%)",10.5,93.0,99.0,96.0,10.2,94.0,10.2,99.1,44.3,21.96,218.0
"December, 2015","9,3  -0,5 (-5,1%)",10.5,93.0,98.0,98.0,10.1,93.0,93.0,93.9,39.6,1.52,14.0
"January, 2016","9,5  -0,1 (-1,04%)",10.2,9.0,96.0,95.0,95.0,95.0,95.0,95.0,44.1,550.0,5.000
