Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,1  -0,1 (-1,61%)",66.0,58.0,62.0,62.0,62.0,6.0,61.0,60.8,50.8,59.64,363.000
"February, 2014","6,6  0,4 (6,45%)",66.0,58.0,62.0,66.0,66.0,66.0,66.0,66.0,62.5,1.790.190,11.815.254
"March, 2014","8,4  -0,4 (-4,55%)",94.0,82.0,88.0,89.0,89.0,83.0,84.0,85.2,75.6,366.680,3.123.763
"April, 2014","6,8  0 (0%)",72.0,64.0,68.0,67.0,7.0,67.0,68.0,68.0,61.2,41.52,282.457
"May, 2014","5,4  -0,3 (-5,26%)",6.0,54.0,57.0,55.0,57.0,54.0,54.0,55.3,45.8,417.5,2.308.000
"June, 2014","5,8  -0,1 (-1,69%)",63.0,55.0,59.0,58.0,6.0,58.0,58.0,58.5,48.3,148.23,866.000
"July, 2014","5,9  0,2 (3,51%)",6.0,54.0,57.0,57.0,59.0,56.0,59.0,57.3,49.1,88.13,505.000
"August, 2014","6,3  0,4 (6,78%)",63.0,55.0,59.0,6.0,63.0,6.0,63.0,61.4,52.5,696.41,4.273.000
"September, 2014","6,5  0,2 (3,17%)",67.0,59.0,63.0,63.0,65.0,62.0,65.0,63.3,54.1,303.98,1.923.000
"October, 2014","7  0,4 (6,06%)",7.0,62.0,66.0,66.0,7.0,66.0,7.0,68.3,58.3,1.119.800,7.650.000
"November, 2014","6,2  0,4 (6,9%)",62.0,54.0,58.0,59.0,62.0,59.0,62.0,61.6,51.6,427.1,2.629.000
"December, 2014","5,4  0,2 (3,85%)",55.0,49.0,52.0,52.0,54.0,52.0,54.0,53.3,45.0,232.77,1.240.000
"January, 2015","5,3  -0,1 (-1,85%)",57.0,51.0,54.0,52.0,54.0,52.0,53.0,52.8,44.1,9.43,50.0
"February, 2015","5,1  0,1 (2%)",53.0,47.0,5.0,51.0,51.0,5.0,51.0,5.0,42.5,4.25,21.0
