Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","17,9  0,5 (2,87%)",18.6,16.2,17.4,17.5,17.9,17.5,17.9,17.59,11.59,3.51,62.0
"February, 2014","17,3  -0,1 (-0,57%)",18.6,16.2,17.4,17.0,17.4,16.9,17.3,17.05,10.85,11.7,199.54
"March, 2014","16,7  -0,3 (-1,76%)",18.1,15.9,17.0,17.0,17.0,16.7,16.7,16.79,10.42,10.87,182.544
"April, 2014","16,4  0,1 (0,61%)",17.4,15.2,16.3,16.0,16.4,16.0,16.4,16.29,10.23,32.4,527.787
"May, 2014","12,9  -0,4 (-3,01%)",14.2,12.4,13.3,13.3,13.3,12.9,12.9,12.99,82.9,1.29,17.0
"June, 2014","14,2  0,3 (2,16%)",14.8,13.0,13.9,14.2,14.2,14.1,14.2,14.16,92.0,460.0,7.0
"July, 2014","15,2  0,3 (2,01%)",15.9,13.9,14.9,15.0,15.2,14.9,15.2,14.97,98.5,3.41,51.0
"August, 2014","15,4  0,3 (1,99%)",16.1,14.1,15.1,15.2,15.4,15.2,15.4,15.25,99.7,6.47,99.000
"September, 2014","17  1 (6,25%)",17.1,14.9,16.0,16.0,17.0,15.8,17.0,16.0,11.01,36.78,588.0
"October, 2014","17,5  0,3 (1,74%)",18.4,16.0,17.2,18.1,18.1,17.2,17.5,17.259999999999998,11.33,2.33,40.0
"November, 2014","17,4  0,2 (1,16%)",18.4,16.0,17.2,17.0,17.4,17.0,17.4,17.330000000000002,11.27,2.72,47.0
"December, 2014",17  0 (0%),18.1,15.9,17.0,17.4,17.4,16.8,17.0,16.85,11.01,1.33,22.0
"January, 2015","17,4  -0,2 (-1,14%)",18.8,16.4,17.6,17.2,17.4,17.2,17.4,17.369999999999997,11.27,1.41,24.0
"February, 2015","18,5  1 (5,71%)",18.7,16.3,17.5,18.0,18.5,18.0,18.5,18.5,11.98,2.36,44.0
"March, 2015","18,4  0,5 (2,79%)",19.1,16.7,17.9,17.9,18.5,17.9,18.4,17.94,11.92,3.06,55.0
"April, 2015","19,5  0,7 (3,72%)",20.1,17.5,18.8,19.0,19.7,18.2,19.5,18.97,12.63,3.28,62.0
"May, 2015","18,8  0 (0%)",20.1,17.5,18.8,18.9,18.9,18.8,18.8,18.8,12.18,3.11,58.0
"June, 2015","19,6  1,1 (5,95%)",19.7,17.3,18.5,18.5,19.6,17.6,19.6,18.5,12.69,24.08,445.0
"July, 2015",18  0 (0%),19.2,16.8,18.0,17.8,18.2,17.8,18.0,17.89,12.65,1.06,19.0
"August, 2015","18,2  0,3 (1,68%)",19.1,16.7,17.9,16.9,18.2,16.9,18.2,18.04,12.93,80.0,1.000
"September, 2015","18  0,7 (4,05%)",18.5,16.1,17.3,17.3,18.2,17.3,18.0,17.580000000000002,13.31,4.69,82.0
"October, 2015","21,7  0,6 (2,84%)",22.5,19.7,21.1,21.1,22.0,21.1,21.7,21.7,16.59,146.55,3.181.000
"November, 2015","19,8  0,1 (0,51%)",21.0,18.4,19.7,19.9,19.9,19.5,19.8,19.75,15.14,9.43,186.000
"December, 2015","20,7  0,1 (0,49%)",22.1,19.3,20.6,20.6,20.7,20.6,20.7,20.61,15.669999999999998,4.3,89.0
"January, 2016","18,5  -0,1 (-0,54%)",19.9,17.3,18.6,18.6,18.9,18.5,18.5,18.56,13.2,9.68,180.0
"February, 2016","19,9  -0,1 (-0,5%)",21.4,18.6,20.0,19.9,19.9,19.3,19.9,19.5,14.19,5.76,112.0
"March, 2016","20,5  -0,3 (-1,44%)",22.2,19.4,20.8,20.9,22.2,20.5,20.5,20.66,14.55,6.93,143.0
"April, 2016","22,7  0 (0%)",24.2,21.2,22.7,23.0,23.2,22.6,22.7,22.77,16.82,14.35,327.0
"May, 2016","21  -0,8 (-3,67%)",23.3,20.3,21.8,21.0,22.7,21.0,21.0,21.54,15.8,9.95,214.0
"June, 2016","24,8  0,1 (0,4%)",26.4,23.0,24.7,24.8,25.2,24.5,24.8,24.65,18.81,78.8,1.883.100
"July, 2016","25,5  -0,1 (-0,39%)",27.3,23.9,25.6,25.5,25.9,25.4,25.5,25.51,19.05,3.34,85.0
"August, 2016","25,9  0,7 (2,78%)",26.9,23.5,25.2,25.2,25.9,25.2,25.9,25.31,19.35,9.01,228.0
"September, 2016","26,8  -0,1 (-0,37%)",28.75,25.05,26.9,26.4,26.9,26.0,26.8,26.360000000000003,20.1,5.63,148.000
"October, 2016","28,4  0,2 (0,71%)",30.15,26.25,28.2,28.5,28.5,28.0,28.4,28.15,20.17,17.92,504.000
"November, 2016","29,8  0,5 (1,71%)",31.35,27.25,29.3,29.3,29.8,29.3,29.8,29.48,19.81,20.4,601.0
"December, 2016","29  0,5 (1,75%)",30.45,26.55,28.5,28.0,29.0,28.0,29.0,28.47,19.27,13.93,397.000
