Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","16,1  0 (0%)",17.2,15.0,16.1,0.0,0.0,0.0,16.1,0.0,64.0,10.0,106.0
"February, 2015","16,2  0,1 (0,62%)",17.2,15.0,16.1,0.0,16.4,16.2,16.2,16.28,64.4,1.0,16.0
"March, 2015","17,2  1 (6,17%)",17.2,15.0,16.2,17.2,17.2,17.2,17.2,17.2,68.7,10.0,120.0
"April, 2015","16,4  -0,8 (-4,65%)",17.3,15.1,17.2,16.4,16.4,16.4,16.4,16.4,69.6,20.0,329.0
"May, 2015","16,9  0 (0%)",18.0,15.8,16.9,16.2,16.9,16.0,16.9,16.03,67.1,1.12,18.0
"June, 2015","15,6  -0,8 (-4,88%)",17.5,15.3,16.4,16.4,16.4,15.6,15.6,15.66,58.3,7.58,119.0
"July, 2015","17,5  0,5 (2,94%)",18.1,15.9,17.0,17.2,18.0,17.1,17.5,17.8,65.4,3.21,57.0
"August, 2015","16,8  0 (0%)",17.9,15.7,16.8,16.8,16.8,16.8,16.8,16.8,65.1,3.5,59.0
"September, 2015","16  -1 (-5,88%)",18.1,15.9,17.0,17.0,17.0,16.0,16.0,16.09,61.3,110.0,2.0
"October, 2015","16,5  0,2 (1,23%)",17.4,15.2,16.3,16.5,16.5,16.5,16.5,16.5,65.5,10.0,132.0
"November, 2015","16,1  -0,7 (-4,17%)",17.9,15.7,16.8,16.8,16.8,16.1,16.1,16.68,64.0,120.0,2.0
"December, 2015",18  0 (0%),20.6,18.0,18.0,18.0,18.0,18.0,18.0,18.0,72.4,100.04,1.801.000
"January, 2016","17,7  -1,3 (-6,84%)",20.3,17.7,19.0,17.7,18.8,17.7,17.7,17.7,76.0,3.92,69.0
"February, 2016","17,4  1,1 (6,75%)",17.4,15.2,16.3,17.4,17.4,15.9,17.4,16.65,74.7,20.0,38.000
"March, 2016","18,1  0 (0%)",19.3,16.9,18.1,18.1,18.1,17.3,18.1,17.65,83.9,3.43,61.0
"April, 2016","18,2  0 (0%)",19.4,17.0,18.2,0.0,0.0,0.0,18.2,0.0,86.3,510.0,9.0
"May, 2016","17,8  1,1 (6,59%)",16.7,14.7,16.7,0.0,17.8,17.8,17.8,17.8,73.1,30.0,1.0
"June, 2016","17,5  0 (0%)",18.7,16.3,17.5,17.5,17.5,16.5,17.5,17.48,64.7,420.0,7.000
"July, 2016","14,6  0,9 (6,57%)",14.6,12.8,13.7,14.6,14.6,14.6,14.6,14.6,75.0,10.0,14.0
"August, 2016","12,2  0 (0%)",13.0,11.4,12.2,12.2,12.8,12.2,12.2,12.21,66.2,2.34,29.0
"September, 2016","12,6  0,8 (6,78%)",12.6,11.0,11.8,11.7,12.6,11.7,12.6,11.78,68.4,6.4,75.0
"October, 2016","13,25  0,85 (6,85%)",13.25,11.55,12.4,11.7,13.25,11.7,13.25,12.32,71.6,940.0,12.0
"November, 2016","14  0,85 (6,46%)",14.05,12.25,13.15,13.05,14.0,13.05,14.0,13.46,82.8,5.49,74.0
"December, 2016","12,65  0,2 (1,61%)",13.3,11.6,12.45,11.6,12.65,11.6,12.65,11.72,74.8,1.06,12.000
"January, 2017","12,6  0,05 (0,4%)",13.4,11.7,12.55,12.6,12.6,12.6,12.6,12.6,7.0,40.0,1.0
"February, 2017","14,5  0,25 (1,75%)",15.2,13.3,14.25,13.3,14.5,13.3,14.5,14.48,80.6,1.11,16.0
