Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,9  -0,4 (-2,8%)",15.7,12.9,14.3,14.0,14.5,13.9,13.9,14.18,49.5,1.609.559,22.776.382
"February, 2014","15,4  0,2 (1,32%)",16.7,13.7,15.2,15.2,15.6,14.8,15.4,15.18,52.6,6.497.728,98.687.751
"March, 2014","16,3  -0,2 (-1,21%)",18.1,14.9,16.5,16.9,16.9,16.3,16.3,16.490000000000002,58.0,1.886.846,31.099.272
"April, 2014","14  0,5 (3,7%)",14.8,12.2,13.5,13.5,14.0,13.3,14.0,13.52,56.1,1.210.800,16.452.690
"May, 2014","12,5  -0,2 (-1,57%)",13.9,11.5,12.7,12.5,13.3,12.4,12.5,12.57,45.9,1.880.892,23.641.755
"June, 2014","13,1  -0,1 (-0,76%)",14.5,11.9,13.2,13.2,13.3,13.1,13.1,13.2,48.4,608.830,8.027.785
"July, 2014","13,2  0,5 (3,94%)",13.9,11.5,12.7,12.8,13.2,12.7,13.2,12.94,52.5,436.420,5.649.294
"August, 2014","14,6  0 (0%)",16.0,13.2,14.6,14.6,14.7,14.4,14.6,14.5,54.5,841.074,12.203.143
"September, 2014","14,1  -0,1 (-0,7%)",15.6,12.8,14.2,14.2,14.2,14.0,14.1,14.13,52.0,682.790,9.647.315
"October, 2014","12,8  0,4 (3,23%)",13.6,11.2,12.4,12.4,13.0,12.3,12.8,12.69,50.8,1.559.682,19.803.490
"November, 2014","14,3  1 (7,52%)",14.6,12.0,13.3,13.4,14.5,13.4,14.3,13.93,52.2,4.566.254,63.635.237
"December, 2014","12,7  0,7 (5,83%)",13.2,10.8,12.0,12.0,13.0,11.9,12.7,12.46,46.4,1.646.320,20.533.979
"January, 2015","12,5  -0,3 (-2,34%)",14.0,11.6,12.8,12.8,12.8,12.4,12.5,12.58,46.2,835.225,10.500.235
"February, 2015","12,8  0 (0%)",14.0,11.6,12.8,12.9,12.9,12.7,12.8,12.830000000000002,48.5,556.110,7.131.248
