Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","3,7  0,2 (5,71%)",38.0,32.0,35.0,34.0,37.0,34.0,37.0,35.4,244.51,13.4,47.49
"February, 2014","4,2  -0,2 (-4,55%)",48.0,4.0,44.0,4.0,43.0,4.0,42.0,42.4,164.13,8.91,37.77
"March, 2014","6  -0,1 (-1,64%)",67.0,55.0,61.0,62.0,62.0,6.0,6.0,61.2,187.67,63.8,389.980
"April, 2014","4,8  -0,3 (-5,88%)",56.0,46.0,51.0,5.0,5.0,48.0,48.0,48.7,145.15,20.4,98.94
"May, 2014","4,4  0,1 (2,33%)",47.0,39.0,43.0,44.0,44.0,44.0,44.0,44.0,101.72,500.0,2.2
"June, 2014","5,2  0 (0%)",57.0,47.0,52.0,52.0,52.0,49.0,52.0,50.6,69.88,49.4,250.01
"July, 2014","6,3  0 (0%)",69.0,57.0,63.0,63.0,63.0,63.0,63.0,63.0,68.22999999999999,57.0,359.1
"August, 2014","8,4  0,3 (3,7%)",89.0,73.0,81.0,83.0,87.0,82.0,84.0,84.9,84.76,462.218,3.922.431
"September, 2014","11,9  0 (0%)",13.0,10.8,11.9,11.8,11.9,11.7,11.9,11.79,106.59,109.336,1.290.261
"October, 2014","10,5  0 (0%)",11.5,95.0,10.5,10.4,10.5,10.4,10.5,10.5,95.85,5.2,54.580
"November, 2014","10,9  -0,1 (-0,91%)",12.1,99.0,11.0,11.0,11.0,10.7,10.9,10.76,91.71,28.9,310.910
"December, 2014","9,8  0,7 (7,69%)",10.0,82.0,91.0,93.0,98.0,93.0,98.0,94.0,80.24,24.8,234.940
"January, 2015","9,6  -0,6 (-5,88%)",11.2,92.0,10.2,10.1,10.1,95.0,96.0,97.9,68.46000000000001,163.01,1.593.671
"February, 2015","8,8  -0,1 (-1,12%)",97.0,81.0,89.0,89.0,9.0,88.0,88.0,88.5,65.03999999999999,181.28,1.601.280
"March, 2015","8,4  0,1 (1,2%)",91.0,75.0,83.0,83.0,87.0,83.0,84.0,85.6,58.67,10.4,88.49
