Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","8,2  -0,4 (-4,65%)",98.0,74.0,86.0,82.0,82.0,82.0,82.0,82.0,70.8,100.0,820.0
"February, 2015","7,8  -0,4 (-4,83%)",94.0,7.0,82.0,76.0,81.0,76.0,78.0,78.0,67.3,10.3,80.38
"March, 2015","7,8  0 (0,05%)",89.0,67.0,78.0,84.0,84.0,78.0,78.0,78.0,67.3,15.9,124.090
"April, 2015","7,8  0 (0,01%)",89.0,67.0,78.0,78.0,83.0,78.0,78.0,78.0,67.3,137.9,1.075.720
"May, 2015","8,9  0,43 (5,11%)",96.0,72.0,84.0,86.0,89.0,86.0,89.0,88.3,76.8,4.2,37.08
"June, 2015","8,9  0,11 (1,31%)",10.1,75.0,88.0,9.0,9.0,88.0,89.0,89.1,76.8,30.3,270.12
"July, 2015","7,8  0,24 (3,05%)",89.0,67.0,78.0,82.0,89.0,78.0,78.0,80.4,67.3,30.4,244.370
"August, 2015",8  0 (0%),92.0,68.0,8.0,8.0,8.0,8.0,8.0,8.0,69.0,100.0,800
"September, 2015","7,8  -0,23 (-2,86%)",92.0,68.0,8.0,77.0,82.0,77.0,78.0,77.7,67.3,11.3,87.810
"October, 2015","8,9  -0,19 (-2,08%)",10.4,78.0,91.0,92.0,92.0,89.0,89.0,89.1,76.8,5.7,50.79
"November, 2015","8,6  0,7 (8,86%)",9.0,68.0,79.0,86.0,86.0,86.0,86.0,86.0,74.2,100.0,860.0
"December, 2015","8  -0,8 (-9,09%)",10.1,75.0,88.0,8.0,8.0,8.0,8.0,8.0,69.0,6.4,51.2
"January, 2016","7,7  -0,2 (-2,53%)",9.0,68.0,79.0,77.0,77.0,77.0,77.0,77.0,66.5,2.0,15.4
"February, 2016","7,6  0 (0%)",87.0,65.0,76.0,0.0,0.0,0.0,76.0,76.0,65.6,12.3,93.95
"March, 2016","15,3  -1,98 (-11,07%)",20.5,15.3,17.9,16.7,17.5,15.3,15.3,15.919999999999998,13.21,348.5,5.547.300
"April, 2016","13,6  -0,3 (-2,17%)",15.9,11.9,13.9,13.6,13.7,13.5,13.6,13.6,11.74,130.9,1.779.970
"May, 2016","13,7  -0,22 (-1,59%)",16.1,11.9,14.0,14.0,14.0,13.6,13.7,13.78,11.82,105.4,1.452.210
"June, 2016","13,5  0,14 (1,06%)",15.4,11.4,13.4,13.4,13.8,13.4,13.5,13.54,11.65,224.6,3.041.520
"July, 2016","14,7  -0,12 (-0,78%)",17.0,12.6,14.8,14.5,14.8,14.5,14.7,14.68,12.69,277.0,4.067.450
"August, 2016","15  0,31 (2,07%)",16.9,12.5,14.7,15.0,15.2,14.8,15.0,15.0,12.95,72.305,1.084.936
"September, 2016","17,2  0,42 (2,53%)",18.9,14.1,16.5,16.3,17.2,16.3,17.2,16.919999999999998,14.84,378.8,6.408.240
"October, 2016","18,4  0,77 (4,34%)",20.3,15.1,17.7,17.9,18.9,17.9,18.4,18.47,15.88,478.24,8.832.798
"November, 2016","15,8  -0,03 (-0,2%)",18.1,13.5,15.8,15.9,15.9,15.7,15.8,15.77,13.64,124.9,1.969.590
"December, 2016","15,3  -0,1 (-0,65%)",16.9,13.9,15.4,15.5,15.5,15.3,15.3,15.41,13.06,29.2,450.010
"January, 2017","15,4  0,3 (1,99%)",16.6,13.6,15.1,15.3,15.6,14.9,15.4,15.49,12.82,21.5,331.460
"February, 2017","14,3  -0,3 (-2,05%)",16.0,13.2,14.6,14.6,14.6,14.3,14.3,14.43,11.78,34.0,490.550
"March, 2017","15,6  0,1 (0,65%)",17.0,14.0,15.5,15.5,15.7,14.0,15.6,15.57,11.79,1.162.100,17.850.570
"April, 2017","15,5  0 (0%)",17.0,14.0,15.5,15.5,15.5,15.3,15.5,15.46,11.35,62.31,963.205
"May, 2017","17  -0,6 (-3,41%)",19.3,15.9,17.6,17.5,17.9,17.0,17.0,17.3,12.43,198.000,3.417.018
"June, 2017","19,5  0 (0%)",21.4,17.6,19.5,19.9,19.9,19.5,19.5,19.59,14.13,114.8,2.248.470
"July, 2017","19,7  0,2 (1,03%)",21.4,17.6,19.5,19.6,20.0,19.6,19.7,19.73,14.37,381.5,7.526.550
"August, 2017","18,3  -0,1 (-0,54%)",20.2,16.6,18.4,18.3,18.3,18.2,18.3,18.25,13.89,29.600,540.720
"September, 2017","22,8  0,9 (4,11%)",24.0,19.8,21.9,21.8,22.8,21.4,22.8,22.2,16.68,267.01,5.950.676
"October, 2017","22,7  -0,1 (-0,44%)",25.0,20.6,22.8,22.7,22.8,22.4,22.7,22.58,16.880000000000003,368.41,8.318.487
"November, 2017","27,5  0,5 (1,85%)",29.7,24.3,27.0,27.0,28.0,27.0,27.5,27.53,18.35,3.061.564,84.276.866
"December, 2017","26,4  0,2 (0,76%)",28.8,23.6,26.2,26.4,26.4,26.0,26.4,26.2,19.39,1.028.274,26.983.659
"January, 2018","26  -0,3 (-1,14%)",28.9,23.7,26.3,26.3,26.9,26.0,26.0,26.35,20.37,1.328.382,34.990.831
