Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","48,9  -0,5 (-1,01%)",51.5,47.0,49.4,48.9,48.9,48.9,48.9,48.9,37.8,22.65,1.149.585
"February, 2010","46  -1 (-2,13%)",49.3,44.7,47.0,46.3,46.3,46.0,46.0,46.03,36.7,11.5,529.3
"March, 2010","43,5  -0,5 (-1,14%)",46.2,41.8,44.0,44.5,44.5,43.5,43.5,44.09,34.7,9.23,406.990
"April, 2010","45,4  -0,3 (-0,66%)",47.9,43.5,45.7,44.9,45.7,44.9,45.4,45.32,36.3,16.77,760.084
"May, 2010","38,5  -0,8 (-2,04%)",41.2,37.4,39.3,40.2,40.2,38.5,38.5,38.85,30.7,3.0,116.560
"June, 2010","39,5  0 (0%)",41.4,37.6,39.5,41.4,41.4,39.5,39.5,39.53,31.5,710.0,28.064
"July, 2010","38,6  0,5 (1,31%)",40.0,36.2,38.1,40.0,40.0,38.6,38.6,39.760000000000005,30.8,3.47,137.960
"August, 2010","38,2  -9,1 (-19,24%)",38.1,34.6,47.3,38.1,38.2,38.0,38.2,38.09,40.2,398.66,15.195.848
"September, 2010","30  1 (3,45%)",30.4,27.6,29.0,29.5,30.0,29.0,30.0,29.76,31.6,17.210,512.183
"October, 2010","29  0,1 (0,35%)",30.3,27.5,28.9,30.0,30.0,29.0,29.0,29.01,30.5,1.01,29.3
"November, 2010","30  0,6 (2,04%)",30.8,28.0,29.4,30.8,30.8,30.0,30.0,30.74,31.6,80.17,2.464.047
"December, 2010","29,5  0,3 (1,03%)",30.6,27.8,29.2,29.2,29.5,29.2,29.5,29.48,31.1,21.75,641.187
"January, 2011",26  0 (0%),27.3,24.7,26.0,26.1,26.1,26.0,26.0,26.05,27.4,3.28,85.434
"February, 2011","24,4  -0,3 (-1,21%)",25.9,23.5,24.7,24.7,25.0,24.4,24.4,24.67,25.7,99.32,2.450.069
"March, 2011","23,6  -0,4 (-1,67%)",25.2,22.8,24.0,23.9,23.9,23.6,23.6,23.61,24.8,1.24,29.273
"April, 2011","22,9  -0,6 (-2,55%)",24.6,22.4,23.5,24.0,24.0,22.9,22.9,23.03,24.1,5.65,130.100
"May, 2011","27,2  0,6 (2,26%)",27.9,25.3,26.6,27.0,27.2,25.7,27.2,26.380000000000003,28.6,52.9,1.395.335
"June, 2011","30,5  0,5 (1,67%)",31.5,28.5,30.0,30.5,30.5,30.5,30.5,30.5,32.1,1.0,30.5
"July, 2011","29,9  -0,1 (-0,33%)",31.5,28.5,30.0,29.9,29.9,29.9,29.9,29.9,31.5,10.0,299.0
"August, 2011",32  0 (0%),33.6,30.4,32.0,32.0,32.0,32.0,32.0,32.0,33.7,10.0,320
"September, 2011",34  0 (0%),35.7,32.3,34.0,34.0,34.0,34.0,34.0,34.0,35.8,255.1,9.098.400
"October, 2011","33,7  0,7 (2,12%)",34.6,31.4,33.0,33.7,33.7,33.7,33.7,33.7,37.1,3.0,101.100
"November, 2011","32  0,5 (1,59%)",33.0,30.0,31.5,30.0,32.0,30.0,32.0,30.52,35.2,300.0,9.155
"December, 2011","28,4  -1,4 (-4,7%)",31.2,28.4,29.8,28.4,28.5,28.4,28.4,28.4,31.3,12.02,341.373
"January, 2012","28,2  -1,4 (-4,73%)",31.0,28.2,29.6,28.5,28.5,28.2,28.2,28.43,31.1,130.0,3.696
"February, 2012",33  0 (0%),34.6,31.4,33.0,33.0,33.0,31.5,33.0,32.84,36.3,1.83,60.105
"March, 2012","37  -0,2 (-0,54%)",39.0,35.4,37.2,37.0,37.0,37.0,37.0,37.0,40.7,30.08,1.064.960
"April, 2012","36  -0,5 (-1,37%)",38.3,34.7,36.5,36.5,36.5,36.0,36.0,36.27,39.6,280.0,10.155
"May, 2012","37,5  0,5 (1,35%)",38.8,35.2,37.0,37.5,37.5,37.5,37.5,37.5,41.3,710.0,26.625
"June, 2012","41,9  1,3 (3,2%)",42.6,38.6,40.6,41.9,41.9,41.9,41.9,41.9,46.1,305.0,11.909.500
"July, 2012","36  -1 (-2,7%)",38.8,35.2,37.0,36.0,36.1,36.0,36.0,36.0,40.7,5.11,183.97
"August, 2012","32,2  0 (0%)",33.8,30.6,32.2,32.2,32.2,32.2,32.2,32.2,36.4,5.0,161.0
"September, 2012","28,4  -1,2 (-4,05%)",31.0,28.2,29.6,28.4,28.4,28.4,28.4,28.4,32.1,10.0,284
"October, 2012","31  -1,6 (-4,91%)",34.2,31.0,32.6,31.0,31.0,31.0,31.0,31.0,35.0,50.0,1.55
"November, 2012",31  0 (0%),32.5,29.5,31.0,0.0,0.0,0.0,31.0,0.0,35.0,360.0,11.149
"December, 2012","24,9  1,1 (4,62%)",24.9,22.7,23.8,24.9,24.9,24.9,24.9,24.9,31.5,4.02,100.098
"January, 2013","26,6  0 (0%)",28.4,24.8,26.6,26.6,26.6,26.6,26.6,26.6,33.7,200.0,5.32
"February, 2013","27,2  -1,3 (-4,56%)",30.4,26.6,28.5,27.2,27.2,27.2,27.2,27.2,33.9,10.0,272
"March, 2013","25,9  0,6 (2,37%)",27.0,23.6,25.3,23.6,26.0,23.6,25.9,25.52,32.3,5.2,132.69
"April, 2013","26,9  0 (0%)",28.7,25.1,26.9,0.0,0.0,0.0,26.9,0.0,33.5,60.0,1.619
"May, 2013","31,5  1,7 (5,7%)",31.8,27.8,29.8,30.0,31.5,29.8,31.5,30.22,39.3,10.84,327.567
"June, 2013","26,6  1,6 (6,4%)",26.7,23.3,25.0,26.6,26.6,26.6,26.6,26.6,43.2,16.99,451.934
"July, 2013","22,9  -0,1 (-0,43%)",24.6,21.4,23.0,23.0,23.0,22.9,22.9,22.98,37.2,90.0,2.068
"August, 2013","21,3  0 (0%)",22.7,19.9,21.3,21.3,21.3,21.3,21.3,21.3,34.6,150.0,3.195
"September, 2013",22  0 (0%),23.5,20.5,22.0,22.0,22.0,22.0,22.0,22.0,35.7,1.09,23.98
"October, 2013",22  0 (0%),23.5,20.5,22.0,0.0,0.0,0.0,22.0,0.0,35.7,780.0,17.16
"November, 2013","22,9  -0,5 (-2,14%)",25.0,21.8,23.4,22.9,23.0,22.9,22.9,22.95,37.2,260.0,5.966
"December, 2013","23,5  0 (0%)",25.1,21.9,23.5,0.0,0.0,0.0,23.5,0.0,38.2,9.59,225.517
"January, 2014","24,1  0,9 (3,88%)",24.8,21.6,23.2,24.0,24.1,24.0,24.1,24.01,39.1,16.91,405.93
"February, 2014",26  0 (0%),27.8,24.2,26.0,26.4,26.4,25.5,26.0,26.06,44.5,1.61,41.96
"March, 2014","28,7  1,6 (5,9%)",28.9,25.3,27.1,27.5,28.7,27.2,28.7,27.53,53.1,2.63,72.414
"April, 2014","31,7  -1,1 (-3,35%)",35.0,30.6,32.8,32.8,32.8,31.7,31.7,32.47,60.9,15.2,493.54
"May, 2014","32,2  0 (0%)",34.4,30.0,32.2,32.2,32.7,32.2,32.2,32.39,60.4,370.93,12.013.000
"June, 2014","41,2  -0,2 (-0,48%)",44.2,38.6,41.4,41.0,41.9,40.2,41.2,41.22,77.2,51.83,2.136.000
"July, 2014","44,8  0,3 (0,67%)",47.6,41.4,44.5,44.1,45.3,43.7,44.8,44.46,84.0,126.51,5.625.000
"August, 2014","51  -1 (-1,92%)",55.5,48.4,52.0,52.0,52.5,51.0,51.0,51.73,98.5,100.76,5.212.000
"September, 2014",54  0 (0%),57.5,50.5,54.0,53.5,54.0,53.0,54.0,53.54,10.48,21.48,1.150.000
"October, 2014","52,5  0 (0%)",56.0,48.9,52.5,53.5,54.0,52.0,52.5,52.78,10.28,376.18,19.854.000
"November, 2014","37,5  1,5 (4,17%)",38.5,33.5,36.0,36.4,38.1,36.0,37.5,37.53,11.05,465.97,17.488.000
"December, 2014","37,9  1,1 (2,99%)",39.3,34.3,36.8,36.8,38.0,36.5,37.9,37.13,11.17,83.78,3.111.000
"January, 2015","43,5  1,1 (2,59%)",45.3,39.5,42.4,42.8,43.9,41.5,43.5,43.28,12.82,412.07,17.833.000
"February, 2015","41,9  -1,1 (-2,56%)",46.0,40.0,43.0,43.0,43.3,41.7,41.9,42.09,12.35,215.5,9.071.000
"March, 2015","37,7  0 (0%)",40.3,35.1,37.7,37.7,38.1,37.6,37.7,37.73,11.11,71.35,2.713.000
"April, 2015","36,1  -1,2 (-3,22%)",39.9,34.7,37.3,37.3,37.3,36.0,36.1,36.46,10.64,121.75,4.439.000
"May, 2015","37,4  0,8 (2,19%)",39.1,34.1,36.6,37.0,37.5,36.8,37.4,37.15,11.02,203.42,7.557.000
"June, 2015","38,6  -1,4 (-3,5%)",42.8,37.2,40.0,40.0,40.4,38.6,38.6,39.81,11.38,135.2,5.382.000
"July, 2015","40,8  -0,1 (-0,24%)",43.7,38.1,40.9,41.4,41.4,40.7,40.8,40.97,12.35,120.6,4.943.000
"August, 2015","37,1  -0,8 (-2,11%)",40.5,35.3,37.9,38.0,38.0,37.1,37.1,37.58,11.87,42.04,1.580.000
"September, 2015","36,5  -0,2 (-0,54%)",39.2,34.2,36.7,36.8,36.8,36.5,36.5,36.6,11.94,61.11,2.237.000
"October, 2015","36  -0,4 (-1,1%)",38.9,33.9,36.4,36.5,36.5,36.0,36.0,36.29,11.72,47.59,1.727.000
"November, 2015","35  -0,4 (-1,13%)",37.8,33.0,35.4,35.8,35.8,35.0,35.0,35.239999999999995,11.39,189.29,6.662.000
"December, 2015","29,2  0 (0%)",30.4,26.6,29.2,29.4,29.4,29.0,29.2,29.130000000000003,93.5,11.32,330.000
"January, 2016","28,6  -0,4 (-1,38%)",31.0,27.0,29.0,28.6,28.7,28.2,28.6,28.360000000000003,93.8,89.9,2.550.000
"February, 2016","29,4  -0,3 (-1,01%)",31.7,27.7,29.7,29.4,30.0,29.2,29.4,29.48,96.5,672.95,19.849.015
"March, 2016","27,5  0 (0%)",29.4,25.6,27.5,27.5,27.7,27.3,27.5,27.47,89.0,131.43,3.613.000
"April, 2016","28,9  -0,2 (-0,69%)",31.1,27.1,29.1,29.1,29.1,28.7,28.9,28.92,95.2,39.96,1.156.000
"May, 2016","33,9  -0,3 (-0,88%)",36.7,31.9,34.2,33.9,34.5,33.4,33.9,33.83,12.33,117.48,3.974.000
"June, 2016","45,5  0,6 (1,34%)",48.0,41.8,44.9,45.5,46.0,44.6,45.5,45.28,17.22,142.04,6.431.000
"July, 2016","52,5  -2 (-3,67%)",58.0,51.0,54.5,54.5,55.5,52.0,52.5,53.45,22.41,136.72,7.308.000
"August, 2016","55,5  -2 (-3,48%)",61.5,53.5,57.5,58.5,58.5,55.5,55.5,56.31,24.29,131.78,7.420.000
"September, 2016","58,8  -1,8 (-2,97%)",64.8,56.4,60.6,60.6,60.6,58.6,58.8,59.31,26.380000000000003,280.32,16.625.000
"October, 2016","54,9  -0,5 (-0,9%)",59.2,51.6,55.4,54.6,55.4,54.2,54.9,54.71,24.7,86.9,4.755.000
"November, 2016","47  1 (2,17%)",49.2,42.8,46.0,45.6,49.2,45.2,47.0,46.74,20.8,1.981.358,88.368.368
"December, 2016","57,8  -0,3 (-0,52%)",62.1,54.1,58.1,58.0,58.2,57.4,57.8,57.75,25.610000000000003,132.98,7.679.000
"January, 2017","56,5  0,5 (0,89%)",59.9,52.1,56.0,56.0,56.5,55.0,56.5,55.54,25.04,107.05,5.945.000
"February, 2017","46  -2 (-4,17%)",51.3,44.65,48.0,47.5,47.5,46.0,46.0,46.54,20.46,193.48,9.005.000
"March, 2017","54,2  -0,3 (-0,55%)",58.3,50.7,54.5,54.6,55.2,54.2,54.2,54.67,24.76,480.720,26.281.000
"April, 2017","53  0,5 (0,95%)",56.1,48.85,52.5,52.5,53.0,52.5,53.0,52.54,24.25,201.18,10.862.000
"May, 2017","56,3  0,8 (1,44%)",59.3,51.7,55.5,55.5,56.4,54.9,56.3,55.86,25.81,19.03,1.063.000
"June, 2017","59  -1,1 (-1,83%)",64.3,55.9,60.1,60.8,60.8,59.0,59.0,59.52,27.05,24.8,1.476.000
"July, 2017","51,8  0 (0%)",55.4,48.2,51.8,51.6,51.8,50.1,51.8,50.81,23.78,31.51,1.601.000
"August, 2017","49  -0,9 (-1,8%)",53.3,46.45,49.9,49.9,50.0,48.8,49.0,49.28,22.62,17.33,854.000
"September, 2017","51  -0,7 (-1,35%)",55.3,48.1,51.7,51.5,51.9,50.5,51.0,51.38,23.58,77.5,3.982.000
"October, 2017","46,9  -0,1 (-0,21%)",50.2,43.75,47.0,47.5,47.5,46.1,46.9,46.31,21.85,66.38,3.074.000
"November, 2017","53,4  0,5 (0,95%)",56.6,49.2,52.9,53.0,54.5,52.8,53.4,53.27,24.95,252.41,13.446.000
"December, 2017","53,3  -0,4 (-0,74%)",57.4,49.95,53.7,53.5,53.7,53.2,53.3,53.41,24.93,13.5,721.000
"January, 2018","55,5  -1,8 (-3,14%)",61.3,53.3,57.3,57.3,57.5,55.5,55.5,56.29,25.96,285.460,16.069.000
"February, 2018","51,5  0 (0%)",55.1,47.9,51.5,51.5,52.5,50.8,51.5,51.23,24.11,74.9,3.837.000
"March, 2018","70  2,4 (3,55%)",72.3,62.9,67.6,67.8,70.1,66.8,70.0,68.78999999999999,34.03,1.641.430,111.954.000
"April, 2018","59,4  -4,4 (-6,9%)",68.2,59.4,63.8,59.5,61.2,59.4,59.4,59.620000000000005,28.880000000000003,1.102.970,65.763.000
"May, 2018","52,8  1,9 (3,73%)",54.4,47.35,50.9,50.9,52.8,50.5,52.8,52.0,25.75,239.33,12.444.000
"June, 2018","58,7  -1,1 (-1,84%)",63.9,55.7,59.8,59.0,60.7,58.0,58.7,59.220000000000006,28.630000000000003,96.37,5.707.000
"July, 2018","70,2  -0,1 (-0,14%)",75.2,65.4,70.3,70.3,72.0,69.1,70.2,70.53999999999999,34.239999999999995,76.54,5.399.000
"August, 2018",77  0 (0%),82.3,71.7,77.0,77.0,78.5,76.0,77.0,77.4,37.56,307.28,23.783.000
"September, 2018","95,1  -1,9 (-1,96%)",10.37,90.3,97.0,98.6,98.6,95.0,95.1,95.69,46.39,305.46,29.228.000
"October, 2018","94  4 (4,44%)",96.3,83.7,90.0,91.9,95.1,91.4,94.0,93.0,45.85,1.730.530,155.340.000
"November, 2018","102  -3,6 (-3,41%)",11.29,98.3,10.56,10.53,10.54,10.1,10.2,102.75,49.75,394.64,40.550.000
"December, 2018","95  1,5 (1,6%)",100.0,87.0,93.5,94.0,95.0,92.7,95.0,93.99,47.28,382.2,35.923.000
"January, 2019","91,7  -0,3 (-0,33%)",98.4,85.6,92.0,92.0,92.0,90.0,91.7,91.11,47.19,185.0,16.856.000
"February, 2019","95  -2,2 (-2,26%)",10.4,90.4,97.2,96.5,97.0,94.5,95.0,95.88,48.89,187.83,18.009.000
"March, 2019","89,8  -1,2 (-1,32%)",97.3,84.7,91.0,91.0,91.7,89.0,89.8,90.42,46.21,320.62,28.990.640
"April, 2019","93,8  1,8 (1,96%)",98.4,85.6,92.0,92.8,94.8,92.8,93.8,93.74,48.27,300.84,28.201.000
"May, 2019","91  -2,5 (-2,67%)",100.0,87.0,93.5,92.9,93.5,90.7,91.0,92.16,47.86,597.47,55.063.000
"June, 2019",88  0 (0%),94.1,81.9,88.0,88.0,88.3,87.2,88.0,87.87,46.28,185.39,16.290.360
"July, 2019","88,9  0,6 (0,68%)",94.4,82.2,88.3,89.0,89.2,88.1,88.9,88.92,46.760000000000005,132.0,11.737.000
"August, 2019","80,2  2,2 (2,82%)",83.4,72.6,78.0,78.0,80.2,76.1,80.2,78.33,41.23,203.08,15.908.000
"September, 2019","81,4  2,4 (3,04%)",84.5,73.5,79.0,79.0,81.9,79.0,81.4,80.64,41.85,259.93,20.961.000
"October, 2019","80,8  -0,2 (-0,25%)",86.6,75.4,81.0,81.0,81.3,80.6,80.8,80.85,41.54,101.19,8.181.000
"November, 2019","76,1  -2,3 (-2,93%)",83.8,73.0,78.4,78.4,78.4,76.1,76.1,76.7,39.12,32.14,2.465.000
"December, 2019","39,65  0,15 (0,38%)",42.25,36.75,39.5,39.9,39.9,39.0,39.65,39.23,40.77,26.13,1.025.000
"January, 2020","34,9  -2,6 (-6,93%)",40.1,34.9,37.5,36.8,37.5,34.9,34.9,36.07,35.33,307.96,11.106.400
"February, 2020","31  -0,45 (-1,43%)",33.65,29.25,31.45,31.0,31.45,30.8,31.0,30.97,31.380000000000003,151.16,4.682.000
"March, 2020","20,5  -0,6 (-2,84%)",22.55,19.65,21.1,21.8,21.8,20.1,20.5,20.86,20.5,692.250,14.562.117
"April, 2020","29,7  0,1 (0,34%)",31.65,27.55,29.6,30.0,30.5,29.6,29.7,29.9,29.7,345.800,10.339.000
"May, 2020","33,6  -0,3 (-0,88%)",36.25,31.55,33.9,33.8,34.0,33.5,33.6,33.64,33.6,380.570,12.804.000
"June, 2020","35,1  -0,1 (-0,28%)",37.65,32.75,35.2,35.4,35.9,33.5,35.1,34.480000000000004,0.0,876.520,30.980.000
"July, 2020","34,1  -0,7 (-2,01%)",37.2,32.4,34.8,33.55,34.85,33.55,34.1,34.510000000000005,0.0,357.43,12.336.000
"August, 2020","38,1  -0,6 (-1,55%)",41.4,36.0,38.7,38.7,38.8,38.0,38.1,38.27,0.0,649.980,24.872.000
"September, 2020","43,8  0 (0%)",46.85,40.75,43.8,43.85,44.05,43.0,43.8,43.46,0.0,503.990,21.901.000
"October, 2020","40,9  0 (0%)",43.75,38.05,40.9,41.5,41.5,40.85,40.9,41.0,0.0,202.710,8.312.000
"November, 2020","44,2  -0,85 (-1,89%)",48.2,41.9,45.05,45.1,45.1,43.5,44.2,44.52,0.0,732.820,32.625.000
"December, 2020","41,4  0,85 (2,1%)",43.35,37.75,40.55,40.9,41.95,40.6,41.4,41.57,0.0,1.336.680,55.568.000
"January, 2021","38  0,1 (0,26%)",40.55,35.25,37.9,35.3,39.3,35.3,38.0,37.44,0.0,1.215.100,45.492.000
"February, 2021","39,8  -0,1 (-0,25%)",42.65,37.15,39.9,39.05,40.0,39.05,39.8,39.46,0.0,540.300,21.321.000
"March, 2021","38,8  -0,2 (-0,51%)",41.7,36.3,39.0,38.75,39.1,38.6,38.8,38.75,0.0,713.800,27.662.000
"April, 2021","36,9  0 (0%)",39.45,34.35,36.9,36.9,36.95,36.55,36.9,36.760000000000005,0.0,519.300,19.088.000
"May, 2021","40  -0,2 (-0,5%)",43.0,37.4,40.2,40.6,40.65,39.5,40.0,39.86,0.0,1.257.000,50.100.000
"June, 2021","45,5  0,05 (0,11%)",48.6,42.3,45.45,45.45,46.5,45.4,45.5,45.91,0.0,1.656.400,76.039.000
"July, 2021","41,1  0,1 (0,24%)",43.85,38.15,41.0,41.0,41.55,40.95,41.1,41.21,0.0,1.205.700,49.687.000
"August, 2021","49,55  -0,45 (-0,9%)",53.5,46.5,50.0,50.9,50.9,49.15,49.55,50.08,0.0,3.423.300,171.430.000
"September, 2021","51,7  -0,1 (-0,19%)",55.4,48.2,51.8,52.7,52.7,51.6,51.7,52.21,0.0,1.352.400,70.607.000
"October, 2021","63  0,5 (0,8%)",66.8,58.2,62.5,62.5,63.9,61.1,63.0,62.220000000000006,0.0,2.009.200,125.008.000
"November, 2021","61,2  0,3 (0,49%)",65.1,56.7,60.9,62.0,62.9,60.6,61.2,61.510000000000005,0.0,822.100,50.565.000
"December, 2021","62,8  -0,4 (-0,63%)",67.6,58.8,63.2,63.2,64.9,62.6,62.8,63.28,0.0,310.200,19.630.000
