Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","16,9  -0,1 (-0,59%)",19.5,14.5,17.0,16.9,16.9,16.9,16.9,16.9,16.9,1.61,27.209
"February, 2017","17,1  0,07 (0,39%)",19.5,14.5,17.0,16.9,17.2,16.9,17.1,17.07,17.1,13.447,229.477
"March, 2017","18  0,19 (1,06%)",20.4,15.2,17.8,18.0,18.0,17.7,18.0,17.990000000000002,18.0,42.058,756.520
"April, 2017","20,3  0,24 (1,18%)",23.0,17.0,20.0,20.2,20.5,20.1,20.3,20.24,20.3,17.003,344.084
"May, 2017","22,6  0,24 (1,06%)",25.9,19.3,22.6,23.0,23.0,22.5,22.6,22.84,22.6,16.824,384.240
"June, 2017","22,5  -0,14 (-0,6%)",25.8,19.2,22.5,22.5,22.5,22.0,22.5,22.36,22.5,17.069,381.753
"July, 2017","22,8  0,48 (2,13%)",25.7,19.1,22.4,22.5,23.5,22.4,22.8,22.880000000000003,22.8,43.6,997.440
"August, 2017","21,1  -1,23 (-5,76%)",24.6,18.2,21.4,21.4,21.4,18.2,21.1,20.17,21.1,19.29,389.118
"September, 2017","21,6  -0,23 (-1,04%)",24.8,18.4,21.6,21.6,21.6,21.1,21.6,21.380000000000003,21.6,9.228,197.256
"October, 2017","22  -0,07 (-0,31%)",25.1,18.7,21.9,21.8,22.0,21.8,22.0,21.83,22.0,224.370,4.932.077
"November, 2017","22,4  -0,26 (-1,12%)",26.4,19.6,23.0,23.1,23.1,22.3,22.4,22.74,22.4,115.471,2.626.191
"December, 2017","23  -0,08 (-0,34%)",26.6,19.8,23.2,23.2,23.3,23.0,23.0,23.12,23.0,46.72,1.080.232
"January, 2018","30,2  0,15 (0,49%)",34.8,25.8,30.3,30.3,30.8,30.2,30.2,30.45,30.2,249.980,7.611.117
"February, 2018","32,5  2,11 (6,81%)",35.6,26.4,31.0,31.0,35.0,31.0,32.5,33.11,32.5,2.717.323,89.966.155
"March, 2018","40,5  -0,06 (-0,14%)",46.5,34.5,40.5,41.4,43.0,40.0,40.5,40.44,40.5,211.24599999999998,8.620.339
"April, 2018","34,9  0,91 (2,71%)",38.4,28.4,33.4,32.0,35.0,32.0,34.9,34.31,34.9,293.365,10.064.111
"May, 2018","28,1  0,28 (0,99%)",31.8,23.6,27.7,27.7,28.3,27.6,28.1,27.98,28.1,228.678,6.397.305
"June, 2018","27  0,11 (0,4%)",30.9,22.9,26.9,26.8,27.5,26.5,27.0,27.01,27.0,127.100,3.432.760
"July, 2018","27,3  0,05 (0,17%)",30.9,22.9,26.9,27.2,27.3,26.5,27.3,26.95,27.3,140.610,3.789.021
"August, 2018","27,9  0,16 (0,58%)",31.7,23.5,27.6,27.7,27.9,27.6,27.9,27.76,27.9,134.172,3.724.794
"September, 2018","29,5  0,23 (0,81%)",33.3,24.7,29.0,28.9,29.6,24.7,29.5,29.24,29.5,246.106,7.192.823
"October, 2018","27  0,51 (1,94%)",30.3,22.5,26.4,26.5,27.4,26.5,27.0,26.910000000000004,27.0,490.81,13.022.037
"November, 2018","18,7  -0,26 (-1,34%)",21.9,16.3,19.1,19.1,19.1,18.7,18.7,18.84,18.7,141.238,2.661.593
"December, 2018","17,6  -0,29 (-1,63%)",20.7,15.3,18.0,18.0,18.0,17.5,17.6,17.71,17.6,159.827,2.829.826
"January, 2019","17,3  0,06 (0,36%)",19.8,14.8,17.3,17.4,17.5,17.2,17.3,17.36,17.3,230.369,3.999.595
"February, 2019","18,5  -0,25 (-1,33%)",21.6,16.0,18.8,18.9,18.9,18.3,18.5,18.55,18.5,444.75300000000004,8.250.043
"March, 2019","19  0,13 (0,69%)",21.8,16.2,19.0,19.2,19.4,19.0,19.0,19.130000000000003,19.0,513.224,9.818.921
"April, 2019","19  0,08 (0,41%)",21.7,16.1,18.9,19.0,19.2,18.9,19.0,18.98,19.0,82.97,1.574.573
"May, 2019","18  0,04 (0,23%)",20.7,15.3,18.0,18.0,18.2,17.9,18.0,18.04,18.0,405.470,7.315.546
"June, 2019","16,4  -0,1 (-0,59%)",18.8,14.0,16.4,16.3,16.4,16.2,16.4,16.3,16.4,87.01,1.418.620
"July, 2019","18,7  -0,21 (-1,1%)",21.6,16.0,18.8,18.7,18.7,18.5,18.7,18.59,18.7,284.724,5.293.783
"August, 2019","17,5  0,05 (0,26%)",20.1,14.9,17.5,17.5,17.9,17.4,17.5,17.55,17.5,283.709,4.977.957
"September, 2019","18  -0,03 (-0,16%)",20.8,15.4,18.1,18.1,18.2,17.9,18.0,18.07,18.0,905.936,16.371.274
"October, 2019","17,5  -0,1 (-0,55%)",20.3,15.1,17.7,17.8,17.8,17.5,17.5,17.6,17.5,1.057.254,18.610.617
"November, 2019","17,1  0,09 (0,54%)",19.6,14.6,17.1,17.2,17.2,17.1,17.1,17.19,17.1,380.762,6.546.573
"December, 2019","17,3  -0,1 (-0,56%)",20.2,15.0,17.6,17.6,17.6,17.3,17.3,17.5,17.3,198.09400000000002,3.467.086
"January, 2020","17,1  -0,27 (-1,53%)",20.0,14.8,17.4,17.3,17.3,17.0,17.1,17.130000000000003,17.1,988.717,16.939.342
"February, 2020","18,1  -0,27 (-1,47%)",21.0,15.6,18.3,18.2,18.3,17.9,18.1,18.03,18.1,1.909.126,34.423.895
"March, 2020","12,8  0,09 (0,71%)",14.7,10.9,12.8,12.9,13.3,12.5,12.8,12.89,12.8,925.612,11.931.945
"April, 2020","14,5  0,09 (0,62%)",16.5,12.3,14.4,14.5,14.6,14.4,14.5,14.49,14.5,418.833,6.068.369
"May, 2020","16,3  0,09 (0,58%)",18.6,13.8,16.2,16.2,16.4,16.1,16.3,16.29,16.3,654.976,10.672.291
"June, 2020","17,4  0,03 (0,18%)",20.0,14.8,17.4,17.5,17.7,17.2,17.4,17.43,0.0,505.81300000000005,8.817.396
"July, 2020","18  0,24 (1,34%)",20.4,15.2,17.8,17.5,18.3,17.3,18.0,18.04,0.0,955.484,17.235.167
"August, 2020","22  -0,51 (-2,26%)",25.9,19.3,22.6,22.6,22.8,21.8,22.0,22.09,0.0,2.777.800,61.363.067
