Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","95  -1,5 (-1,55%)",10.1,92.0,96.5,95.0,95.0,93.0,95.0,94.83,56.0,18.87,1.789.360
"February, 2010","89,5  -3,5 (-3,76%)",97.5,88.5,93.0,92.0,92.0,89.0,89.5,89.91,53.8,337.3,30.327.405
"March, 2010","89,5  -1 (-1,1%)",95.0,86.0,90.5,90.5,90.5,89.5,89.5,89.69,53.8,268.82,24.084.610
"April, 2010","113  2 (1,8%)",11.6,10.6,11.1,11.2,11.3,11.1,11.3,112.03,68.8,84.38,9.452.880
"May, 2010","65,5  -1 (-1,5%)",69.5,63.5,66.5,66.5,67.0,65.0,65.5,65.7,70.8,85.62,5.625.110
"June, 2010","69,5  0,5 (0,72%)",72.0,66.0,69.0,67.5,69.5,67.0,69.5,68.4,75.1,187.37,12.816.810
"July, 2010","68  0,5 (0,74%)",70.5,64.5,67.5,68.0,68.5,67.0,68.0,68.0,73.5,83.39,5.670.195
"August, 2010","63  1 (1,61%)",65.0,59.0,62.0,63.0,63.5,62.5,63.0,62.92999999999999,68.1,383.41,24.128.850
"September, 2010","61  -0,5 (-0,81%)",64.5,58.5,61.5,59.5,61.5,59.5,61.0,60.64,65.9,138.73,8.412.615
"October, 2010","67,5  0 (0%)",70.5,64.5,67.5,68.0,68.0,67.0,67.5,67.52000000000001,72.9,86.84,5.863.275
"November, 2010",81  0 (0%),85.0,77.0,81.0,80.0,81.5,80.0,81.0,80.92999999999999,87.5,106.08,8.585.060
"December, 2010","97,5  1,5 (1,56%)",100.0,91.5,96.0,96.0,100.0,96.0,97.5,97.67,10.62,90.74,8.862.775
"January, 2011","94,5  4,5 (5%)",94.5,85.5,90.0,90.0,94.5,90.0,94.5,93.75,10.37,67.03,6.283.905
"February, 2011","107  -1 (-0,93%)",11.3,10.3,10.8,10.8,11.2,10.7,10.7,109.28,11.86,335.19,36.627.930
"March, 2011",131  0 (0%),13.7,12.5,13.1,13.5,13.6,13.0,13.1,133.85,14.52,77.7,10.400.120
"April, 2011","134  1 (0,75%)",13.9,12.7,13.3,13.4,13.4,13.2,13.4,133.78,14.86,29.22,3.908.920
"May, 2011","111  5 (4,72%)",11.1,10.1,10.6,10.7,11.1,10.7,11.1,110.77,12.37,54.24,6.008.230
"June, 2011","137  3 (2,24%)",14.0,12.8,13.4,13.4,13.7,13.4,13.7,135.26,16.009999999999998,141.85,19.186.460
"July, 2011","115  -5 (-4,17%)",12.6,11.4,12.0,11.8,12.0,11.4,11.5,114.84,13.44,136.39,15.663.010
"August, 2011","118  5 (4,42%)",11.8,10.8,11.3,11.6,11.8,11.3,11.8,115.36,13.79,55.99,6.458.930
"September, 2011",100  0 (0%),10.5,95.0,100.0,99.0,10.2,99.0,100.0,100.28,11.72,175.98,17.647.280
"October, 2011","93,5  0 (0%)",98.0,89.0,93.5,95.0,96.0,93.5,93.5,94.28,10.96,64.51,6.082.210
"November, 2011","83,5  0 (0%)",87.5,79.5,83.5,83.5,83.5,83.0,83.5,83.31,97.8,81.69,6.805.745
"December, 2011","99,5  0,5 (0,51%)",10.3,94.5,99.0,99.0,100.0,99.0,99.5,99.4,11.78,76.710,7.624.685
"January, 2012","109  1 (0,93%)",11.3,10.3,10.8,11.0,11.0,10.8,10.9,109.13,12.97,200.100,21.837.810
"February, 2012","105  -5 (-4,55%)",11.5,10.5,11.0,11.0,11.0,10.5,10.5,105.59,12.49,2.304.553,253.114.990
"March, 2012","96  1,5 (1,59%)",99.0,90.0,94.5,96.0,96.0,94.0,96.0,94.89,11.51,196.260,18.622.785
"April, 2012",101  1 (1%),10.5,95.0,100.0,10.1,10.1,100.0,10.1,100.77,12.33,171.160,17.247.280
"May, 2012","103  -2 (-1,9%)",11.0,100.0,10.5,10.3,10.5,10.3,10.3,103.73,12.6,61.25,6.353.340
"June, 2012","84  -0,5 (-0,59%)",88.5,80.5,84.5,83.0,84.5,83.0,84.0,83.71000000000001,13.11,664.171,55.910.225
"July, 2012","77  -0,5 (-0,65%)",81.0,74.0,77.5,76.5,77.5,76.5,77.0,77.12,12.02,159.95,12.334.745
"August, 2012","70,5  -3,5 (-4,73%)",77.5,70.5,74.0,73.0,73.0,70.5,70.5,71.05,11.0,208.77,14.832.280
"September, 2012",83  0 (0%),87.0,79.0,83.0,83.0,83.5,80.5,83.0,82.45,12.96,278.510,22.964.385
"October, 2012",78  0 (0%),81.5,74.5,78.0,77.0,78.0,77.0,78.0,77.96000000000001,12.17,46.42,3.619.040
"November, 2012","73,5  -0,5 (-0,68%)",77.5,70.5,74.0,73.0,73.5,72.0,73.5,73.38,11.47,13.983.756,1.048.456.425
"December, 2012","80  3 (3,9%)",80.5,73.5,77.0,77.0,80.0,76.5,80.0,78.88,12.49,145.570,11.341.745
"January, 2013","66,5  -0,5 (-0,75%)",71.5,62.5,67.0,66.0,67.0,66.0,66.5,66.38,13.79,156.19,10.368.219
"February, 2013","67  3,5 (5,51%)",67.5,59.5,63.5,63.5,67.5,63.5,67.0,66.05,13.89,551.700,36.437.175
"March, 2013","63,5  -0,5 (-0,78%)",68.0,60.0,64.0,63.0,64.0,63.0,63.5,63.41,13.16,36.080,2.287.840
"April, 2013",62  0 (0%),66.0,58.0,62.0,61.0,62.0,61.0,62.0,61.58,12.85,82.48,5.078.985
"May, 2013","68  -3,5 (-4,9%)",76.5,66.5,71.5,73.0,73.0,68.0,68.0,69.69,14.1,779.040,54.289.175
"June, 2013","62,5  -0,5 (-0,79%)",67.0,59.0,63.0,63.0,63.5,62.5,62.5,62.77,12.96,1.679.600,107.164.880
"July, 2013","63  1 (1,61%)",66.0,58.0,62.0,62.0,63.0,61.0,63.0,62.42,13.06,273.900,17.097.845
"August, 2013","62,5  1 (1,63%)",65.5,57.5,61.5,61.5,62.5,61.5,62.5,61.83,12.96,157.030,9.709.625
"September, 2013","62,5  0 (0%)",66.5,58.5,62.5,62.5,63.0,62.0,62.5,62.49,12.96,801.040,49.846.710
"October, 2013","67,5  0,5 (0,75%)",71.5,62.5,67.0,67.0,67.5,67.0,67.5,67.16,13.99,132.42,8.893.535
"November, 2013","69  1 (1,47%)",72.5,63.5,68.0,68.0,69.0,68.0,69.0,68.51,14.3,358.020,24.528.000
"December, 2013","70  1 (1,45%)",73.5,64.5,69.0,70.0,70.5,68.0,70.0,69.49,14.51,96.990,6.739.865
"January, 2014","76,5  0 (0%)",81.5,71.5,76.5,76.5,76.5,76.0,76.5,76.25,15.86,148.840,11.348.975
"February, 2014","76,5  -1,5 (-1,92%)",83.0,73.0,78.0,78.0,78.0,76.5,76.5,77.41,15.96,183.98,14.241.995
"March, 2014","73,5  -0,5 (-0,68%)",79.0,69.0,74.0,75.0,75.0,73.5,73.5,73.57000000000001,15.14,250.690,18.451.595
"April, 2014","65  -0,5 (-0,76%)",70.0,61.0,65.5,65.5,66.5,64.5,65.0,65.31,13.080000000000002,588.810,38.454.620
"May, 2014","68,5  1,5 (2,24%)",71.5,62.5,67.0,67.0,68.5,66.0,68.5,67.71000000000001,13.88,490.87,33.238.000
"June, 2014","64  0,5 (0,79%)",67.5,59.5,63.5,63.5,64.0,63.0,64.0,63.8,12.97,375.360,23.949.000
"July, 2014","74  1 (1,37%)",78.0,68.0,73.0,73.0,74.5,72.5,74.0,73.58,14.99,853.780,62.640.000
"August, 2014","58,5  2,5 (4,46%)",59.5,52.5,56.0,57.0,59.5,55.5,58.5,56.86,18.14,18.242.820,1.024.290.000
"September, 2014","48  -0,5 (-1,03%)",51.5,45.2,48.5,47.6,48.6,45.8,48.0,46.78,14.96,4.871.710,227.907.000
"October, 2014","48  0,4 (0,84%)",50.5,44.3,47.6,47.6,48.0,47.1,48.0,47.58,15.56,1.070.860,50.923.000
"November, 2014","48,3  0,1 (0,21%)",51.5,44.9,48.2,48.5,49.1,48.3,48.3,48.84,16.28,1.001.310,48.905.000
"December, 2014","47,7  0,2 (0,42%)",50.5,44.2,47.5,47.6,48.0,47.4,47.7,47.7,16.59,334.990,15.980.000
"January, 2015","48  0,4 (0,84%)",50.5,44.3,47.6,47.7,48.4,47.6,48.0,48.1,17.47,1.038.950,49.997.000
"February, 2015","49,5  -0,4 (-0,8%)",53.0,46.5,49.9,50.0,50.0,49.5,49.5,49.64,18.28,637.990,31.667.000
"March, 2015","47  0,4 (0,86%)",49.8,43.4,46.6,46.6,47.1,46.6,47.0,46.92,17.880000000000003,822.720,38.605.000
"April, 2015","48,6  -0,2 (-0,41%)",52.0,45.4,48.8,49.0,49.0,48.6,48.6,48.81,18.98,4.974.670,257.797.000
