Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","11,3  -0,1 (-0,88%)",11.9,10.9,11.4,11.4,11.6,11.3,11.3,11.38,60.8,208.92,2.376.631
"February, 2010","12,1  0,5 (4,31%)",12.1,11.1,11.6,11.5,12.1,11.5,12.1,11.83,65.1,225.6,2.668.645
"March, 2010","12,7  0,6 (4,96%)",12.7,11.5,12.1,12.3,12.7,12.2,12.7,12.66,68.3,717.79,9.089.849
"April, 2010","15  0,7 (4,9%)",15.0,13.6,14.3,14.5,15.0,14.3,15.0,14.87,80.7,1.022.850,15.223.027
"May, 2010","14  -0,5 (-3,45%)",15.2,13.8,14.5,14.4,14.4,14.0,14.0,14.11,75.3,346.930,4.895.990
"June, 2010","16  0,7 (4,58%)",16.0,14.6,15.3,14.9,16.0,14.9,16.0,15.75,10.25,1.623.530,25.566.514
"July, 2010","14,4  0 (0%)",15.1,13.7,14.4,14.6,14.8,14.4,14.4,14.62,92.2,218.88,3.200.104
"August, 2010","12  0,5 (4,35%)",12.0,11.0,11.5,11.6,12.0,11.6,12.0,11.91,76.9,399.9,4.764.464
"September, 2010","11,8  0 (0%)",12.3,11.3,11.8,11.9,11.9,11.7,11.8,11.75,75.6,109.17,1.282.537
"October, 2010","10,6  0 (0%)",11.1,10.1,10.6,10.9,10.9,10.5,10.6,10.63,67.9,136.51,1.451.190
"November, 2010","10,3  0,4 (4,04%)",10.3,95.0,99.0,10.2,10.3,10.1,10.3,10.28,66.0,308.82,3.173.466
"December, 2010","10,4  0 (0%)",10.9,99.0,10.4,10.2,10.7,10.2,10.4,10.45,66.6,124.4,1.287.040
"January, 2011","10,3  -0,1 (-0,96%)",10.9,99.0,10.4,10.2,10.4,10.2,10.3,10.32,66.0,79.470,819.846
"February, 2011","8,7  -0,1 (-1,14%)",92.0,84.0,88.0,9.0,91.0,87.0,87.0,88.4,55.7,113.41,1.002.697
"March, 2011","8,6  -0,4 (-4,44%)",94.0,86.0,9.0,88.0,9.0,86.0,86.0,86.6,55.1,561.92,4.865.318
"April, 2011","6,7  -0,2 (-2,9%)",72.0,66.0,69.0,67.0,7.0,67.0,67.0,67.4,42.9,90.32,608.704
"May, 2011","5,8  0 (0%)",6.0,56.0,58.0,56.0,58.0,56.0,58.0,57.2,37.1,17.3,99.008
"June, 2011","5,7  0 (0%)",59.0,55.0,57.0,58.0,58.0,56.0,57.0,56.1,36.5,45.51,255.414
"July, 2011",5  0 (0%),52.0,48.0,5.0,5.0,5.0,49.0,5.0,49.7,32.0,16.1,80.055
"August, 2011","5,1  0,1 (2%)",52.0,48.0,5.0,5.0,51.0,5.0,51.0,50.6,32.7,48.71,246.354
"September, 2011","5,7  -0,2 (-3,39%)",61.0,57.0,59.0,59.0,59.0,57.0,57.0,57.2,36.5,22.48,128.665
"October, 2011","4,9  -0,1 (-2%)",52.0,48.0,5.0,52.0,52.0,49.0,49.0,49.7,31.4,21.93,108.946
"November, 2011","4,1  -0,2 (-4,65%)",45.0,41.0,43.0,42.0,42.0,41.0,41.0,41.0,26.3,22.03,90.424
"December, 2011","4  0,1 (2,56%)",4.0,38.0,39.0,38.0,4.0,38.0,4.0,39.9,25.6,7.91,31.538
"January, 2012","3,8  -0,1 (-2,56%)",4.0,38.0,39.0,39.0,39.0,38.0,38.0,38.2,24.3,47.88,182.989
"February, 2012",4  0 (0%),42.0,38.0,4.0,4.0,41.0,39.0,4.0,4.0,25.6,41.58,166.154
"March, 2012","4,2  -0,1 (-2,33%)",45.0,41.0,43.0,42.0,43.0,41.0,42.0,41.9,26.9,91.54,383.997
"April, 2012","4,5  0,2 (4,65%)",45.0,41.0,43.0,44.0,45.0,44.0,45.0,44.9,28.8,283.63,1.274.785
"May, 2012","5,2  0,1 (1,96%)",53.0,49.0,51.0,5.0,52.0,49.0,52.0,50.5,33.3,46.85,236.504
"June, 2012","4,7  0,2 (4,44%)",47.0,43.0,45.0,45.0,47.0,45.0,47.0,46.2,30.1,26.23,121.160
"July, 2012","4,5  0,1 (2,27%)",46.0,42.0,44.0,43.0,45.0,43.0,45.0,44.0,28.8,24.3,106.948
"August, 2012","4,3  0 (0%)",45.0,41.0,43.0,43.0,43.0,41.0,43.0,42.1,27.5,17.28,72.68
"September, 2012","3,8  -0,1 (-2,56%)",4.0,38.0,39.0,38.0,38.0,38.0,38.0,38.0,24.3,109.27,415.226
"October, 2012","2,8  0 (0%)",29.0,27.0,28.0,27.0,28.0,27.0,28.0,27.3,17.9,16.48,45.066
"November, 2012","2,5  -0,1 (-3,85%)",27.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,16.0,13.93,34.825
"December, 2012","2,7  0,1 (3,85%)",27.0,25.0,26.0,27.0,27.0,27.0,27.0,27.0,17.3,84.76,228.852
"January, 2013","3,2  -0,1 (-3,03%)",35.0,31.0,33.0,33.0,33.0,31.0,32.0,31.6,20.5,144.94,457.941
