Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","89,5  1,5 (1,7%)",92.0,84.0,88.0,87.0,89.5,84.5,89.5,86.84,21.67,256.36,22.261.225
"February, 2010","50  -40,5 (-44,75%)",50.0,45.4,90.5,50.0,50.0,50.0,50.0,50.0,23.2,176.170,8.808.500
"March, 2010","63  -3 (-4,55%)",69.0,63.0,66.0,64.5,65.5,63.0,63.0,63.7,29.26,556.97,35.480.420
"April, 2010","72  3 (4,35%)",72.0,66.0,69.0,72.0,72.0,71.5,72.0,72.0,33.44,1.048.100,75.458.385
"May, 2010","63,5  -2,5 (-3,79%)",69.0,63.0,66.0,65.5,65.5,63.5,63.5,64.28,29.49,361.54,23.593.105
"June, 2010","57  -1 (-1,72%)",60.5,55.5,58.0,56.5,58.0,56.5,57.0,57.04,26.48,245.08,13.980.040
"July, 2010","50,5  0,5 (1%)",52.5,47.5,50.0,50.0,51.5,50.0,50.5,50.87,23.6,214.29,10.900.020
"August, 2010","38,3  1,8 (4,93%)",38.3,34.7,36.5,37.9,38.3,37.0,38.3,38.03,18.02,313.020,11.912.687
"September, 2010","41,9  0,5 (1,21%)",43.4,39.4,41.4,41.0,41.9,41.0,41.9,41.49,19.72,223.09,9.254.935
"October, 2010","36,6  -0,1 (-0,27%)",38.5,34.9,36.7,36.7,37.0,36.5,36.6,36.68,17.22,138.03,5.063.007
"November, 2010","31,2  1,4 (4,7%)",31.2,28.4,29.8,31.2,31.2,31.2,31.2,31.2,14.68,119.860,3.739.632
"December, 2010","31,6  0,2 (0,64%)",32.9,29.9,31.4,31.4,31.8,31.3,31.6,31.51,14.87,378.14,12.054.020
"January, 2011","30,4  0 (0%)",31.9,28.9,30.4,30.7,30.7,30.4,30.4,30.5,14.31,175.76,5.360.607
"February, 2011","25,4  -0,8 (-3,05%)",27.5,24.9,26.2,26.3,26.6,25.2,25.4,25.87,11.95,148.94,3.852.542
"March, 2011","24,2  -0,2 (-0,82%)",25.6,23.2,24.4,24.9,25.1,24.2,24.2,24.380000000000003,12.17,139.65,3.404.376
"April, 2011","22,9  -0,1 (-0,43%)",24.1,21.9,23.0,23.5,23.5,22.9,22.9,23.06,11.51,179.51,4.139.252
"May, 2011","15,8  0 (0%)",16.5,15.1,15.8,15.5,15.8,15.1,15.8,15.330000000000002,82.0,246.34,3.777.430
"June, 2011","16,7  -0,6 (-3,47%)",18.1,16.5,17.3,17.3,17.3,16.7,16.7,16.86,86.7,214.38,3.606.033
"July, 2011","15,7  -0,2 (-1,26%)",16.6,15.2,15.9,15.9,16.0,15.6,15.7,15.7,81.5,109.49,1.719.416
"August, 2011","18,3  0,8 (4,57%)",18.3,16.7,17.5,17.5,18.3,17.3,18.3,18.130000000000003,95.0,910.4,16.504.030
"September, 2011","17,5  -0,4 (-2,23%)",18.7,17.1,17.9,17.9,17.9,17.5,17.5,17.64,90.9,230.18,4.059.621
"October, 2011","17,3  0 (0%)",18.1,16.5,17.3,18.0,18.0,17.3,17.3,17.72,89.8,479.53,8.498.706
"November, 2011","14  -0,3 (-2,1%)",15.0,13.6,14.3,14.2,14.3,14.0,14.0,14.11,72.7,77.94,1.099.615
"December, 2011","11,5  0,3 (2,68%)",11.7,10.7,11.2,11.4,11.6,11.2,11.5,11.42,59.7,165.09,1.884.917
"January, 2012","13,3  0 (0%)",13.9,12.7,13.3,13.3,13.8,13.2,13.3,13.52,69.1,246.73,3.336.455
"February, 2012","14,1  0 (0%)",14.8,13.4,14.1,13.8,14.2,13.5,14.1,13.93,73.2,358.27,4.992.197
