Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","24  -0,4 (-1,64%)",26.1,22.7,24.4,25.5,25.7,24.0,24.0,25.1,4825.05,10.9,273.160
"February, 2010","21,8  1,4 (6,86%)",21.8,19.0,20.4,20.2,21.8,20.0,21.8,21.7,4382.75,104.8,2.278.160
"March, 2010","18,2  0,1 (0,55%)",19.3,16.9,18.1,18.5,18.7,18.1,18.2,18.3,36.59,17.2,314.500
"April, 2010","19,5  0,5 (2,63%)",20.3,17.7,19.0,19.0,19.7,19.0,19.5,19.4,3920.35,139.4,2.698.030
"May, 2010","22  -0,1 (-0,45%)",23.6,20.6,22.1,22.5,22.5,20.6,22.0,21.8,4422.96,99.5,2.171.270
"June, 2010","19  -0,2 (-1,04%)",20.5,17.9,19.2,19.0,19.0,19.0,19.0,19.0,3819.83,3.1,58.9
"July, 2010","17,2  -0,3 (-1,71%)",18.7,16.3,17.5,17.7,17.7,17.2,17.2,17.6,3457.95,3.4,59.68
"August, 2010","13,7  0,1 (0,74%)",14.5,12.7,13.6,14.2,14.2,13.3,13.7,13.6,275.43,23.6,320.32
"September, 2010","12,9  0,4 (3,2%)",13.3,11.7,12.5,12.3,12.9,12.0,12.9,12.5,2593.46,7.6,95.22
"October, 2010","8,4  -0,6 (-6,67%)",96.0,84.0,9.0,84.0,85.0,84.0,84.0,84.0,2412.52,110.0,924.160
"November, 2010","8,6  0,5 (6,17%)",86.0,76.0,81.0,84.0,86.0,84.0,86.0,86.0,2469.9700000000003,88.7,759.640
"December, 2010","8,8  -0,2 (-2,22%)",96.0,84.0,9.0,89.0,92.0,88.0,88.0,89.0,2527.41,8.4,74.96
"January, 2011","9  -0,2 (-2,17%)",98.0,86.0,92.0,86.0,9.0,86.0,9.0,9.0,2584.85,1.1,9.86
"February, 2011","10,9  0 (0%)",11.6,10.2,10.9,11.0,11.0,10.5,10.9,10.9,3130.54,3.832.660,43.802.794
"March, 2011","9,4  0 (0%)",10.0,88.0,94.0,94.0,94.0,94.0,94.0,94.0,2699.73,1.0,9.4
"April, 2011","9,5  -0,4 (-4,04%)",10.5,93.0,99.0,93.0,95.0,93.0,95.0,94.0,2728.45,4.5,42.36
"May, 2011","6,9  0,4 (6,15%)",69.0,61.0,65.0,69.0,69.0,69.0,69.0,69.0,1981.72,3.0,20.7
"June, 2011","6,1  -0,4 (-6,15%)",69.0,61.0,65.0,62.0,62.0,61.0,61.0,61.0,1751.95,1.8,11.02
"July, 2011","5,6  -0,4 (-6,67%)",64.0,56.0,6.0,56.0,56.0,56.0,56.0,56.0,1608.35,100.0,560.0
"August, 2011","6,3  0 (0%)",67.0,59.0,63.0,0.0,0.0,0.0,63.0,63.0,1809.39,3.4,21.37
"September, 2011","5,5  0,2 (3,77%)",56.0,5.0,53.0,51.0,55.0,5.0,55.0,51.0,1579.63,2.7,13.9
"October, 2011","5,4  0 (0%)",57.0,51.0,54.0,51.0,54.0,51.0,54.0,53.0,1550.91,4.0,21.0
"November, 2011","4,3  0,2 (4,88%)",43.0,39.0,41.0,39.0,43.0,39.0,43.0,42.0,1234.98,300.0,1.25
"December, 2011","4,3  -0,3 (-6,52%)",49.0,43.0,46.0,43.0,43.0,43.0,43.0,43.0,1234.98,7.6,32.68
"January, 2012","3,9  0 (0%)",41.0,37.0,39.0,41.0,41.0,39.0,39.0,4.0,112.01,1.8,7.16
"February, 2012","5,2  0,3 (6,12%)",52.0,46.0,49.0,52.0,52.0,46.0,52.0,51.0,1493.47,8.7,44.03
"March, 2012","6  -0,1 (-1,64%)",65.0,57.0,61.0,6.0,6.0,6.0,6.0,6.0,1723.23,100.0,600.0
"April, 2012","14,2  0,9 (6,77%)",14.2,12.4,13.3,14.2,14.2,14.2,14.2,14.2,4426.89,25.500,362.100
"May, 2012","13,1  -0,2 (-1,5%)",14.2,12.4,13.3,13.2,13.3,12.6,13.1,13.1,4083.96,40.3,528.12
"June, 2012","12,6  -0,3 (-2,33%)",13.8,12.0,12.9,12.7,12.7,12.4,12.6,12.6,3928.08,20.6,258.43
"July, 2012","12,3  0 (0%)",13.1,11.5,12.3,12.3,12.5,12.1,12.3,12.3,3834.56,15.6,193.15
"August, 2012","11,7  0,1 (0,86%)",12.4,10.8,11.6,11.7,11.7,11.7,11.7,11.7,3647.51,2.0,23.4
"September, 2012","10,3  0 (0%)",11.0,96.0,10.3,0.0,0.0,0.0,10.3,10.3,3211.05,1.1,11.43
"October, 2012","7,4  0 (0%)",79.0,69.0,74.0,0.0,0.0,0.0,74.0,74.0,2306.9700000000003,900.0,6.66
"November, 2012","8,6  0,3 (3,61%)",88.0,78.0,83.0,83.0,86.0,83.0,86.0,86.0,2681.07,1.0,8.39
"December, 2012","7,5  0 (0%)",8.0,7.0,75.0,0.0,0.0,0.0,75.0,75.0,2338.15,700.0,5.16
"January, 2013","8,9  -0,1 (-1,11%)",99.0,81.0,9.0,89.0,89.0,89.0,89.0,89.0,277.46,3.0,26.7
"February, 2013","8,8  0,2 (2,33%)",94.0,78.0,86.0,88.0,88.0,88.0,88.0,88.0,2743.42,200.0,1.76
"March, 2013","7,9  0 (0%)",86.0,72.0,79.0,79.0,79.0,79.0,79.0,79.0,2462.85,100.0,790.0
"April, 2013","8,4  0 (0%)",92.0,76.0,84.0,0.0,0.0,0.0,84.0,84.0,2618.7200000000003,100.0,750.0
"May, 2013","5,6  -0,6 (-9,68%)",68.0,56.0,62.0,56.0,56.0,56.0,56.0,56.0,1745.8200000000002,200.0,1.12
"June, 2013",8  0 (0%),88.0,72.0,8.0,0.0,0.0,0.0,8.0,8.0,2494.02,200.0,1.6
"July, 2013",8  0 (0%),88.0,72.0,8.0,0.0,0.0,0.0,8.0,0.0,2494.02,1.0,6.0
"August, 2013",8  0 (0%),88.0,72.0,8.0,0.0,0.0,0.0,8.0,0.0,2494.02,600,4.880
"September, 2013",7  0 (0%),77.0,63.0,7.0,0.0,0.0,0.0,7.0,0.0,2390.21,6.8,47.6
"October, 2013","6,5  0 (0%)",71.0,59.0,65.0,0.0,0.0,0.0,65.0,0.0,2042.49,500.0,3.25
"November, 2013","6,7  0 (0%)",73.0,61.0,67.0,0.0,0.0,0.0,67.0,0.0,2126.05,3.6,25.02
"December, 2013","8,2  0,7 (9,33%)",82.0,68.0,75.0,78.0,82.0,78.0,82.0,79.7,2432.33,2.9,23.1
"January, 2014","10,3  0,1 (0,98%)",11.2,92.0,10.2,10.3,10.3,10.3,10.3,10.3,3023.66,900.0,9.27
"February, 2014",10  0 (0%),11.0,9.0,10.0,0.0,0.0,0.0,10.0,0.0,3104.95,1.4,13.5
"March, 2014","10,3  0 (0%)",11.3,93.0,10.3,0.0,10.6,10.6,10.3,0.0,156.77,22.250.000,235.850.000
"April, 2014","12,3  -0,3 (-2,38%)",13.8,11.4,12.6,13.5,13.8,12.0,12.3,12.17,2290.55,56.400,686.450
"May, 2014","12,3  0 (0%)",13.5,11.1,12.3,12.3,12.7,12.3,12.3,12.41,2191.52,42.8,530.96
"June, 2014",19  0 (0%),20.9,17.1,19.0,18.7,19.0,18.5,19.0,18.82,2300.96,117.3,2.208.460
"July, 2014","22  0,1 (0,46%)",24.0,19.8,21.9,21.7,22.1,21.7,22.0,21.87,2163.63,123.200,2.694.770
"August, 2014","23,3  2,1 (9,91%)",23.3,19.1,21.2,22.0,23.3,21.3,23.3,23.01,2259.77,695.4,16.003.800
"September, 2014","27,3  0,4 (1,49%)",29.5,24.3,26.9,27.5,27.6,26.5,27.3,27.0,2937.82,146.3,3.949.750
"October, 2014","47,3  4,3 (10%)",47.3,38.7,43.0,44.0,47.3,43.0,47.3,45.65,3982.13,625.100,28.727.120
"November, 2014","33,6  0,7 (2,13%)",36.1,29.7,32.9,32.1,34.2,30.3,33.6,33.32,2407.61,432.6,14.417.280
"December, 2014","20,5  0,6 (3,02%)",21.8,18.0,19.9,19.3,21.2,19.3,20.5,20.72,1506.3200000000002,656.817,13.593.873
"January, 2015","27,8  0,2 (0,72%)",30.3,24.9,27.6,26.6,28.2,26.5,27.8,27.17,1886.29,611.8,16.672.700
"February, 2015","20,1  0,1 (0,5%)",22.0,18.0,20.0,20.1,21.1,18.7,20.1,19.73,1495.17,2.455.665,48.483.391
"March, 2015","13,6  0 (0%)",14.9,12.3,13.6,13.5,13.9,13.3,13.6,13.57,1430.25,1.448.600,19.665.520
"April, 2015","10,6  -0,5 (-4,5%)",12.2,10.0,11.1,11.0,11.2,10.6,10.6,10.91,1191.35,430.200,4.674.370
"May, 2015","11,5  -0,7 (-5,74%)",13.4,11.0,12.2,12.3,12.3,11.3,11.5,11.81,1434.95,1.273.000,15.030.930
"June, 2015","11,2  -0,8 (-6,67%)",13.2,10.8,12.0,11.9,12.0,11.2,11.2,11.56,1733.02,1.817.417,20.939.959
"July, 2015","9,9  -0,5 (-4,81%)",11.4,94.0,10.4,10.4,10.6,99.0,99.0,10.3,1764.09,1.411.003,14.468.231
"August, 2015","8,1  -0,3 (-3,57%)",92.0,76.0,84.0,9.0,9.0,8.0,81.0,80.9,1644.13,1.340.115,10.847.453
"September, 2015","8,1  -0,1 (-1,22%)",9.0,74.0,82.0,83.0,83.0,81.0,81.0,82.1,2110.29,1.000.620,8.202.012
"October, 2015","7,5  -0,2 (-2,6%)",84.0,7.0,77.0,78.0,78.0,75.0,75.0,76.0,2097.59,630.400,4.781.500
"November, 2015","7,5  -0,3 (-3,85%)",85.0,71.0,78.0,77.0,78.0,75.0,75.0,76.0,2352.07,1.668.180,12.668.016
"December, 2015","6,8  -0,1 (-1,45%)",75.0,63.0,69.0,75.0,75.0,68.0,68.0,68.4,2440.84,353.090,2.413.606
"January, 2016","6,3  0 (0%)",69.0,57.0,63.0,63.0,64.0,62.0,63.0,62.9,2359.74,759.400,4.774.870
"February, 2016","6,6  -0,1 (-1,49%)",73.0,61.0,67.0,66.0,68.0,66.0,66.0,66.3,2487.73,1.080.240,7.155.380
"March, 2016","7,5  -0,3 (-3,85%)",85.0,71.0,78.0,77.0,78.0,74.0,75.0,76.0,2698.15,957.750,7.253.270
