Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11  -0,1 (-0,9%)",11.8,10.4,11.1,11.1,11.2,11.0,11.0,11.06,92.3,607.860,6.724.000
"February, 2014","7,5  0 (0%)",8.0,7.0,75.0,75.0,75.0,74.0,75.0,74.5,70.6,831.950,6.195.605
"March, 2014","7,7  -0,3 (-3,75%)",85.0,75.0,8.0,81.0,81.0,77.0,77.0,78.8,71.6,950.840,7.489.626
"April, 2014","6,7  0 (0%)",71.0,63.0,67.0,66.0,67.0,65.0,67.0,66.1,58.0,127.390,841.885
"May, 2014","5,9  0 (0%)",63.0,55.0,59.0,59.0,6.0,58.0,59.0,58.9,48.4,303.69,1.790.000
"June, 2014","6,4  0 (0%)",68.0,6.0,64.0,65.0,66.0,64.0,64.0,64.7,52.5,849.550,5.498.000
"July, 2014","6,1  0,2 (3,39%)",63.0,55.0,59.0,59.0,62.0,59.0,61.0,60.9,5.0,626.490,3.814.000
"August, 2014","7,5  -0,1 (-1,32%)",81.0,71.0,76.0,76.0,76.0,74.0,75.0,75.1,61.5,725.510,5.446.000
"September, 2014","8,5  0,2 (2,41%)",88.0,78.0,83.0,82.0,87.0,81.0,85.0,84.7,69.7,2.525.680,21.427.000
"October, 2014","9,4  0,6 (6,82%)",94.0,82.0,88.0,89.0,94.0,89.0,94.0,92.2,78.9,1.099.780,10.138.000
"November, 2014","11,1  0,1 (0,91%)",11.7,10.3,11.0,11.0,11.2,10.9,11.1,11.03,93.2,1.804.520,19.876.000
"December, 2014","9,9  0,3 (3,13%)",10.2,9.0,96.0,97.0,10.1,97.0,99.0,99.1,83.1,208.910,2.071.000
"January, 2015","10,3  -0,1 (-0,96%)",11.1,97.0,10.4,10.5,10.5,10.2,10.3,10.33,86.4,87.79,907.000
"February, 2015","12  0,4 (3,45%)",12.4,10.8,11.6,11.8,12.2,11.8,12.0,11.92,10.07,157.49,1.877.000
"March, 2015","13,5  0 (0%)",14.4,12.6,13.5,13.5,13.6,13.5,13.5,13.51,11.33,94.340,1.274.000
"April, 2015","14,1  -0,2 (-1,4%)",15.3,13.3,14.3,14.1,14.1,13.9,14.1,13.96,11.83,1.148.380,16.413.000
"May, 2015","14,3  -0,3 (-2,05%)",15.6,13.6,14.6,14.5,14.5,14.1,14.3,14.39,12.0,148.22,2.133.000
