Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",13  0 (0%),13.9,12.1,13.0,13.0,13.0,13.0,13.0,13.0,10.41,70.0,1.000
"February, 2014","7,1  0,4 (5,97%)",71.0,63.0,67.0,71.0,71.0,71.0,71.0,71.0,53.6,10.0,71
"March, 2014","8,7  0,5 (6,1%)",87.0,77.0,82.0,87.0,87.0,87.0,87.0,87.0,69.9,15.570,135.459
"April, 2014","11,2  0,6 (5,66%)",11.3,99.0,10.6,11.2,11.2,11.2,11.2,11.2,93.3,20,224
"May, 2014","10,7  -0,1 (-0,93%)",11.5,10.1,10.8,10.1,10.7,10.1,10.7,10.3,85.6,30.0,1.0
"June, 2014","10,8  0,5 (4,85%)",11.0,96.0,10.3,10.8,10.8,10.8,10.8,10.8,86.4,10.0,9.0
"July, 2014","8  -0,6 (-6,98%)",92.0,8.0,86.0,8.0,8.0,8.0,8.0,8.0,64.0,100.0,1.0
"August, 2014","8,9  0 (0%)",95.0,83.0,89.0,0.0,0.0,0.0,89.0,0.0,71.2,1.0,9.0
"September, 2014","8,8  0 (0%)",94.0,82.0,88.0,0.0,0.0,0.0,88.0,0.0,70.4,130.0,1.0
"October, 2014","8,3  -0,6 (-6,74%)",95.0,83.0,89.0,83.0,83.0,83.0,83.0,83.0,66.4,120.0,1.0
"November, 2014","13  0,6 (4,84%)",13.2,11.6,12.4,13.0,13.0,13.0,13.0,13.0,10.41,200.01,2.320.000
"December, 2014","14  0,5 (3,7%)",14.4,12.6,13.5,12.6,14.0,12.6,14.0,13.580000000000002,11.21,2.9,39.0
"January, 2015","10  -0,7 (-6,54%)",11.4,10.0,10.7,11.4,11.4,10.0,10.0,10.25,8.0,110.0,1.0
"February, 2015","10,5  -0,6 (-5,41%)",11.8,10.4,11.1,11.0,11.0,10.5,10.5,10.88,84.0,260.0,3.0
"March, 2015","12  0,7 (6,19%)",12.0,10.6,11.3,12.0,12.0,10.6,12.0,10.62,96.1,3.06,32.000
"April, 2015","11,6  0,7 (6,42%)",11.6,10.2,10.9,11.3,11.6,11.3,11.6,11.52,92.9,100.0,1.0
"May, 2015","13,2  0 (0%)",14.1,12.3,13.2,12.3,13.2,12.3,13.2,12.75,10.57,40.0,1.0
"June, 2015","10,8  -0,1 (-0,92%)",11.6,10.2,10.9,10.2,10.8,10.2,10.8,10.31,86.4,610.0,6.0
"July, 2015","11,1  0,4 (3,74%)",11.4,10.0,10.7,10.0,11.1,10.0,11.1,11.08,88.8,510.0,6.0
"August, 2015","11  0,3 (2,8%)",11.4,10.0,10.7,11.0,11.0,11.0,11.0,11.0,89.8,10.0,27.0
"September, 2015","9,9  -0,4 (-3,88%)",11.0,96.0,10.3,96.0,99.0,96.0,99.0,96.5,74.8,350.0,3.0
"October, 2015","9  -0,2 (-2,17%)",98.0,86.0,92.0,96.0,96.0,9.0,9.0,90.2,68.0,250.0,2.0
"November, 2015","10,6  -0,6 (-5,36%)",11.9,10.5,11.2,10.7,11.2,10.5,10.6,10.85,80.1,103.07,1.119.000
"December, 2015",14  0 (0%),14.8,13.0,14.0,13.8,14.0,13.8,14.0,13.97,12.0,44.34,619.0
"January, 2016","11,8  0,2 (1,72%)",12.4,10.8,11.6,11.6,11.8,11.5,11.8,11.6,10.21,30.64,355.0
"February, 2016","11,8  -0,3 (-2,48%)",12.9,11.3,12.1,11.8,12.1,11.4,11.8,11.69,10.21,42.22,494.0
"March, 2016","11,6  0,1 (0,87%)",12.3,10.7,11.5,11.4,11.6,11.4,11.6,11.52,96.2,38.92,448.0
"April, 2016","11,7  -0,2 (-1,68%)",12.7,11.1,11.9,11.9,12.0,11.7,11.7,11.85,96.2,26.72,317.0
"May, 2016","12,3  0,6 (5,13%)",12.3,10.7,11.7,12.3,12.3,12.0,12.3,12.19,10.57,46.24,563.000
"June, 2016","16  0,2 (1,27%)",16.9,14.7,15.8,16.0,16.9,15.0,16.0,16.29,13.330000000000002,575.200,9.370.000
"July, 2016","14,8  -0,1 (-0,67%)",15.9,13.9,14.9,14.5,14.9,14.0,14.8,14.53,12.93,118.62,1.723.000
"August, 2016","13,6  0,4 (3,03%)",14.1,12.3,13.2,13.3,13.6,12.8,13.6,13.21,12.05,97.1,1.282.000
"September, 2016","12,3  0 (0%)",13.15,11.45,12.3,12.0,12.4,11.6,12.3,12.18,11.04,34.4,419.0
"October, 2016","10,45  -0,2 (-1,88%)",11.35,99.1,10.65,10.15,10.5,10.0,10.45,10.09,91.0,21.64,218.0
"November, 2016","9,8  0,3 (3,16%)",10.15,88.4,95.0,9.0,99.0,9.0,98.0,93.5,88.6,560.0,5.000
"December, 2016","13,5  0 (0%)",14.4,12.6,13.5,13.8,13.8,13.2,13.5,13.36,12.26,59.98,801.000
"January, 2017","10,65  0,65 (6,5%)",10.7,93.0,10.0,10.65,10.7,10.65,10.65,10.69,96.5,1.39,15.0
"February, 2017","10,55  0,65 (6,57%)",10.55,92.1,99.0,10.4,10.55,10.0,10.55,10.46,10.22,48.52,508.0
"March, 2017","10,8  0,1 (0,93%)",11.4,99.6,10.7,11.3,11.3,10.8,10.8,10.97,10.15,48.23,529.0
"April, 2017","10,8  0,2 (1,89%)",11.3,98.6,10.6,10.5,10.9,10.45,10.8,10.72,10.23,191.88,2.056.000
"May, 2017","12,75  0,8 (6,69%)",12.75,11.15,11.95,12.75,12.75,12.75,12.75,12.75,12.21,339.93,4.334.000
"June, 2017","14,5  -0,8 (-5,23%)",16.35,14.25,15.3,16.0,16.3,14.3,14.5,15.1,13.89,4.003.730,59.692.000
"July, 2017","12,8  0,7 (5,79%)",12.9,11.3,12.1,12.1,12.85,12.1,12.8,12.45,12.26,111.87,1.393.000
"August, 2017","11  -0,5 (-4,35%)",12.3,10.7,11.5,11.05,11.5,10.9,11.0,11.08,10.64,296.03,3.281.000
"September, 2017","14,7  0,4 (2,8%)",15.3,13.3,14.3,14.1,14.8,14.1,14.7,14.419999999999998,14.21,420.96,6.072.000
"October, 2017","15,4  0,4 (2,67%)",16.05,13.95,15.0,14.75,15.5,14.35,15.4,15.19,14.89,1.335.310,20.094.000
"November, 2017","14,9  0,7 (4,93%)",15.15,13.25,14.2,14.3,15.05,14.2,14.9,14.71,14.41,440.990,6.488.000
"December, 2017","16,1  -0,1 (-0,62%)",17.3,15.1,16.2,16.5,16.5,16.1,16.1,16.34,15.57,268.860,4.394.000
"January, 2018",17  0 (0%),18.15,15.85,17.0,17.1,17.2,16.9,17.0,17.04,16.44,230.96,3.935.000
"February, 2018","17,5  -1,05 (-5,66%)",19.8,17.3,18.55,18.5,18.5,17.5,17.5,18.15,16.919999999999998,288.09,5.230.000
"March, 2018","14,9  0,1 (0,68%)",15.8,13.8,14.8,14.75,15.0,14.7,14.9,14.830000000000002,14.41,306.58,4.547.000
"April, 2018","13,85  0 (0%)",14.8,12.9,13.85,13.85,13.95,13.8,13.85,13.84,13.39,246.520,3.412.000
"May, 2018","14,4  0 (0%)",15.4,13.4,14.4,14.4,14.5,14.3,14.4,14.41,13.919999999999998,80.680,1.163.000
"June, 2018","14,4  -1 (-6,49%)",16.45,14.35,15.4,15.4,15.55,14.4,14.4,15.24,13.919999999999998,323.77,4.933.000
"July, 2018","16,7  0,4 (2,45%)",17.4,15.2,16.3,16.35,16.7,16.0,16.7,16.419999999999998,16.15,550.88,9.046.000
"August, 2018","17,7  -0,1 (-0,56%)",19.0,16.6,17.8,17.85,17.85,17.5,17.7,17.64,17.11,406.31,7.167.000
"September, 2018","18,6  -0,15 (-0,8%)",20.05,17.45,18.75,18.75,18.8,18.6,18.6,18.67,17.990000000000002,2.448.530,46.308.000
"October, 2018","18,75  0,95 (5,34%)",19.0,16.6,17.8,17.85,18.75,17.8,18.75,18.12,18.130000000000003,2.093.750,35.806.000
"November, 2018","19,95  0 (0%)",21.3,18.6,19.95,19.95,20.05,19.8,19.95,19.91,19.29,416.59,8.293.000
"December, 2018","20,45  0,15 (0,74%)",21.7,18.9,20.3,20.3,20.45,20.3,20.45,20.37,20.26,1.123.110,23.823.217
"January, 2019","20,85  -0,05 (-0,24%)",22.35,19.45,20.9,20.85,20.9,20.7,20.85,20.83,20.66,354.760,7.390.000
"February, 2019","21,55  0 (0%)",23.05,20.05,21.55,21.55,21.65,21.45,21.55,21.53,21.35,355.600,7.656.000
"March, 2019","24,1  0,05 (0,21%)",25.7,22.4,24.05,24.05,24.15,23.95,24.1,24.05,23.87,343.01,8.248.000
"April, 2019","21,55  0,25 (1,17%)",22.75,19.85,21.3,21.3,21.55,21.2,21.55,21.36,21.35,337.48,7.209.000
"May, 2019","20,4  -0,5 (-2,39%)",22.35,19.45,20.9,20.9,20.95,20.4,20.4,20.78,20.21,256.07,5.322.000
"June, 2019","21,7  0,2 (0,93%)",23.0,20.0,21.5,21.5,21.7,21.5,21.7,21.55,21.5,249.09,5.367.000
"July, 2019","19,3  0,05 (0,26%)",20.55,17.95,19.25,19.25,19.35,19.2,19.3,19.24,19.12,258.800,4.980.000
"August, 2019","20,6  0,3 (1,48%)",21.7,18.9,20.3,20.3,20.6,20.25,20.6,20.39,20.35,325.14,6.630.000
"September, 2019","21,55  0 (0%)",23.05,20.05,21.55,21.55,21.6,21.45,21.55,21.53,21.29,303.28,6.529.000
"October, 2019","22,45  0,05 (0,22%)",23.95,20.85,22.4,22.4,22.5,22.35,22.45,22.4,22.18,303.56,6.801.000
"November, 2019","21,3  0,6 (2,9%)",22.1,19.3,20.7,20.7,21.3,20.7,21.3,20.9,21.05,344.76,7.205.000
"December, 2019","20  0,6 (3,09%)",20.75,18.05,19.4,19.4,20.0,19.4,20.0,19.59,19.76,431.39,8.453.000
"January, 2020","19,65  0 (0%)",21.0,18.3,19.65,19.5,19.65,19.35,19.65,19.5,19.37,333.150,6.495.000
"February, 2020","16,8  -0,15 (-0,88%)",18.1,15.8,16.95,16.9,16.9,16.7,16.8,16.79,16.56,301.64,5.065.000
"March, 2020","12,6  0 (0%)",13.45,11.75,12.6,12.6,12.7,12.5,12.6,12.62,12.6,314.24,3.965.000
"April, 2020","13,65  0,45 (3,41%)",14.1,12.3,13.2,13.6,13.65,13.0,13.65,13.49,13.65,176.85,2.386.000
"May, 2020","13,5  0 (0%)",14.4,12.6,13.5,13.5,13.6,13.35,13.5,13.48,13.5,175.5,2.366.000
"June, 2020","16,7  1,05 (6,71%)",16.7,14.6,15.65,15.65,16.7,15.6,16.7,16.11,0.0,462.68,7.454.000
