Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","27,9  1,1 (4,1%)",28.6,25.0,26.8,27.2,28.0,27.2,27.9,27.68,17.29,3.71,103.0
"February, 2014","17  -0,2 (-1,16%)",18.4,16.0,17.2,17.0,17.0,17.0,17.0,17.0,97.8,510.0,8.67
"March, 2014","19  -0,3 (-1,55%)",20.6,18.0,19.3,20.0,20.0,19.0,19.0,19.9,10.93,210.0,4.18
"April, 2014","19,2  1,1 (6,08%)",19.3,16.9,18.1,19.2,19.2,19.2,19.2,19.2,10.5,10.0,192.0
"May, 2014","17,5  0,5 (2,94%)",18.1,15.9,17.0,17.5,17.5,17.5,17.5,17.5,10.49,1.46,26.0
"June, 2014","18,5  0 (0%)",19.7,17.3,18.5,0.0,0.0,0.0,18.5,0.0,11.09,980.0,18.0
"July, 2014",20  0 (0%),21.4,18.6,20.0,0.0,0.0,0.0,20.0,0.0,11.99,200.0,4.0
"August, 2014","21,5  1,4 (6,97%)",21.5,18.7,20.1,21.5,21.5,21.5,21.5,21.5,12.89,4.61,99.0
"September, 2014","22,1  -1,1 (-4,74%)",24.8,21.6,23.2,22.1,22.1,22.1,22.1,22.1,13.7,10.0,2.0
"October, 2014","25,5  0,5 (2%)",26.7,23.3,25.0,25.5,25.5,25.5,25.5,25.5,15.8,3.54,90.0
"November, 2014","26,8  -0,2 (-0,74%)",28.8,25.2,27.0,26.5,26.8,26.3,26.8,26.65,16.61,4.36,116.0
"December, 2014","26,5  0,1 (0,38%)",28.2,24.6,26.4,26.5,26.5,26.5,26.5,26.5,16.419999999999998,50.0,1.0
"January, 2015",27  0 (0%),28.8,25.2,27.0,0.0,0.0,0.0,27.0,0.0,16.73,20.0,1.0
"February, 2015","27,9  0 (0%)",29.8,26.0,27.9,0.0,0.0,0.0,27.9,0.0,17.29,1.12,31.0
"March, 2015","24,7  0 (0%)",26.4,23.0,24.7,24.2,24.7,23.7,24.7,24.18,16.34,840.0,20.0
"April, 2015",24  0 (0%),25.6,22.4,24.0,24.0,24.0,24.0,24.0,24.0,15.88,1.01,24.0
"May, 2015","25  -1,5 (-5,66%)",28.3,24.7,26.5,25.0,25.0,25.0,25.0,25.0,16.869999999999997,230.0,6.000
"June, 2015","27,5  0,5 (1,85%)",28.8,25.2,27.0,27.5,27.5,27.5,27.5,27.5,18.55,10.0,275.0
"July, 2015",29  0 (0%),31.0,27.0,29.0,29.0,29.2,29.0,29.0,29.02,19.56,2.8,81.0
"August, 2015",28  0 (0%),29.9,26.1,28.0,28.0,28.0,28.0,28.0,28.0,18.91,290.0,8.0
"September, 2015","28,7  0 (0%)",30.7,26.7,28.7,0.0,0.0,0.0,28.7,0.0,20.5,20.0,1.0
"October, 2015","31,9  -1,1 (-3,33%)",35.3,30.7,33.0,32.0,32.0,31.9,31.9,31.95,23.52,1.01,32.0
"November, 2015","35,2  0 (0%)",37.6,32.8,35.2,36.1,36.1,35.2,35.2,35.6,25.96,2.34,83.0
"December, 2015","29,8  -0,2 (-0,67%)",32.1,27.9,30.0,29.8,29.8,29.8,29.8,29.8,19.35,10.0,54.0
"January, 2016","28,9  0 (0%)",30.9,26.9,28.9,0.0,0.0,0.0,28.9,0.0,21.41,200.0,6.0
"February, 2016","27,3  -1,1 (-3,87%)",30.3,26.5,28.4,27.3,29.0,27.3,27.3,27.55,20.22,1.12,31.0
"March, 2016","26,5  -0,2 (-0,75%)",28.5,24.9,26.7,26.9,27.0,26.5,26.5,26.910000000000004,19.130000000000003,170.0,5.0
"April, 2016","27  1,5 (5,88%)",27.2,23.8,25.5,27.0,27.0,27.0,27.0,27.0,19.49,10.0,121.0
"May, 2016","24,8  0,1 (0,4%)",26.4,23.0,24.7,0.0,25.4,24.3,24.8,24.75,17.05,1.71,42.0
"June, 2016","26,1  -1,9 (-6,79%)",29.9,26.1,28.0,26.1,26.2,26.1,26.1,26.1,17.95,530.0,14.0
"July, 2016","27  -0,9 (-3,23%)",29.8,26.0,27.9,27.0,27.0,27.0,27.0,27.0,16.85,1.6,43.0
"August, 2016","26  0,7 (2,77%)",27.0,23.6,25.3,26.0,26.0,26.0,26.0,26.0,16.29,90.0,2.0
"September, 2016","25,5  -0,5 (-1,92%)",27.8,24.2,26.0,25.5,25.5,25.5,25.5,25.5,16.919999999999998,490.0,12.0
"October, 2016",26  0 (0%),27.8,24.2,26.0,0.0,0.0,0.0,26.0,0.0,18.880000000000003,1.0,26.0
"November, 2016","25,2  0 (0%)",26.95,23.45,25.2,0.0,0.0,0.0,25.2,0.0,18.3,500.0,13.0
"December, 2016",25  0 (0%),26.75,23.25,25.0,0.0,0.0,0.0,25.0,0.0,18.15,1.0,25.0
"January, 2017",28  0 (0%),29.95,26.05,28.0,0.0,0.0,0.0,28.0,0.0,20.33,1.7,48.0
"February, 2017",26  0 (0%),27.8,24.2,26.0,26.0,26.05,26.0,26.0,26.0,18.880000000000003,1.01,26.0
"March, 2017","24,5  0 (0%)",26.2,22.8,24.5,24.5,24.5,24.5,24.5,24.5,18.39,3.5,86.0
"April, 2017","23,5  0 (0%)",25.1,21.9,23.5,0.0,0.0,0.0,23.5,0.0,17.64,4.46,104.0
"May, 2017",22  0 (0%),23.5,20.5,22.0,22.0,22.0,22.0,22.0,22.0,16.52,500.0,11.0
"June, 2017","21,6  0,1 (0,47%)",23.0,20.0,21.5,21.5,21.6,21.5,21.6,22.0,16.21,1.0,22.0
"July, 2017",21  0 (0%),22.45,19.55,21.0,0.0,0.0,0.0,21.0,0.0,15.76,1.55,33.0
"August, 2017","20,3  -0,2 (-0,98%)",21.9,19.1,20.5,20.3,20.3,20.3,20.3,20.0,15.24,1.0,20.0
"September, 2017","19  -0,5 (-2,56%)",20.85,18.15,19.5,19.5,19.5,19.0,19.0,19.15,14.77,940.0,18.0
"October, 2017","18,8  0 (0%)",20.1,17.5,18.8,18.9,18.9,18.8,18.8,18.67,14.62,1.5,28.0
"November, 2017","19,9  1,2 (6,42%)",20.0,17.4,18.7,19.9,19.9,19.9,19.9,16.669999999999998,15.47,60.0,1.0
"December, 2017","19,6  0 (0%)",20.95,18.25,19.6,0.0,0.0,0.0,19.6,0.0,15.24,1.4,27.0
"January, 2018","19,5  0,5 (2,63%)",20.3,17.7,19.0,19.0,19.5,19.0,19.5,19.2,15.16,2.5,48.0
"February, 2018","19  0,35 (1,88%)",19.95,17.35,18.65,18.05,19.0,18.05,19.0,19.0,14.77,50.01,950.0
"March, 2018","18,65  0 (0%)",19.95,17.35,18.65,0.0,0.0,0.0,18.65,0.0,15.1,10.0,187.0
"April, 2018",18  0 (0%),19.25,16.75,18.0,0.0,0.0,0.0,18.0,0.0,14.580000000000002,20.0,360.0
"May, 2018","18,6  -1,4 (-7%)",21.4,18.6,20.0,18.6,20.0,18.6,18.6,22.22,15.06,90.0,2.0
"June, 2018",18  0 (0%),19.25,16.75,18.0,18.0,18.0,18.0,18.0,18.02,14.580000000000002,9.6,173.0
"July, 2018","16  0,1 (0,63%)",17.0,14.8,15.9,16.0,16.05,16.0,16.0,15.99,12.96,5.88,94.0
