Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,2  0,4 (6,9%)",62.0,54.0,58.0,61.0,62.0,6.0,62.0,61.5,67.4,1.968.580,12.115.000
"February, 2014","3,7  0 (0%)",39.0,35.0,37.0,37.0,38.0,36.0,37.0,36.7,43.2,148.21,544.562
"March, 2014","4,6  0 (0%)",49.0,43.0,46.0,0.0,0.0,0.0,46.0,0.0,53.7,687.000,3.117.260
"April, 2014","4,3  0 (0%)",46.0,4.0,43.0,43.0,44.0,42.0,43.0,43.0,47.9,114.150,490.945
"May, 2014","3,7  0 (0%)",39.0,35.0,37.0,37.0,38.0,36.0,37.0,37.0,40.2,38.35,142.0
"June, 2014","3,9  0,1 (2,63%)",4.0,36.0,38.0,38.0,4.0,38.0,39.0,38.9,42.4,162.09,631.000
"July, 2014",4  0 (0%),42.0,38.0,4.0,4.0,41.0,4.0,4.0,4.0,43.5,39.46,158.000
"August, 2014","4,1  -0,1 (-2,38%)",44.0,4.0,42.0,42.0,42.0,41.0,41.0,41.6,44.5,100.74,420.000
"September, 2014","5,8  0,1 (1,75%)",6.0,54.0,57.0,57.0,59.0,56.0,58.0,57.8,63.0,1.488.630,8.649.000
"October, 2014","5,4  0,1 (1,89%)",56.0,5.0,53.0,54.0,55.0,53.0,54.0,53.7,58.7,282.300,1.515.000
"November, 2014","5,8  0,3 (5,45%)",58.0,52.0,55.0,55.0,58.0,55.0,58.0,57.7,63.0,2.244.900,12.963.000
"December, 2014","6,2  0,2 (3,33%)",64.0,56.0,6.0,6.0,64.0,6.0,62.0,62.0,67.4,314.500,1.951.000
"January, 2015","6,2  0,1 (1,64%)",65.0,57.0,61.0,63.0,64.0,61.0,62.0,62.3,67.4,755.760,4.708.000
"February, 2015","6  -0,1 (-1,64%)",65.0,57.0,61.0,6.0,6.0,59.0,6.0,6.0,65.2,236.91,1.421.000
"March, 2015","5,3  0 (0%)",56.0,5.0,53.0,53.0,54.0,53.0,53.0,53.0,57.6,168.440,893.000
"April, 2015","4,5  0 (0%)",48.0,42.0,45.0,45.0,45.0,43.0,45.0,44.0,48.9,137.2,604.000
"May, 2015","3,9  -0,1 (-2,5%)",42.0,38.0,4.0,39.0,39.0,38.0,39.0,38.7,42.4,60.99,236.000
"June, 2015","3,7  0 (0%)",39.0,35.0,37.0,37.0,38.0,37.0,37.0,37.0,40.2,59.99,222.0
"July, 2015","3,4  -0,1 (-2,86%)",37.0,33.0,35.0,35.0,36.0,34.0,34.0,34.9,36.9,20.92,73.0
"August, 2015",3  0 (0%),32.0,28.0,3.0,3.0,31.0,3.0,3.0,3.0,30.7,46.07,138.0
"September, 2015","2,9  0,1 (3,57%)",29.0,27.0,28.0,28.0,29.0,27.0,29.0,27.9,28.7,16.52,46.0
"October, 2015","3,3  0 (0%)",35.0,31.0,33.0,35.0,35.0,33.0,33.0,34.8,34.9,345.22,1.200.000
"November, 2015","2,8  0 (0%)",29.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,29.6,58.52,164.0
"December, 2015","2,7  -0,1 (-3,57%)",29.0,27.0,28.0,27.0,28.0,27.0,27.0,27.5,27.6,32.17,88.0
"January, 2016","2,5  -0,1 (-3,85%)",27.0,25.0,26.0,26.0,26.0,25.0,25.0,25.4,25.5,11.7,30.0
"February, 2016","2,6  0 (0%)",27.0,25.0,26.0,26.0,26.0,25.0,26.0,25.5,26.5,196.64,502.0
"March, 2016","2,8  0,1 (3,7%)",28.0,26.0,27.0,28.0,28.0,26.0,28.0,27.1,28.6,146.73,398.000
"April, 2016","2,1  -0,1 (-4,55%)",23.0,21.0,22.0,22.0,23.0,21.0,21.0,21.5,19.7,180.7,389.0
"May, 2016","2,2  0,1 (4,76%)",23.0,21.0,21.0,0.0,22.0,21.0,22.0,21.7,20.7,379.74,826.0
"June, 2016","2,2  -0,1 (-4,35%)",24.0,22.0,23.0,22.0,24.0,22.0,22.0,23.0,21.6,169.38,390.0
"July, 2016","1,7  -0,1 (-5,56%)",19.0,17.0,18.0,18.0,18.0,17.0,17.0,18.0,16.8,45.21,81.0
"August, 2016","1,6  0 (0%)",17.0,15.0,16.0,16.0,16.0,15.0,16.0,15.9,15.0,11.54,18.0
"September, 2016","1,39  0,01 (0,72%)",14.7,12.9,13.8,13.8,14.0,13.5,13.9,13.6,12.6,47.05,64.0
"October, 2016","1,39  0,01 (0,72%)",14.7,12.9,13.8,13.8,13.9,13.8,13.9,13.9,13.3,1.0,1.0
"November, 2016","1,34  -0,01 (-0,74%)",14.4,12.6,13.5,13.5,13.5,12.7,13.4,13.0,12.3,70.26,92.0
"December, 2016","1,02  -0,02 (-1,92%)",11.1,97.0,10.4,10.7,10.7,10.2,10.2,10.4,93.0,95.01,99.0
"January, 2017","1,1  0,02 (1,85%)",11.5,10.1,10.8,10.9,11.2,10.9,11.0,11.0,10.1,20.72,23.0
"February, 2017","1,17  -0,02 (-1,68%)",12.7,11.1,11.9,11.7,11.9,11.5,11.7,11.6,10.7,34.83,40.0
"March, 2017","1,13  0 (0%)",12.0,10.6,11.3,11.5,11.5,11.2,11.3,11.3,10.4,27.68,31.0
"April, 2017","1,09  0 (0%)",11.6,10.2,10.9,10.8,10.9,10.7,10.9,10.7,10.1,95.97,103.0
"May, 2017","1,26  0,08 (6,78%)",12.6,11.0,11.8,12.3,12.6,12.0,12.6,12.5,11.6,130.030,162.000
"June, 2017","2,24  -0,16 (-6,67%)",25.6,22.4,24.0,22.6,24.0,22.4,22.4,22.5,20.7,711.590,1.604.000
"July, 2017","1,9  0,04 (2,15%)",19.9,17.3,18.6,18.6,19.7,18.5,19.0,19.1,17.5,124.99,239.000
"August, 2017","1,81  -0,08 (-4,23%)",20.2,17.6,18.9,19.3,19.3,17.7,18.1,18.0,16.7,344.110,621.000
"September, 2017","1,8  0 (0%)",19.2,16.8,18.0,18.2,18.6,17.8,18.0,18.2,16.6,261.01,474.0
"October, 2017","2,04  -0,08 (-3,77%)",22.6,19.8,21.2,21.1,21.1,19.8,20.4,20.1,18.8,469.270,941.000
"November, 2017","2,18  0 (0%)",23.3,20.3,21.8,22.3,22.5,21.8,21.8,22.0,20.1,413.350,908.000
"December, 2017","3,36  0,01 (0,3%)",35.8,31.2,33.5,34.0,34.0,32.8,33.6,33.1,31.0,292.73,969.000
"January, 2018","3,07  0,02 (0,66%)",32.6,28.4,30.5,31.4,31.4,30.4,30.7,31.1,28.3,390.8,1.215.000
"February, 2018","2,46  -0,12 (-4,65%)",27.6,24.0,25.8,26.4,26.4,24.5,24.6,25.1,22.7,168.04,421.000
"March, 2018","2,19  0,02 (0,92%)",23.2,20.2,21.7,22.0,22.5,21.5,21.9,21.8,20.2,258.740,563.000
"April, 2018","2,02  -0,01 (-0,49%)",21.7,18.9,20.3,20.3,20.8,2.0,20.2,20.3,18.6,64.13,130.000
"May, 2018","1,65  0,1 (6,45%)",16.5,14.5,15.5,15.6,16.5,15.6,16.5,16.4,15.2,200.01,328.0
"June, 2018","1,64  0 (0%)",17.5,15.3,16.4,15.6,16.4,15.6,16.4,15.9,15.1,79.26,126.0
"July, 2018","1,55  0,01 (0,65%)",16.4,14.4,15.4,15.3,15.6,15.3,15.5,15.4,14.3,78.6,121.0
"August, 2018","1,57  0,03 (1,95%)",16.4,14.4,15.4,15.7,15.8,15.4,15.7,15.6,14.5,74.860,117.000
"September, 2018","1,9  -0,01 (-0,52%)",20.4,17.8,19.1,19.5,19.6,19.0,19.0,19.4,17.5,172.43,334.0
"October, 2018","1,61  0,01 (0,63%)",17.1,14.9,16.0,16.1,16.3,15.5,16.1,15.9,14.9,151.38,240.0
"November, 2018","1,74  0,11 (6,75%)",17.4,15.2,16.3,16.9,17.4,16.7,17.4,17.3,16.1,296.2,512.0
"December, 2018","1,63  -0,08 (-4,68%)",18.2,16.0,17.1,17.1,17.1,16.0,16.3,16.1,15.0,109.09,176.000
"January, 2019","1,79  -0,01 (-0,56%)",19.2,16.8,18.0,18.0,18.5,17.9,17.9,18.1,17.3,20.47,37.0
"February, 2019","1,67  -0,01 (-0,6%)",17.9,15.7,16.8,16.3,17.1,16.3,16.7,16.6,16.1,49.34,82.0
"March, 2019","1,58  0 (0%)",16.9,14.7,15.8,16.6,16.6,15.8,15.8,16.0,15.2,64.26,103.0
"April, 2019","1,57  -0,02 (-1,26%)",17.0,14.8,15.9,15.8,16.0,15.3,15.7,15.4,15.1,144.41,223.0
"May, 2019","1,63  0,01 (0,62%)",17.3,15.1,16.2,16.5,16.5,15.8,16.3,15.7,15.7,8.9,14.0
"June, 2019","1,45  -0,09 (-5,84%)",16.4,14.4,15.4,15.0,15.1,14.5,14.5,14.8,14.0,115.81,171.0
"July, 2019","1,47  0 (0%)",15.7,13.7,14.7,14.4,14.9,14.1,14.7,14.6,14.2,116.21,170.000
"August, 2019","2,22  0,07 (3,26%)",23.0,2.0,21.5,22.0,23.0,21.5,22.2,22.4,22.0,814.230,1.825.000
"September, 2019","1,9  0,01 (0,53%)",20.2,17.6,18.9,18.9,19.8,18.8,19.0,19.3,18.8,178.23,344.0
"October, 2019","1,77  0,02 (1,14%)",18.7,16.3,17.5,17.1,17.7,17.1,17.7,17.3,17.5,39.9,69.0
"November, 2019","1,65  -0,12 (-6,78%)",18.9,16.5,17.7,17.4,17.5,16.5,16.5,16.6,16.3,325.5,540.0
"December, 2019","1,65  -0,02 (-1,2%)",17.8,15.6,16.7,16.7,16.7,15.8,16.5,15.9,16.3,43.36,69.0
"January, 2020","1,58  0 (0%)",16.9,14.7,15.8,15.8,15.8,15.1,15.8,15.5,16.1,58.66,91.0
"February, 2020","1,57  0 (0%)",16.7,14.7,15.7,16.0,16.0,15.5,15.7,15.5,16.0,97.79,152.0
"March, 2020","1,24  0 (0%)",13.2,11.6,12.4,11.9,12.9,11.9,12.4,12.5,12.4,107.5,134.0
"April, 2020","1,4  0 (0%)",14.9,13.1,14.0,14.0,14.1,13.8,14.0,13.9,14.0,43.83,61.0
"May, 2020","1,44  0,04 (2,86%)",14.9,13.1,14.0,14.1,14.5,13.8,14.4,14.1,14.4,349.850,494.000
"June, 2020","1,42  -0,05 (-3,4%)",15.7,13.7,14.7,14.7,15.3,14.2,14.2,14.4,0.0,261.33,376.0
"July, 2020","1,29  0,03 (2,38%)",13.4,11.8,12.6,12.7,12.9,12.6,12.9,12.7,0.0,244.29,311.0
"August, 2020","1,6  0,03 (1,91%)",16.7,14.7,15.7,16.0,16.4,15.5,16.0,16.0,0.0,513.7,820.0
"September, 2020","1,49  0,01 (0,68%)",15.8,13.8,14.8,14.6,14.9,14.5,14.9,14.6,0.0,141.58,207.0
"October, 2020","1,39  0,02 (1,46%)",14.6,12.8,13.7,13.8,13.9,13.8,13.9,13.9,0.0,121.74,169.0
"November, 2020","1,7  0,11 (6,92%)",17.0,14.8,15.9,17.0,17.0,17.0,17.0,17.0,0.0,130.770,222.000
