Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","41,15  0 (0%)",44.0,38.3,41.15,41.6,41.6,41.1,41.15,41.28,24.880000000000003,3.263.090,134.697.000
"February, 2017","37,7  -2,6 (-6,45%)",43.1,37.5,40.3,40.2,40.6,37.6,37.7,38.84,22.8,2.483.020,96.476.750
"March, 2017","40,2  2,5 (6,63%)",40.3,35.1,37.7,37.8,40.2,37.8,40.2,38.54,24.31,1.257.280,48.460.000
"April, 2017","41,5  0,35 (0,85%)",44.0,38.3,41.15,41.2,42.3,41.2,41.5,41.52,25.1,2.934.270,121.910.560
"May, 2017","41,05  -0,45 (-1,08%)",44.4,38.6,41.5,41.7,41.95,40.7,41.05,41.53,24.82,3.035.500,126.077.000
"June, 2017","40,5  -0,55 (-1,34%)",43.9,38.2,41.05,41.05,41.1,40.1,40.5,40.6,24.49,1.964.010,79.745.000
"July, 2017","39,6  -0,9 (-2,22%)",43.3,37.7,40.5,40.5,40.6,39.6,39.6,39.95,23.95,1.763.680,70.526.000
"August, 2017","36,3  0 (0%)",38.8,33.8,36.3,36.1,36.3,36.1,36.3,36.22,21.95,1.196.380,43.334.000
"September, 2017","37,5  0,25 (0,67%)",39.85,34.65,37.25,37.25,37.75,37.25,37.5,37.58,22.68,752.340,28.273.000
"October, 2017","40,65  -0,45 (-1,09%)",43.95,38.25,41.1,41.1,41.3,40.6,40.65,40.97,24.58,6.027.260,237.084.000
"November, 2017","41,15  1,05 (2,62%)",42.9,37.3,40.1,40.4,41.25,40.3,41.15,40.85,24.880000000000003,4.526.350,184.915.000
"December, 2017","41  0,5 (1,23%)",43.3,37.7,40.5,40.8,41.3,40.6,41.0,41.0,24.79,2.168.440,88.893.500
"January, 2018","53,3  0,4 (0,76%)",56.6,49.2,52.9,53.0,54.1,52.9,53.3,53.65,32.43,3.571.550,191.489.000
"February, 2018","59,6  0,7 (1,19%)",63.0,54.8,58.9,58.9,60.4,58.4,59.6,59.54,36.34,3.332.900,198.439.000
"March, 2018","64,5  -0,7 (-1,07%)",69.7,60.7,65.2,65.2,65.4,64.4,64.5,64.78999999999999,39.32,2.552.674,167.834.693
"April, 2018","53,5  0,4 (0,75%)",56.8,49.4,53.1,51.6,54.9,49.7,53.5,52.38,32.62,4.397.700,230.360.000
"May, 2018","45  1,8 (4,17%)",46.2,40.2,43.2,42.8,45.2,42.7,45.0,44.62,27.52,2.336.730,104.260.000
"June, 2018","28,7  -0,8 (-2,71%)",31.55,27.45,29.5,29.5,30.0,28.6,28.7,28.94,28.47,5.653.030,168.256.920
"July, 2018","27,1  -0,2 (-0,73%)",29.2,25.4,27.3,27.15,27.55,26.9,27.1,27.23,26.880000000000003,3.786.470,103.116.750
"August, 2018","25,9  0,4 (1,57%)",27.25,23.75,25.5,25.5,26.4,25.5,25.9,26.130000000000003,25.69,9.413.090,245.990.000
"September, 2018","26,8  0,55 (2,1%)",28.05,24.45,26.25,26.75,27.15,26.75,26.8,26.93,26.58,10.342.400,280.992.365
"October, 2018","21,4  1,05 (5,16%)",21.75,18.95,20.35,20.75,21.4,20.65,21.4,21.03,21.23,2.938.200,61.776.000
"November, 2018","20,8  0 (0%)",22.25,19.35,20.8,20.7,21.0,20.55,20.8,20.81,20.630000000000003,1.567.517,32.951.606
"December, 2018","19,95  0,1 (0,5%)",21.2,18.5,19.85,20.0,20.0,19.6,19.95,19.81,19.79,1.210.980,23.967.000
"January, 2019","20,2  0,3 (1,51%)",21.25,18.55,19.9,20.05,20.35,20.05,20.2,20.19,19.93,2.628.210,53.041.300
"February, 2019","20,7  -0,5 (-2,36%)",22.65,19.75,21.2,21.2,21.2,20.6,20.7,20.89,20.43,2.791.900,58.326.000
"March, 2019","20,2  -0,25 (-1,22%)",21.85,19.05,20.45,20.6,20.65,20.15,20.2,20.33,19.93,7.980.723,170.654.567
"April, 2019","19,05  0 (0%)",20.35,17.75,19.05,19.05,19.2,18.95,19.05,19.05,18.8,2.987.530,54.902.500
"May, 2019","18,2  -0,2 (-1,09%)",19.65,17.15,18.4,18.35,18.5,18.2,18.2,18.34,17.96,986.850,18.077.500
"June, 2019","18,9  0,05 (0,27%)",20.15,17.55,18.85,18.7,18.95,18.45,18.9,18.68,18.65,2.093.890,39.199.000
"July, 2019","18,55  -0,1 (-0,54%)",19.95,17.35,18.65,18.7,18.7,18.45,18.55,18.59,18.3,1.802.310,33.625.350
"August, 2019","20,3  -0,1 (-0,49%)",21.8,19.0,20.4,20.5,20.5,20.25,20.3,20.36,19.93,2.282.020,45.050.800
"September, 2019","22,05  -0,1 (-0,45%)",23.7,20.6,22.15,22.3,22.45,22.0,22.05,22.18,21.64,2.684.340,59.737.900
"October, 2019","21,5  -0,3 (-1,38%)",23.3,20.3,21.8,21.85,21.85,21.5,21.5,21.7,21.1,2.385.840,51.359.000
"November, 2019","20,15  0,1 (0,5%)",21.45,18.65,20.05,19.95,20.15,19.9,20.15,20.05,19.78,1.870.320,36.319.000
