Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","11,3  0 (0%)",13.1,97.0,11.4,0.0,0.0,0.0,11.3,11.4,98.3,77.6,897.71
"February, 2016","11,3  -0,1 (-0,89%)",13.1,97.0,11.4,11.3,11.4,11.2,11.3,11.3,98.3,10.754,121.448
"March, 2016","11,5  0,29 (2,62%)",12.8,96.0,11.2,11.2,11.6,11.2,11.5,11.49,10.01,17.5,201.13
"April, 2016","11,3  -0,05 (-0,46%)",12.8,96.0,11.2,11.1,11.3,11.1,11.3,11.15,98.3,32.7,364.58
"May, 2016","11,2  0 (0%)",12.8,96.0,11.2,11.2,11.2,11.2,11.2,11.2,97.5,17.022,190.646
"June, 2016","11,2  0 (0%)",12.8,96.0,11.2,11.2,11.2,96.0,11.2,11.2,97.5,347.314,3.358.214
"July, 2016","11,2  0 (0%)",12.8,96.0,11.2,0.0,0.0,0.0,11.2,11.2,97.5,17.0,163.0
"August, 2016","11,4  0 (0%)",13.1,97.0,11.4,11.4,11.4,11.4,11.4,11.4,99.2,1.6,18.24
"September, 2016","11,6  0,24 (2,17%)",12.9,97.0,11.3,11.5,11.6,11.5,11.6,11.54,10.09,2.2,25.4
"October, 2016","11,3  0 (0%)",12.9,97.0,11.3,11.3,11.3,11.3,11.3,11.3,98.3,147.0,1.606
"November, 2016","11,3  0,06 (0,54%)",12.9,97.0,11.3,11.3,11.4,11.3,11.3,11.36,98.3,34.8,395.37
"December, 2016","11,5  -0,09 (-0,77%)",13.2,98.0,11.5,11.5,11.5,11.3,11.5,11.41,10.01,13.5,154.05
"January, 2017","11,8  -0,18 (-1,52%)",13.6,10.2,11.9,11.8,11.9,11.0,11.8,11.72,10.27,2.721,31.854
"February, 2017","11,9  0 (0%)",13.6,10.2,11.9,11.9,11.9,11.9,11.9,11.9,10.36,13.141,156.034
"March, 2017","11,9  0 (0%)",13.6,10.2,11.9,11.9,11.9,11.9,11.9,11.9,10.36,10.1,120.19
"April, 2017","11,5  0 (0%)",13.2,98.0,11.5,0.0,0.0,0.0,11.5,11.5,10.01,34.0,381.0
"May, 2017","11,7  0,09 (0,76%)",13.3,99.0,11.6,11.6,11.8,11.6,11.7,11.69,10.18,9.236,107.944
"June, 2017","13,2  -0,07 (-0,55%)",15.2,11.4,13.3,13.6,13.6,13.2,13.2,13.23,11.49,10.556,139.628
"July, 2017","13,3  -0,04 (-0,27%)",15.0,11.2,13.1,13.0,13.3,12.9,13.3,13.06,11.57,20.844,272.288
"August, 2017","13,7  -0,2 (-1,44%)",15.9,11.9,13.9,13.7,13.7,13.7,13.7,13.7,11.92,2.513,34.427
"September, 2017","14,2  0,1 (0,74%)",16.1,11.9,14.0,14.0,14.2,14.0,14.2,14.1,12.36,2.677,37.736
"October, 2017","13,7  0 (0%)",15.7,11.7,13.7,13.7,13.7,11.7,13.7,13.7,11.92,11.329,142.486
"November, 2017","14  0,13 (0,92%)",15.8,11.8,13.8,13.8,14.0,13.8,14.0,13.93,12.18,27.89,388.406
"December, 2017","14,8  0,25 (1,7%)",16.9,12.5,14.7,15.0,15.0,14.8,14.8,14.95,12.88,41.439,619.488
"January, 2018",16  0 (0%),17.1,14.9,16.0,16.0,16.2,15.4,16.0,15.91,13.919999999999998,57.2,910.000
"February, 2018","14,9  -0,1 (-0,67%)",16.05,13.95,15.0,15.0,15.0,14.9,14.9,14.94,12.97,27.11,405.0
"March, 2018","14,1  0 (0%)",15.05,13.15,14.1,14.1,14.2,14.1,14.1,14.16,12.27,13.14,186.0
"April, 2018","14,45  -0,45 (-3,02%)",15.9,13.9,14.9,14.4,14.9,14.3,14.45,14.43,12.57,49.34,712.0
"May, 2018","14,55  0,15 (1,04%)",15.4,13.4,14.4,14.3,14.55,14.3,14.55,14.46,12.66,5.81,84.0
"June, 2018","15,1  0,1 (0,67%)",16.05,13.95,15.0,15.0,15.1,14.8,15.1,14.95,13.14,16.92,253.0
"July, 2018","15,3  0,15 (0,99%)",16.2,14.1,15.15,15.15,15.4,15.15,15.3,15.4,13.31,6.69,103.0
"August, 2018","15,7  0 (0%)",16.75,14.65,15.7,15.75,16.0,15.7,15.7,15.91,13.66,15.4,245.0
"September, 2018","16,4  0,2 (1,23%)",17.3,15.1,16.2,16.2,16.4,16.15,16.4,16.3,14.27,12.21,199.0
"October, 2018","14  0,1 (0,72%)",14.85,12.95,13.9,14.0,14.1,13.95,14.0,13.97,13.51,8.95,125.000
"November, 2018","14,9  0 (0%)",15.9,13.9,14.9,14.9,14.9,14.75,14.9,14.69,14.38,2.11,31.000
"December, 2018","14,9  0 (0%)",15.9,13.9,14.9,14.5,14.9,14.5,14.9,14.669999999999998,14.38,2.25,33.000
"January, 2019","15,4  0 (0%)",16.45,14.35,15.4,0.0,0.0,0.0,15.4,0.0,14.87,11.93,185.0
"February, 2019","15,7  -0,25 (-1,57%)",17.05,14.85,15.95,16.0,16.1,15.7,15.7,15.99,15.15,5.44,87.0
"March, 2019","16,5  -0,05 (-0,3%)",17.7,15.4,16.55,16.5,16.6,16.5,16.5,16.54,15.93,7.98,132.000
"April, 2019","16,65  0,15 (0,91%)",17.65,15.35,16.5,16.6,16.7,16.55,16.65,16.65,16.07,650.1,10.822.000
"May, 2019",17  0 (0%),18.15,15.85,17.0,17.0,17.0,17.0,17.0,17.02,16.41,22.62,385.0
"June, 2019","16,8  0,2 (1,2%)",17.75,15.45,16.6,16.6,16.8,16.6,16.8,16.740000000000002,17.34,9.62,161.000
"July, 2019","18  0,1 (0,56%)",19.15,16.65,17.9,18.5,18.5,17.9,18.0,18.009999999999998,18.58,96.56,1.739.000
"August, 2019","17,6  -0,1 (-0,56%)",18.9,16.5,17.7,17.7,17.7,17.6,17.6,17.669999999999998,18.17,19.92,352.0
"September, 2019","16,5  0 (0%)",17.65,15.35,16.5,16.5,16.5,16.5,16.5,16.509999999999998,17.03,10.66,176.0
"October, 2019","16,9  -0,1 (-0,59%)",18.15,15.85,17.0,17.0,17.0,16.9,16.9,18.52,17.45,270.0,5.0
"November, 2019","16,6  -0,1 (-0,6%)",17.85,15.55,16.7,16.6,16.6,16.6,16.6,16.669999999999998,17.14,2.7,45.0
"December, 2019","15,5  0,35 (2,31%)",16.2,14.1,15.15,15.25,16.1,15.2,15.5,15.27,16.0,9.04,138.0
"January, 2020","14,8  -0,9 (-5,73%)",16.75,14.65,15.7,16.2,16.2,14.8,14.8,16.669999999999998,14.8,180.0,3.0
