Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","21,9  1,35 (6,57%)",21.95,19.15,20.55,19.5,21.95,19.5,21.9,20.96,11.74,240.7,5.044.000
"February, 2018","20,3  -0,7 (-3,33%)",22.45,19.55,21.0,20.9,20.9,20.0,20.3,20.35,10.88,108.87,2.215.000
"March, 2018",18  0 (0%),19.25,16.75,18.0,18.0,18.0,17.9,18.0,17.98,96.5,16.91,304.0
"April, 2018","18,35  0,35 (1,94%)",19.25,16.75,18.0,18.0,18.5,18.0,18.35,18.22,98.3,4.72,86.0
"May, 2018","17,3  0 (0%)",18.5,16.1,17.3,17.3,17.3,17.0,17.3,17.16,92.7,9.5,163.0
"June, 2018","16,8  0,3 (1,82%)",17.65,15.35,16.5,16.5,16.8,16.1,16.8,16.57,9.0,42.43,703.000
"July, 2018","17,4  0,1 (0,58%)",18.5,16.1,17.3,17.3,17.5,17.3,17.4,17.369999999999997,10.73,31.26,543.000
"August, 2018","18,9  0,2 (1,07%)",20.0,17.4,18.7,18.7,19.0,18.4,18.9,18.71,11.65,101.44,1.898.000
"September, 2018","20,7  0,3 (1,47%)",21.8,19.0,20.4,20.5,20.8,20.3,20.7,20.49,12.76,188.5,3.863.000
"October, 2018","21,5  -0,3 (-1,38%)",23.3,20.3,21.8,21.8,22.0,21.5,21.5,21.83,13.26,162.27,3.542.000
"November, 2018","22,7  0,3 (1,34%)",23.95,20.85,22.4,22.4,22.7,22.3,22.7,22.52,14.0,215.95,4.863.000
"December, 2018",23  0 (0%),24.6,21.4,23.0,23.0,23.0,22.7,23.0,22.84,14.18,288.88,6.599.000
"January, 2019","22  -0,2 (-0,9%)",23.75,20.65,22.2,22.0,22.0,21.7,22.0,21.880000000000003,13.57,161.65,3.537.000
"February, 2019","21,8  0,1 (0,46%)",23.2,20.2,21.7,21.4,21.9,21.4,21.8,21.58,13.44,183.49,3.959.000
"March, 2019","23  0,2 (0,88%)",24.35,21.25,22.8,22.6,23.2,22.5,23.0,22.78,14.18,206.08,4.694.000
"April, 2019","19,7  0 (0%)",21.05,18.35,19.7,19.5,19.7,19.4,19.7,19.59,12.15,205.62,4.029.000
"May, 2019","21,7  -0,3 (-1,36%)",23.5,20.5,22.0,21.7,22.0,21.3,21.7,21.57,15.39,160.56,3.463.000
"June, 2019",23  0 (0%),24.6,21.4,23.0,23.0,23.1,22.8,23.0,22.95,16.31,143.12,3.284.000
"July, 2019","20,6  0 (0%)",22.0,19.2,20.6,20.6,20.7,20.5,20.6,20.58,14.61,94.21,1.939.000
"August, 2019","21,6  0,2 (0,93%)",22.85,19.95,21.4,21.4,21.7,21.4,21.6,21.49,15.32,110.46,2.374.000
"September, 2019","22,8  0,1 (0,44%)",24.25,21.15,22.7,22.7,22.8,22.7,22.8,22.76,16.169999999999998,68.82,1.566.000
"October, 2019","23,2  -0,1 (-0,43%)",24.9,21.7,23.3,23.3,23.3,23.0,23.2,23.21,16.45,282.35,6.363.200
"November, 2019","22,9  0 (0%)",24.5,21.3,22.9,22.9,22.9,22.8,22.9,22.89,16.240000000000002,66.35,1.519.000
"December, 2019","23  0,1 (0,44%)",24.5,21.3,22.9,22.9,23.0,22.9,23.0,22.98,16.31,67.27,1.546.000
"January, 2020","22,9  -0,1 (-0,43%)",24.6,21.4,23.0,23.0,23.0,22.8,22.9,22.91,16.240000000000002,93.7,2.147.000
"February, 2020","22,9  0 (0%)",24.5,21.3,22.9,22.9,22.9,22.8,22.9,22.9,16.240000000000002,94.21,2.157.000
"March, 2020","22,2  0,1 (0,45%)",23.6,20.6,22.1,22.1,22.2,22.1,22.2,22.19,15.74,48.23,1.070.000
"April, 2020","19,1  0 (0%)",20.4,17.8,19.1,19.1,19.1,18.0,19.1,18.95,19.1,32.62,618.000
"May, 2020","19,7  0 (0%)",21.05,18.35,19.7,19.7,19.7,19.6,19.7,19.66,19.7,9.41,185.000
"June, 2020","13,95  -1,05 (-7%)",16.05,13.95,15.0,13.95,13.95,13.95,13.95,14.02,0.0,4.28,60.000
"July, 2020","12,5  0 (0%)",13.35,11.65,12.5,12.5,12.5,12.0,12.5,12.41,0.0,104.94,1.302.000
"August, 2020","11,6  -0,5 (-4,13%)",12.9,11.3,12.1,12.0,12.1,11.5,11.6,11.72,0.0,701.990,8.230.000
"September, 2020","12,3  0,4 (3,36%)",12.7,11.1,11.9,11.75,12.3,11.4,12.3,11.65,0.0,2.014.790,23.466.000
"October, 2020","12,85  0,3 (2,39%)",13.4,11.7,12.55,12.7,12.85,12.15,12.85,12.46,0.0,1.725.750,21.501.000
"November, 2020","14,4  -0,35 (-2,37%)",15.75,13.75,14.75,14.7,14.8,14.4,14.4,14.52,0.0,489.180,7.190.000
"December, 2020","18,6  0 (0%)",19.9,17.3,18.6,18.65,18.65,18.5,18.6,18.6,0.0,592.54,11.022.000
"January, 2021","19,55  1,25 (6,83%)",19.55,17.05,18.3,18.0,19.55,17.6,19.55,18.58,0.0,799.000,14.847.000
"February, 2021","20,95  -0,15 (-0,71%)",22.55,19.65,21.1,20.85,21.1,20.65,20.95,20.83,0.0,433.6,9.034.000
"March, 2021","25,5  -0,1 (-0,39%)",27.35,23.85,25.6,25.5,25.8,25.25,25.5,25.43,0.0,232.9,5.922.000
"April, 2021","33,7  0,15 (0,45%)",35.85,31.25,33.55,33.75,34.4,33.25,33.7,33.83,0.0,740.0,25.033.000
"May, 2021","38,1  -0,2 (-0,52%)",40.95,35.65,38.3,38.4,38.5,37.5,38.1,38.11,0.0,310.5,11.834.000
"June, 2021","36,8  -0,1 (-0,27%)",39.45,34.35,36.9,36.9,37.2,36.6,36.8,36.78,0.0,431.700,15.878.000
"July, 2021","46,1  0,6 (1,32%)",48.65,42.35,45.5,45.5,46.5,45.5,46.1,46.11,0.0,710.200,32.747.000
"August, 2021","54,5  0,1 (0,18%)",58.2,50.6,54.4,54.5,54.9,54.4,54.5,54.720000000000006,0.0,319.4,17.476.000
"September, 2021","57,1  -0,2 (-0,35%)",61.3,53.3,57.3,57.5,58.0,56.9,57.1,57.5,0.0,320.000,18.401.000
"October, 2021","68,8  0 (0%)",73.6,64.0,68.8,68.9,69.0,67.7,68.8,68.57000000000001,0.0,478.4,32.802.000
"November, 2021","75  2,5 (3,45%)",77.5,67.5,72.5,72.5,75.0,72.0,75.0,72.89,0.0,583.9,42.560.000
"December, 2021","58,3  0,5 (0,87%)",61.8,53.8,57.8,58.0,58.5,56.8,58.3,57.6,0.0,241.8,13.927.000
