Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,7  0,6 (5,94%)",10.8,94.0,10.1,10.7,10.8,10.6,10.7,10.79,36.4,293.2,3.163.000
"February, 2014","10,2  0,2 (2%)",10.7,93.0,10.0,10.0,10.5,98.0,10.2,99.3,36.1,202.41,2.009.041
"March, 2014","10,5  -0,4 (-3,67%)",11.6,10.2,10.9,10.7,10.7,10.4,10.5,10.53,39.3,146.96,1.547.277
"April, 2014","8,7  0 (0%)",93.0,81.0,87.0,87.0,87.0,84.0,87.0,85.3,30.5,1.27,10.833
"May, 2014","8  0,2 (2,56%)",83.0,73.0,78.0,79.0,8.0,77.0,8.0,77.8,27.2,37.43,291.000
"June, 2014","8,3  0,2 (2,47%)",86.0,76.0,81.0,81.0,83.0,81.0,83.0,82.8,28.2,130.0,1.000
"July, 2014","7,4  0,1 (1,37%)",78.0,68.0,73.0,72.0,74.0,72.0,74.0,72.8,25.1,19.83,144.000
"August, 2014","8,6  0 (0%)",92.0,8.0,86.0,86.0,88.0,84.0,86.0,86.6,29.2,72.26,626.000
"September, 2014","9  0,1 (1,12%)",95.0,83.0,89.0,9.0,9.0,89.0,9.0,89.4,30.6,79.06,707.000
"October, 2014","8,3  0 (0%)",88.0,78.0,83.0,84.0,84.0,83.0,83.0,83.5,28.2,28.96,242.0
"November, 2014","10,1  0,6 (6,32%)",10.1,89.0,95.0,95.0,10.1,95.0,10.1,99.5,34.3,148.71,1.480.000
"December, 2014","10,5  0,6 (6,06%)",10.5,93.0,99.0,10.3,10.5,10.2,10.5,10.45,35.7,38.37,401.000
"January, 2015","11  -0,1 (-0,9%)",11.8,10.4,11.1,11.3,11.3,11.0,11.0,11.03,37.4,3.04,34.0
"February, 2015","10,9  0 (0%)",11.6,10.2,10.9,10.9,10.9,10.9,10.9,10.9,37.0,1.03,11.000
"March, 2015","12,6  0,1 (0,8%)",13.3,11.7,12.5,12.8,12.9,12.6,12.6,12.79,42.8,29.49,377.000
"April, 2015","11,9  0,1 (0,85%)",12.6,11.0,11.8,11.8,12.0,11.5,11.9,11.7,40.4,6.94,81.000
"May, 2015","12  0,3 (2,56%)",12.5,10.9,11.7,11.7,12.1,11.7,12.0,11.82,40.8,116.06,1.372.000
"June, 2015","12,6  0,1 (0,8%)",13.3,11.7,12.5,12.4,12.6,12.4,12.6,12.56,42.8,18.16,228.000
"July, 2015","8,2  0 (0%)",87.0,77.0,82.0,77.0,83.0,77.0,82.0,77.3,41.8,22.84,176.000
"August, 2015",8  0 (0%),85.0,75.0,8.0,79.0,8.0,76.0,8.0,79.3,42.3,9.18,73.0
"September, 2015","8  0,1 (1,27%)",84.0,74.0,79.0,79.0,8.0,79.0,8.0,79.1,41.8,40.09,317.000
"October, 2015","8  0,3 (3,9%)",82.0,72.0,77.0,76.0,8.0,76.0,8.0,77.2,39.1,184.56,1.425.000
"November, 2015","8,4  -0,5 (-5,62%)",95.0,83.0,89.0,89.0,89.0,84.0,84.0,84.5,41.0,33.03,279.000
"December, 2015","9,8  0,2 (2,08%)",10.2,9.0,96.0,97.0,98.0,92.0,98.0,94.4,47.2,207.24,1.957.000
"January, 2016","9,3  0,1 (1,09%)",98.0,86.0,92.0,93.0,94.0,92.0,93.0,93.1,44.8,108.96,1.015.000
"February, 2016","8,9  0,1 (1,14%)",94.0,82.0,88.0,89.0,89.0,87.0,89.0,88.3,42.9,210.250,1.856.000
"March, 2016","10,9  0,7 (6,86%)",10.9,95.0,10.2,10.4,10.9,10.3,10.9,10.77,52.5,632.16,6.807.000
"April, 2016","10,4  -0,2 (-1,89%)",11.3,99.0,10.6,10.6,10.7,10.4,10.4,10.48,53.3,485.18,5.084.000
"May, 2016","10,3  0,1 (0,98%)",10.9,95.0,10.2,10.3,10.3,10.0,10.3,10.14,50.8,176.36,1.788.000
"June, 2016","10,1  -0,2 (-1,94%)",11.0,96.0,10.3,10.1,10.5,10.1,10.1,10.31,49.8,368.0,3.794.000
"July, 2016","9,4  -0,1 (-1,05%)",10.1,89.0,95.0,94.0,95.0,93.0,94.0,93.7,46.0,46.92,440.000
"August, 2016","8,7  -0,1 (-1,14%)",94.0,82.0,88.0,89.0,89.0,87.0,87.0,87.2,40.3,579.983,5.101.698
"September, 2016","8,18  0,03 (0,37%)",87.2,75.8,81.5,81.5,81.9,8.0,81.8,81.1,38.7,64.87,526.0
"October, 2016","6,66  -0,03 (-0,45%)",71.5,62.3,66.9,67.9,67.9,64.0,66.6,64.4,37.8,63.93,412.0
"November, 2016","6,6  0,01 (0,15%)",70.5,61.3,65.9,63.1,66.0,63.1,66.0,66.0,35.3,1.79,12.000
"December, 2016","6,3  0,1 (1,61%)",66.3,57.7,62.0,63.0,63.0,63.0,63.0,63.0,33.7,1.01,6.0
"January, 2017","6,75  0,05 (0,75%)",71.6,62.4,67.0,66.9,69.0,63.0,67.5,65.7,36.7,36.59,240.0
"February, 2017","12,7  0,8 (6,72%)",12.7,11.1,11.9,12.7,12.7,12.6,12.7,12.7,69.4,785.000,9.967.000
"March, 2017","11,4  -0,05 (-0,44%)",12.25,10.65,11.45,11.4,11.7,10.95,11.4,11.33,61.1,255.92,2.900.000
"April, 2017","10,5  0,05 (0,48%)",11.15,97.2,10.45,10.2,10.5,10.2,10.5,10.32,57.0,160.31,1.655.000
"May, 2017","11,2  0,2 (1,82%)",11.75,10.25,11.0,11.0,11.2,10.95,11.2,11.04,61.0,121.47,1.341.000
"June, 2017","12,55  0,25 (2,03%)",13.15,11.45,12.3,12.3,12.55,12.25,12.55,12.31,68.3,331.68,4.084.000
"July, 2017","11,4  0 (0%)",12.15,10.65,11.4,11.4,11.45,11.35,11.4,11.4,62.1,278.54,3.176.000
"August, 2017","13  0,05 (0,39%)",13.85,12.05,12.95,12.8,13.2,12.8,13.0,13.04,70.8,182.340,2.378.000
"September, 2017","13,45  0,15 (1,13%)",14.2,12.4,13.3,13.3,13.45,13.2,13.45,13.29,73.2,68.61,912.000
"October, 2017","12,4  -0,5 (-3,88%)",13.25,11.55,12.9,12.7,12.9,11.85,12.4,12.24,70.2,31.62,387.000
"November, 2017","11,65  -0,15 (-1,27%)",12.6,11.0,11.8,11.6,11.9,11.6,11.65,11.7,66.0,40.87,478.000
"December, 2017","11,25  0 (0%)",12.0,10.5,11.25,11.5,11.5,11.0,11.25,11.05,63.7,69.15,764.000
"January, 2018","12,2  -0,05 (-0,41%)",13.1,11.4,12.25,12.65,12.7,12.2,12.2,12.44,69.1,755.21,9.322.000
"February, 2018","9,48  -0,22 (-2,27%)",10.35,90.3,97.0,96.0,96.0,93.6,94.8,94.5,68.5,139.63,1.320.000
"March, 2018","9,43  0,13 (1,4%)",99.5,86.5,93.0,93.2,94.3,93.1,94.3,93.8,69.3,41.79,392.000
"April, 2018","9,46  0,03 (0,32%)",10.05,87.7,94.3,94.0,97.7,92.0,94.6,94.0,70.6,101.4,953.000
"May, 2018","8,19  -0,01 (-0,12%)",87.7,76.3,82.0,81.9,84.0,81.7,81.9,82.0,61.2,147.02,1.205.000
"June, 2018","7,6  0,1 (1,33%)",80.2,69.8,75.0,76.0,76.1,75.2,76.0,75.8,56.8,28.09,213.0
"July, 2018","7,57  0,18 (2,44%)",79.0,68.8,73.9,73.1,76.2,73.1,75.7,75.1,56.6,77.85,585.0
"August, 2018","7,45  0,08 (1,09%)",78.8,68.6,73.7,74.2,74.5,73.8,74.5,74.0,55.7,1.037.290,7.646.000
"September, 2018","7,75  -0,24 (-3%)",85.4,74.4,79.9,82.8,82.8,76.1,77.5,80.5,57.9,190.94,1.537.000
"October, 2018","5,95  -0,41 (-6,45%)",68.0,59.2,63.6,63.5,63.5,59.5,59.5,60.6,44.5,241.16,1.462.000
"November, 2018","6,09  0,19 (3,22%)",63.1,54.9,59.0,59.7,60.9,59.2,60.9,60.5,45.5,155.78,942.000
"December, 2018","5,26  -0,09 (-1,68%)",57.2,49.8,53.5,53.8,53.8,51.1,52.6,52.8,44.0,33.32,176.000
"January, 2019","5,21  0,02 (0,39%)",55.5,48.3,51.9,51.9,52.2,51.1,52.1,52.0,42.8,70.58,367.0
"February, 2019","5  -0,1 (-1,96%)",54.5,47.5,51.0,51.5,51.5,5.0,5.0,50.7,41.0,61.33,311.0
"March, 2019","6,09  0,01 (0,16%)",65.0,56.6,60.8,60.5,62.0,60.5,60.9,61.0,5.0,88.53,518.000
"April, 2019","6,2  0,02 (0,32%)",66.1,57.5,61.8,61.0,63.5,61.0,62.0,62.2,50.9,8.36,52.000
"May, 2019","6,38  0,15 (2,41%)",66.6,58.0,62.3,64.0,64.0,61.9,63.8,63.1,52.4,11.88,75.000
"June, 2019","5,18  0,17 (3,39%)",53.6,46.6,50.1,52.0,52.3,51.4,51.8,52.0,52.2,33.67,175.000
"July, 2019","5  -0,07 (-1,38%)",54.2,47.2,50.7,5.0,50.7,49.0,5.0,49.8,50.4,22.5,112.0
"August, 2019","4,45  0,02 (0,45%)",47.4,41.2,44.3,44.8,46.7,44.5,44.5,44.9,44.3,24.49,110.0
"September, 2019","4,07  -0,09 (-2,16%)",44.5,38.7,41.6,41.6,41.6,40.6,40.7,41.0,40.5,62.41,256.0
"October, 2019","4,18  -0,26 (-5,86%)",47.5,41.3,44.4,42.5,43.7,41.8,41.8,42.1,41.6,45.64,192.0
"November, 2019","4,42  0,27 (6,51%)",44.4,38.6,41.5,44.2,44.2,44.2,44.2,44.2,44.0,10.0,44.0
"December, 2019","4,05  0 (0%)",43.3,37.7,40.5,41.0,41.2,4.0,40.5,40.3,40.3,16.87,68.0
"January, 2020","3,9  -0,05 (-1,27%)",42.2,36.8,39.5,39.3,39.3,38.5,39.0,38.7,39.0,19.11,74.0
"February, 2020","3,89  0 (0%)",41.6,36.2,38.9,39.0,39.0,38.0,38.9,38.0,38.9,15.78,60.0
"March, 2020","3,5  0,19 (5,74%)",35.4,30.8,33.1,35.0,35.4,33.1,35.0,34.9,35.0,57.31,200.0
"April, 2020","3,76  -0,04 (-1,05%)",40.6,35.4,38.0,38.1,38.2,37.5,37.6,37.7,37.6,79.66,300.0
