Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","41,4  0 (0%)",45.5,37.3,41.4,44.0,44.0,40.0,41.4,41.06,62.970000000000006,62.300,2.567.030
"February, 2017",,,,,,,,,,,,
"March, 2017",,,,,,,,,,,,
"April, 2017","40  -1,4 (-3,38%)",45.5,37.3,41.4,41.4,41.4,38.0,40.0,40.17,60.34,165.600,6.585.880
"May, 2017","39,4  -0,6 (-1,5%)",44.0,36.0,40.0,39.7,40.0,39.0,39.4,39.18,59.69,149.900,5.855.580
"June, 2017","38,6  -0,8 (-2,03%)",43.3,35.5,39.4,40.0,40.0,38.6,38.6,39.42,58.15,57.0,2.245.420
"July, 2017","39  0,4 (1,04%)",42.4,34.8,38.6,39.1,39.1,38.7,39.0,38.9,60.0,21.3,828.760
"August, 2017","38,2  -0,8 (-2,05%)",42.9,35.1,39.0,39.0,39.0,38.0,38.2,38.52,58.63,100.3,3.863.500
"September, 2017",,,,,,,,,,,,
"October, 2017",,,,,,,,,,,,
"November, 2017","41,4  2,1 (5,34%)",43.2,35.4,39.3,43.2,43.2,36.5,41.4,41.36,63.02,598.500,24.516.310
"December, 2017","38  1,9 (5,26%)",39.7,32.5,36.1,36.0,38.0,35.0,38.0,35.88,58.1,216.6,7.999.280
"January, 2018","37,5  0,5 (1,35%)",40.7,33.3,37.0,37.8,37.9,33.3,37.5,37.52,52.620000000000005,296.8,10.291.980
"February, 2018",38  0 (0%),41.8,34.2,38.0,37.8,38.0,37.4,38.0,37.73,50.15,174.3,6.576.220
"March, 2018","39,5  0,5 (1,28%)",42.9,35.1,39.0,38.9,39.5,38.4,39.5,38.96,48.06,136.7,5.326.990
"April, 2018","42,6  0,1 (0,24%)",46.7,38.3,42.5,42.9,42.9,42.0,42.6,42.260000000000005,48.04,348.3,14.724.700
"May, 2018","42,7  0,7 (1,67%)",46.2,37.8,42.0,42.4,43.0,41.5,42.7,41.92,42.84,193.6,8.115.740
"June, 2018","43,6  0 (0%)",0.0,0.0,0.0,43.6,44.5,42.5,43.6,43.12,41.57,207.99,8.968.000
"July, 2018","42,15  -0,15 (-0,35%)",45.25,39.35,42.3,42.2,42.2,41.7,42.15,42.010000000000005,40.19,177.42,7.453.000
"August, 2018","42,25  0,05 (0,12%)",45.15,39.25,42.2,41.9,42.3,41.8,42.25,42.17,40.28,419.54,17.693.000
"September, 2018","42,65  0,15 (0,35%)",45.45,39.55,42.5,42.5,42.8,42.0,42.65,42.42,40.66,135.18,5.734.000
"October, 2018","42,4  0 (0%)",45.35,39.45,42.4,42.3,42.55,42.25,42.4,42.43,40.42,215.530,9.145.000
"November, 2018","42,5  -0,4 (-0,93%)",45.9,39.9,42.9,43.0,43.0,42.4,42.5,42.72,40.52,261.56,11.175.000
"December, 2018","42,35  0,2 (0,47%)",45.1,39.2,42.15,42.45,42.5,42.25,42.35,42.36,40.38,94.95,4.022.000
"January, 2019","41,55  0,55 (1,34%)",43.85,38.15,41.0,41.0,41.55,40.1,41.55,40.96,39.71,74.22,3.040.000
"February, 2019","40,5  0,3 (0,75%)",43.0,37.4,40.2,41.6,42.1,40.5,40.5,41.81,38.71,158.17,6.613.000
"March, 2019","41,65  0 (0%)",44.55,38.75,41.65,41.65,41.75,41.55,41.65,41.69,39.81,117.09,4.881.000
"April, 2019",42  0 (0%),44.9,39.1,42.0,42.0,42.2,41.8,42.0,42.0,40.14,284.69,11.958.000
"May, 2019","40,7  0,45 (1,12%)",43.05,37.45,40.25,40.25,40.95,40.25,40.7,40.65,38.9,300.52,12.215.000
"June, 2019","42  0,25 (0,6%)",44.65,38.85,41.75,41.75,42.0,41.5,42.0,41.83,40.14,243.61,10.189.000
"July, 2019","42,4  0,2 (0,47%)",45.15,39.25,42.2,42.2,42.45,40.1,42.4,41.27,40.52,304.56,12.569.000
"August, 2019","41,5  -0,2 (-0,48%)",44.6,38.8,41.7,41.6,41.75,41.4,41.5,41.58,41.3,680.73,28.545.000
"September, 2019","42,5  0,2 (0,47%)",45.25,39.35,42.3,42.3,42.7,42.0,42.5,42.3,42.3,345.23,14.604.000
"October, 2019","42,2  0,7 (1,69%)",44.4,38.6,41.5,41.5,42.2,40.5,42.2,41.11,42.0,764.3,31.199.000
"November, 2019","42  0,7 (1,69%)",44.15,38.45,41.3,41.3,42.0,40.8,42.0,41.35,41.8,526.51,21.772.000
"December, 2019","42,45  0,45 (1,07%)",44.9,39.1,42.0,42.0,42.5,42.0,42.45,42.34,42.25,1.285.930,54.115.000
"January, 2020","42  -0,1 (-0,24%)",45.0,39.2,42.1,42.1,42.2,41.45,42.0,41.99,42.0,277.310,11.643.000
"February, 2020","41,7  -0,2 (-0,48%)",44.8,39.0,41.9,41.9,42.15,40.45,41.7,41.6,41.7,428.96,17.844.000
"March, 2020",41  0 (0%),43.85,38.15,41.0,41.0,41.45,41.0,41.0,41.08,41.0,846.87,34.601.860
"April, 2020","42,2  0,4 (0,96%)",44.7,38.9,41.8,41.8,43.0,41.75,42.2,42.25,42.2,1.400.250,58.464.000
"May, 2020","42,55  0,45 (1,07%)",45.0,39.2,42.1,42.1,42.6,42.1,42.55,42.42,42.55,583.780,24.621.000
"June, 2020","42,45  0,35 (0,83%)",45.0,39.2,42.1,42.1,42.45,39.2,42.45,42.15,0.0,913.19,38.491.000
"July, 2020","41,8  0 (0%)",44.7,38.9,41.8,41.8,41.95,41.65,41.8,41.78,0.0,227.870,9.521.000
"August, 2020","41  -0,8 (-1,91%)",44.7,38.9,41.8,41.8,42.15,41.0,41.0,41.67,0.0,795.89,33.163.000
"September, 2020","41,2  0 (0%)",44.05,38.35,41.2,41.15,41.4,40.95,41.2,41.16,0.0,635.500,25.924.500
"October, 2020","33,3  0,05 (0,15%)",35.55,30.95,33.25,33.25,33.45,33.25,33.3,33.37,0.0,710.730,23.726.500
"November, 2020","33,1  -0,15 (-0,45%)",35.55,30.95,33.25,33.25,33.4,33.1,33.1,33.239999999999995,0.0,1.507.050,50.094.000
"December, 2020","33,35  0,25 (0,76%)",35.4,30.8,33.1,33.1,33.5,33.1,33.35,33.35,0.0,782.430,26.091.000
"January, 2021","34,3  0,85 (2,54%)",35.75,31.15,33.45,33.15,34.8,33.15,34.3,33.78,0.0,1.705.300,57.968.000
"February, 2021","34,2  -0,1 (-0,29%)",36.7,31.9,34.3,34.3,34.4,33.8,34.2,34.06,0.0,1.484.900,51.061.000
"March, 2021","36,2  0,2 (0,56%)",38.5,33.5,36.0,36.15,36.6,36.0,36.2,36.32,0.0,567.800,20.621.000
"April, 2021","36,35  -0,05 (-0,14%)",38.9,33.9,36.4,36.4,36.55,36.2,36.35,36.38,0.0,975.600,35.495.000
"May, 2021","33,9  -0,15 (-0,44%)",36.4,31.7,34.05,34.05,34.05,33.7,33.9,33.96,0.0,1.247.800,42.377.000
"June, 2021","35,75  0,05 (0,14%)",38.15,33.25,35.7,35.8,35.9,35.1,35.75,35.79,0.0,1.758.100,63.585.000
"July, 2021","39,05  2,55 (6,99%)",39.05,33.95,36.5,36.6,39.05,35.8,39.05,37.3,0.0,1.236.900,46.139.000
"August, 2021","42  -0,05 (-0,12%)",44.95,39.15,42.05,42.05,42.45,41.9,42.0,42.22,0.0,960.100,40.331.910
"September, 2021","42,5  0,5 (1,19%)",44.9,39.1,42.0,42.0,42.8,41.5,42.5,42.08,0.0,1.998.100,84.999.000
"October, 2021","44,6  -0,1 (-0,22%)",47.8,41.6,44.7,44.7,45.0,44.0,44.6,44.54,0.0,1.294.800,55.910.000
"November, 2021","53,5  1,4 (2,69%)",55.7,48.5,52.1,52.1,53.5,51.3,53.5,52.53,0.0,1.480.300,77.757.000
"December, 2021","54,9  0,1 (0,18%)",58.6,51.0,54.8,54.9,55.3,53.8,54.9,54.66,0.0,1.315.900,71.923.000
