Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","17,1  0,8 (4,91%)",17.4,15.2,16.3,17.1,17.1,17.1,17.1,17.1,65.1,10.0,1.0
"February, 2015","17,7  0,6 (3,51%)",18.2,16.0,17.1,0.0,17.7,17.7,17.7,17.7,67.4,10.0,
"March, 2015","17,7  0 (0%)",18.2,16.0,17.7,0.0,0.0,0.0,17.7,0.0,69.8,230.0,5.0
"April, 2015","18,4  0,7 (3,95%)",18.9,16.5,17.7,0.0,18.9,16.6,18.4,17.259999999999998,72.5,90.0,2.0
"May, 2015","16  -1,1 (-6,43%)",18.2,16.0,17.1,16.0,16.0,16.0,16.0,16.0,60.9,30.0,
"June, 2015","17  1 (6,25%)",17.1,14.9,16.0,15.9,17.0,15.9,17.0,16.009999999999998,64.7,100.0,2.0
"July, 2015","17,2  -1,2 (-6,52%)",18.9,16.5,18.4,19.2,19.2,17.2,17.2,17.22,70.5,1.16,20.0
"August, 2015","23  0,1 (0,44%)",24.5,21.3,22.9,21.3,23.4,21.3,23.0,22.68,96.4,80.0,2.0
"September, 2015","16,1  0 (0%)",17.2,15.0,16.1,15.8,16.1,15.8,16.1,15.82,64.8,340.0,5.0
"October, 2015","17,6  0 (0%)",18.8,16.4,17.6,17.6,17.6,17.6,17.6,17.6,67.0,1.0,18.0
"November, 2015","16,3  -1 (-5,78%)",18.5,16.1,17.3,16.3,17.3,16.3,16.3,16.55,62.1,40.0,1.0
"December, 2015","18  1,1 (6,51%)",19.3,16.9,16.9,18.0,18.0,18.0,18.0,18.0,61.5,10.0,4.0
"January, 2016","19,4  -0,9 (-4,43%)",21.7,18.9,20.3,19.5,19.5,19.4,19.4,19.4,65.9,2.01,39.0
"February, 2016","18  -0,2 (-1,1%)",19.4,17.0,18.2,18.0,18.0,17.5,18.0,17.81,61.2,1.15,20.0
"March, 2016",20  0 (0%),21.4,18.6,20.0,20.0,20.0,19.0,20.0,19.37,68.7,1.92,37.0
"April, 2016","19  -0,1 (-0,52%)",20.4,17.8,19.1,19.1,20.4,19.0,19.0,19.61,65.9,280.0,5.0
"May, 2016",21  0 (0%),23.8,20.8,21.0,0.0,21.0,21.0,21.0,21.0,72.6,70.0,1.0
"June, 2016","23,3  0 (0%)",24.9,21.7,23.3,24.8,24.9,23.0,23.3,23.43,81.6,1.23,29.0
"July, 2016","26,7  -0,2 (-0,74%)",27.3,23.9,26.9,25.1,26.7,25.1,26.7,25.14,10.63,1.51,38.0
"August, 2016","25,5  0 (0%)",27.2,23.8,25.5,25.9,25.9,25.5,25.5,25.5,10.96,1.11,28.0
"September, 2016","23  -0,7 (-2,95%)",25.35,22.05,23.7,23.0,23.0,23.0,23.0,23.0,10.02,1.0,23.0
"October, 2016","20,75  -0,45 (-2,12%)",22.65,19.75,21.2,19.75,21.2,19.75,20.75,19.91,13.37,3.07,61.000
"November, 2016","18  0,2 (1,12%)",19.0,16.6,17.8,18.9,18.9,17.3,18.0,17.85,11.35,2.18,39.0
"December, 2016",18  0 (0%),19.25,16.75,18.0,0.0,0.0,0.0,18.0,0.0,11.87,60.0,1.0
"January, 2017","20,55  0,05 (0,24%)",21.9,19.1,20.5,20.4,21.5,20.4,20.55,20.48,13.55,4.51,92.0
"February, 2017","21,7  0 (0%)",23.2,20.2,21.7,21.7,21.8,21.7,21.7,21.7,14.3,3.75,81.0
"March, 2017","20,5  1 (5,13%)",20.85,18.15,19.5,20.2,20.5,20.2,20.5,20.49,13.51,11.9,244.0
"April, 2017",20  0 (0%),21.4,18.6,20.0,19.5,20.0,19.5,20.0,19.42,13.18,2.06,40.0
"May, 2017","20,2  0,2 (1%)",20.65,17.95,20.0,19.5,20.2,19.5,20.2,19.18,13.8,1.46,28.0
"June, 2017","19,8  0 (0%)",21.15,18.45,19.8,19.9,20.1,19.8,19.8,19.91,13.53,4.42,88.0
"July, 2017","21,65  0 (0%)",23.15,20.15,21.65,0.0,0.0,0.0,21.65,0.0,14.79,3.64,72.0
"August, 2017",20  0 (0%),21.4,18.6,20.0,20.0,20.0,20.0,20.0,20.0,13.66,600.0,12.0
"September, 2017","19,5  -0,5 (-2,5%)",21.4,18.6,20.0,19.5,19.5,19.5,19.5,25.0,13.32,40.0,1.0
"October, 2017",20  0 (0%),21.4,18.6,20.0,0.0,0.0,0.0,20.0,0.0,13.66,1.84,37.0
"November, 2017","18,2  -1,3 (-6,67%)",20.85,18.15,19.5,18.2,18.2,18.2,18.2,17.9,13.0,1.62,29.0
"December, 2017","19  1,05 (5,85%)",19.2,16.7,17.95,17.1,19.0,17.0,19.0,16.919999999999998,13.57,2.01,34.0
"January, 2018",18  0 (0%),19.25,16.75,18.0,0.0,0.0,0.0,18.0,0.0,12.85,20.0,351.0
"February, 2018","16,75  -0,1 (-0,59%)",18.0,15.7,16.85,16.85,16.85,16.75,16.75,17.330000000000002,11.96,750.0,13.0
"March, 2018","17,1  1,1 (6,88%)",17.1,14.9,16.0,17.0,17.1,17.0,17.1,14.29,12.21,140.0,2.0
"April, 2018","16,75  0 (0%)",17.9,15.6,16.75,0.0,0.0,0.0,16.75,0.0,11.96,20.0,335.0
"May, 2018","15,9  0,5 (3,25%)",16.45,14.35,15.4,14.45,16.4,14.35,15.9,14.69,11.35,2.11,31.0
"June, 2018","13,45  -0,05 (-0,37%)",14.4,12.6,13.5,14.4,14.4,13.45,13.45,11.11,99.1,90.0,1.0
"July, 2018","13,85  0,35 (2,59%)",14.4,12.6,13.5,13.85,13.85,13.85,13.85,16.669999999999998,10.2,60.0,1.0
"August, 2018","12,05  -0,9 (-6,95%)",13.85,12.05,12.95,12.05,12.75,12.05,12.05,12.4,88.8,1.21,15.0
"September, 2018","12,3  0,3 (2,5%)",12.8,11.2,12.0,12.0,12.3,12.0,12.3,12.15,90.6,20.0,243.0
