Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,7  -0,2 (-2,9%)",73.0,65.0,69.0,69.0,69.0,67.0,67.0,68.2,35.6,207.15,1.412.000
"February, 2014","5,9  0,1 (1,72%)",62.0,54.0,58.0,6.0,6.0,56.0,59.0,56.5,34.6,12.11,68.419
"March, 2014","7,5  -0,3 (-3,85%)",83.0,73.0,78.0,78.0,81.0,73.0,75.0,74.8,44.0,450.980,3.373.067
"April, 2014","6  0,1 (1,69%)",63.0,55.0,59.0,59.0,6.0,57.0,6.0,57.6,33.1,57.09,328.863
"May, 2014","5,4  -0,1 (-1,82%)",58.0,52.0,55.0,54.0,54.0,52.0,54.0,52.6,28.7,84.82,446.0
"June, 2014","5,3  0 (0%)",56.0,5.0,53.0,54.0,54.0,53.0,53.0,53.0,28.1,28.020,149.000
"July, 2014","5,5  0 (0%)",58.0,52.0,55.0,54.0,55.0,54.0,55.0,54.7,29.2,37.81,207.000
"August, 2014","5,8  0,2 (3,57%)",59.0,53.0,56.0,56.0,58.0,56.0,58.0,57.2,30.8,162.79,931.000
"September, 2014","5,5  -0,2 (-3,51%)",6.0,54.0,57.0,57.0,57.0,54.0,55.0,55.3,29.2,100.82,557.0
"October, 2014","5,5  -0,1 (-1,79%)",59.0,53.0,56.0,55.0,56.0,55.0,55.0,55.0,29.2,133.94,737.0
"November, 2014","6,9  0,3 (4,55%)",7.0,62.0,66.0,67.0,7.0,67.0,69.0,68.5,36.6,610.16,4.178.000
"December, 2014","6,7  0 (0%)",71.0,63.0,67.0,65.0,69.0,65.0,67.0,67.4,35.6,134.360,906.000
"January, 2015","6,2  -0,2 (-3,13%)",68.0,6.0,64.0,64.0,66.0,62.0,62.0,63.6,32.9,170.48,1.084.000
"February, 2015","6,5  -0,1 (-1,52%)",7.0,62.0,66.0,66.0,66.0,65.0,65.0,66.0,34.5,53.61,354.0
"March, 2015","6,3  -0,1 (-1,56%)",68.0,6.0,64.0,64.0,64.0,63.0,63.0,63.2,33.5,33.02,209.0
"April, 2015","6,9  0,1 (1,47%)",72.0,64.0,68.0,68.0,69.0,68.0,69.0,68.9,36.6,3.48,24.0
"May, 2015","7,5  0 (0%)",8.0,7.0,75.0,74.0,75.0,74.0,75.0,74.0,39.8,15.24,113.0
"June, 2015","7,5  -0,3 (-3,85%)",83.0,73.0,78.0,77.0,77.0,75.0,75.0,75.0,39.8,29.13,219.0
"July, 2015","7,3  -0,1 (-1,35%)",79.0,69.0,74.0,73.0,73.0,72.0,73.0,72.0,38.8,37.01,266.0
"August, 2015",7  0 (0%),74.0,66.0,7.0,0.0,0.0,0.0,7.0,0.0,36.7,11.44,80.0
"September, 2015",7  0 (0%),74.0,66.0,7.0,7.0,7.0,7.0,7.0,7.0,36.7,17.04,119.0
"October, 2015",7  0 (0%),74.0,66.0,7.0,68.0,7.0,68.0,7.0,68.4,37.2,9.58,66.0
"November, 2015","6,8  0 (0%)",72.0,64.0,68.0,0.0,0.0,0.0,68.0,0.0,36.1,1.100,7.000
"December, 2015","6,6  0,1 (1,54%)",68.0,6.0,65.0,65.0,66.0,65.0,66.0,65.1,36.1,13.52,88.0
"January, 2016","6,2  0 (0%)",66.0,58.0,62.0,62.0,62.0,62.0,62.0,62.0,35.6,56.0,347.0
"February, 2016","6,2  0 (0%)",66.0,58.0,62.0,0.0,62.0,62.0,62.0,62.0,35.6,32.0,198.0
"March, 2016","6,6  0,2 (3,12%)",68.0,6.0,64.0,66.0,66.0,66.0,66.0,66.0,39.2,20.0,61.0
"April, 2016","6,3  0 (0%)",67.0,59.0,63.0,0.0,0.0,0.0,63.0,0.0,38.0,37.09,234.0
"May, 2016","6,2  -0,3 (-4,62%)",66.0,58.0,65.0,62.0,62.0,62.0,62.0,62.0,38.0,10.0,6.0
"June, 2016","6,7  -0,3 (-4,29%)",74.0,66.0,7.0,67.0,7.0,67.0,67.0,67.4,42.8,6.74,45.000
"July, 2016","9,4  0,2 (2,17%)",98.0,86.0,92.0,89.0,94.0,89.0,94.0,89.9,57.5,30.93,270.000
"August, 2016","9,2  0 (0%)",98.0,86.0,92.0,98.0,98.0,92.0,92.0,93.0,52.2,10.02,93.000
"September, 2016","8,7  0 (0%)",93.0,81.0,87.0,91.0,91.0,87.0,87.0,87.0,47.7,5.06,44.0
"October, 2016","15  0,15 (1,01%)",15.85,13.85,14.85,15.8,15.8,14.5,15.0,15.19,10.12,42.040,639.000
"November, 2016","17,25  -1,25 (-6,76%)",19.75,17.25,18.5,18.2,18.2,17.25,17.25,17.56,13.61,439.360,7.713.000
