Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","49,5  0,5 (1,02%)",52.4,45.6,49.0,49.2,49.9,48.5,49.5,49.32,41.75,1.408.140,69.090.600
"February, 2017",,,,,,,,,,,,
"March, 2017",,,,,,,,,,,,
"April, 2017","49,5  0 (0%)",52.9,46.05,49.5,49.9,50.0,48.85,49.5,49.37,41.77,2.104.010,103.978.000
"May, 2017","48  -1,5 (-3,03%)",52.9,46.05,49.5,50.0,50.0,47.9,48.0,49.02,40.52,2.480.030,121.915.000
"June, 2017","47,1  -0,9 (-1,87%)",51.3,44.65,48.0,48.0,48.5,46.7,47.1,47.31,39.78,1.834.150,86.768.000
"July, 2017","46  -1,1 (-2,34%)",50.3,43.85,47.1,47.7,47.9,46.0,46.0,46.72,38.88,1.067.350,49.868.000
"August, 2017","47  1 (2,17%)",49.2,42.8,46.0,46.0,47.65,44.4,47.0,45.95,39.72,1.658.790,76.262.000
"September, 2017","40,55  0 (0%)",43.35,37.75,40.55,0.0,0.0,0.0,40.55,0.0,34.11,,
"October, 2017","43,35  2,8 (6,91%)",43.35,37.75,40.55,43.35,43.35,43.35,43.35,43.35,36.47,2.136.030,89.638.000
"November, 2017","49  -0,4 (-0,81%)",52.8,45.95,49.4,49.0,49.0,47.85,49.0,48.5,41.33,3.235.960,156.943.000
"December, 2017","47,15  0,25 (0,53%)",50.1,43.65,46.9,46.8,47.75,46.2,47.15,47.04,39.97,2.825.760,132.922.000
"January, 2018","55,4  0,2 (0,36%)",59.0,51.4,55.2,55.9,58.7,55.4,55.4,56.41,47.09,6.251.570,352.642.000
"February, 2018","53,8  -1,1 (-2%)",58.7,51.1,54.9,54.0,55.9,53.8,53.8,54.5,45.89,5.672.210,309.133.505
"March, 2018","51,2  0,2 (0,39%)",54.5,47.45,51.0,50.8,51.4,50.3,51.2,50.98,43.8,4.682.610,238.775.000
"April, 2018","46,3  0,8 (1,76%)",48.65,42.35,45.5,46.2,46.8,45.4,46.3,46.19,39.81,1.692.600,77.787.555
"May, 2018","43  1 (2,38%)",44.9,39.1,42.0,41.3,43.4,41.3,43.0,42.91,37.010000000000005,12.631.960,532.528.000
"June, 2018","38,8  0,7 (1,84%)",40.75,35.45,38.1,38.5,39.05,37.8,38.8,38.38,33.4,1.982.580,76.100.000
"July, 2018","40,6  0,8 (2,01%)",42.55,37.05,39.8,39.8,41.8,39.7,40.6,40.49,34.95,1.817.460,73.588.000
"August, 2018","39,35  -0,6 (-1,5%)",42.7,37.2,39.95,39.9,39.9,39.35,39.35,39.56,33.87,3.043.720,120.501.048
"September, 2018","41,9  0,9 (2,2%)",43.85,38.15,41.0,41.0,41.9,40.65,41.9,41.55,36.07,4.586.620,190.582.395
