Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",53  0 (0%),56.5,49.3,53.0,53.0,53.5,53.0,53.0,53.010000000000005,20.130000000000003,14.29,758.000
"February, 2014","68  0,5 (0,74%)",72.0,63.0,67.5,68.0,68.0,67.5,68.0,67.53999999999999,19.82,29.04,1.961.280
"March, 2014","71  -0,5 (-0,7%)",76.5,66.5,71.5,71.0,71.5,70.0,71.0,70.71000000000001,22.35,28.67,2.027.330
"April, 2014","64  -0,5 (-0,78%)",69.0,60.0,64.5,63.5,65.0,63.5,64.0,64.26,19.57,13.87,891.345
"May, 2014","58  -0,5 (-0,85%)",62.5,54.5,58.5,58.5,58.5,57.0,58.0,57.06,17.68,36.22,2.067.000
"June, 2014","51  -0,5 (-0,97%)",55.0,47.9,51.5,51.0,52.0,51.0,51.0,51.13,18.99,33.98,1.738.000
"July, 2014","53,5  -1 (-1,83%)",58.0,51.0,54.5,54.0,54.5,53.5,53.5,53.91,20.21,20.9,1.127.000
"August, 2014","58,5  0 (0%)",62.5,54.5,58.5,58.5,59.0,58.0,58.5,58.46,22.18,120.72,7.057.000
"September, 2014","60,5  -1 (-1,63%)",65.5,57.5,61.5,61.5,61.5,60.0,60.5,60.35,22.94,957.504,57.735.000
"October, 2014","57,5  0,5 (0,88%)",60.5,53.5,57.0,57.0,57.5,56.0,57.5,57.02,21.8,26.84,1.530.000
"November, 2014","53  -1,5 (-2,75%)",58.0,51.0,54.5,53.5,54.0,52.0,53.0,52.65,20.1,150.97,7.949.000
"December, 2014","50  1,2 (2,46%)",52.0,45.4,48.8,49.0,50.0,48.8,50.0,49.37,20.04,26.62,1.314.000
"January, 2015","49  -0,9 (-1,8%)",53.0,46.5,49.9,49.6,49.7,49.0,49.0,49.45,19.78,11.27,557.000
"February, 2015","51  -0,5 (-0,97%)",55.0,47.9,51.5,51.0,51.5,50.5,51.0,51.13,21.07,40.11,2.051.000
"March, 2015","50,5  0,5 (1%)",53.5,46.5,50.0,50.0,50.5,49.5,50.5,50.19,21.25,9.13,458.000
"April, 2015","51,5  -0,5 (-0,96%)",55.5,48.4,52.0,52.0,52.0,51.5,51.5,51.970000000000006,22.130000000000003,5.99,311.000
"May, 2015","57  2 (3,64%)",58.5,51.5,55.0,56.0,57.0,55.0,57.0,56.19,24.68,107.68,6.051.000
"June, 2015","48,4  0,3 (0,62%)",51.0,44.8,48.1,48.5,48.8,48.1,48.4,48.28,25.55,31.07,1.500.000
"July, 2015",53  0 (0%),56.5,49.3,53.0,53.0,54.0,53.0,53.0,53.31,29.48,49.34,2.630.000
"August, 2015","53,5  -1 (-1,83%)",58.0,51.0,54.5,54.0,54.5,53.5,53.5,53.89,31.0,43.79,2.360.000
"September, 2015","60,5  1,5 (2,54%)",63.0,55.0,59.0,59.0,61.5,59.0,60.5,60.15,36.52,174.7,10.509.000
"October, 2015","71  -1 (-1,39%)",77.0,67.0,72.0,72.0,72.5,71.0,71.0,71.63,46.55,116.800,8.367.000
"November, 2015","69,5  -2 (-2,8%)",76.5,66.5,71.5,71.0,71.5,68.0,69.5,70.11,45.56,159.11,11.155.000
"December, 2015",77  0 (0%),81.5,71.5,77.0,76.5,79.5,76.5,77.0,78.08,49.56,284.46,22.211.000
"January, 2016","73,5  1,5 (2,08%)",77.0,67.0,72.0,72.5,73.5,72.0,73.5,72.96000000000001,48.66,107.04,7.810.000
"February, 2016",68  0 (0%),72.5,63.5,68.0,68.0,68.0,67.5,68.0,67.71000000000001,45.02,130.46,9.073.000
"March, 2016","60  -2 (-3,23%)",66.0,58.0,62.0,62.0,62.0,59.5,60.0,60.3,39.16,193.13,11.646.000
"April, 2016","56,5  0,5 (0,89%)",59.5,52.5,56.0,56.0,57.0,56.0,56.5,56.57000000000001,35.34,90.02,5.093.000
"May, 2016","60,5  1 (1,68%)",63.5,55.5,59.5,60.5,60.5,59.5,60.5,59.77,36.56,60.88,3.639.000
"June, 2016","65,5  0 (0%)",70.0,61.0,65.5,65.5,67.0,65.5,65.5,66.13,50.18,137.500,9.093.000
"July, 2016","68  3 (4,62%)",69.5,60.5,65.0,65.5,69.0,64.5,68.0,67.42999999999999,52.1,368.67,24.861.000
"August, 2016","72  -0,5 (-0,69%)",77.5,67.5,72.5,72.5,73.5,72.0,72.0,72.26,56.010000000000005,169.0,12.212.000
"September, 2016","68  -4,4 (-6,08%)",77.4,67.4,72.4,72.0,72.1,67.5,68.0,69.52000000000001,52.6,849.6,59.064.000
"October, 2016","60,5  -1,5 (-2,42%)",66.3,57.7,62.0,61.2,61.7,60.0,60.5,60.58,43.44,50.92,3.085.000
"November, 2016","57  0,5 (0,88%)",60.4,52.6,56.5,59.0,59.0,56.4,57.0,56.63,41.06,134.721,7.832.372
"December, 2016","56  1,4 (2,56%)",58.4,50.8,54.6,54.6,56.0,53.5,56.0,55.41,40.4,101.79,5.640.000
"January, 2017","59,2  0,2 (0,34%)",63.1,54.9,59.0,59.5,60.0,59.0,59.2,59.3,42.04,213.74,13.024.320
"February, 2017","59,4  0,1 (0,17%)",63.4,55.2,59.3,59.3,59.7,58.9,59.4,59.25,42.18,118.62,7.028.000
"March, 2017","57,8  -0,7 (-1,2%)",62.5,54.5,58.5,58.5,58.5,57.8,57.8,58.06,40.35,28.35,1.646.000
"April, 2017","57,6  0 (0%)",61.6,53.6,57.6,57.5,57.8,57.0,57.6,57.3,40.21,99.34,5.692.000
"May, 2017","56,8  -0,5 (-0,87%)",61.3,53.3,57.3,57.6,57.6,56.8,56.8,57.07000000000001,39.65,41.09,2.345.000
"June, 2017","63,2  -0,9 (-1,4%)",68.5,59.7,64.1,64.5,65.0,63.0,63.2,63.970000000000006,44.12,176.4,11.285.000
"July, 2017","57  -0,1 (-0,18%)",61.0,53.2,57.1,57.4,57.4,56.8,57.0,57.1,39.79,27.25,1.556.000
"August, 2017","55,7  -0,1 (-0,18%)",59.7,51.9,55.8,55.8,55.8,55.0,55.7,55.2,38.88,56.1,3.097.000
"September, 2017","56,4  1,1 (1,99%)",59.1,51.5,55.3,55.3,56.7,55.1,56.4,55.91,39.37,109.22,6.107.000
"October, 2017","49,8  -0,4 (-0,8%)",53.7,46.7,50.2,51.0,51.0,49.0,49.8,49.510000000000005,34.83,74.2,3.674.000
"November, 2017","51,1  0,1 (0,2%)",54.5,47.45,51.0,51.0,51.5,51.0,51.1,51.3,36.0,255.95,13.130.000
"December, 2017","43  1,4 (3,37%)",44.5,38.7,41.6,41.7,44.0,41.5,43.0,42.010000000000005,34.77,215.71,9.062.000
"January, 2018","40,4  -0,45 (-1,1%)",43.7,38.0,40.85,40.85,41.45,40.3,40.4,40.59,32.67,151.75,6.159.000
"February, 2018","37,3  1,3 (3,61%)",38.5,33.5,36.0,36.0,37.5,36.0,37.3,36.5,30.160000000000004,175.060,6.390.000
"March, 2018","40,4  1,85 (4,8%)",41.2,35.9,38.55,38.95,40.7,38.4,40.4,39.760000000000005,32.67,127.25,5.059.000
"April, 2018","34,8  2 (6,1%)",35.05,30.55,32.8,33.0,35.0,32.5,34.8,33.25,28.14,349.82,11.632.000
"May, 2018","31,2  1,2 (4%)",32.1,27.9,30.0,30.0,31.8,29.6,31.2,30.89,25.23,1.034.290,32.040.000
"June, 2018","34,85  0,35 (1,01%)",36.9,32.1,34.5,33.75,35.5,33.75,34.85,34.56,28.18,485.87,16.773.000
"July, 2018","38,55  0,6 (1,58%)",40.6,35.3,37.95,39.0,39.2,38.3,38.55,38.84,31.17,231.54,8.993.000
"August, 2018","41  -0,45 (-1,09%)",44.35,38.55,41.45,41.45,41.55,41.0,41.0,41.21,33.989999999999995,28.1,1.158.000
"September, 2018","41,5  -0,4 (-0,95%)",44.8,39.0,41.9,41.9,42.6,41.45,41.5,41.87,34.4,160.1,6.704.000
"October, 2018","38,6  0,6 (1,58%)",40.65,35.35,38.0,39.15,39.15,38.5,38.6,38.78,32.0,191.52,7.428.000
"November, 2018",40  0 (0%),42.8,37.2,40.0,40.0,40.0,39.7,40.0,39.81,33.160000000000004,115.26,4.588.000
"December, 2018","40,55  -0,25 (-0,61%)",43.65,37.95,40.8,40.85,41.0,40.55,40.55,40.71,33.62,79.51,3.237.000
"January, 2019","42,95  0,95 (2,26%)",44.9,39.1,42.0,42.0,43.45,42.0,42.95,42.97,36.34,167.32,7.189.000
"February, 2019","44  -0,85 (-1,9%)",47.95,41.75,44.85,44.85,44.85,43.5,44.0,44.27,37.23,188.13,8.329.000
"March, 2019","41,3  -0,4 (-0,96%)",44.6,38.8,41.7,41.4,41.8,41.3,41.3,41.46,34.95,27.06,1.122.000
"April, 2019","38,2  -0,35 (-0,91%)",41.2,35.9,38.55,38.6,38.6,38.05,38.2,38.17,32.32,122.89,4.691.000
"May, 2019",38  0 (0%),40.65,35.35,38.0,38.0,38.0,37.5,38.0,37.87,32.15,94.11,3.564.000
"June, 2019","30,65  -0,5 (-1,61%)",33.3,29.0,31.15,31.15,31.15,30.3,30.65,30.6,29.68,124.86,3.821.000
"July, 2019","27,95  -0,6 (-2,1%)",30.5,26.6,28.55,28.55,28.55,27.95,27.95,28.07,27.07,259.31,7.279.000
"August, 2019","29,7  1,3 (4,58%)",30.35,26.45,28.4,28.5,29.8,28.5,29.7,29.26,29.34,337.35,9.871.000
"September, 2019","27,5  0 (0%)",29.4,25.6,27.5,27.2,27.75,27.2,27.5,27.49,27.17,146.73,4.100.000
"October, 2019","25,6  -0,2 (-0,78%)",27.6,24.0,25.8,25.7,25.8,25.6,25.6,25.660000000000004,25.29,102.11,2.620.000
"November, 2019","24,2  0 (0%)",25.85,22.55,24.2,24.5,24.5,23.85,24.2,24.08,23.91,91.47,2.203.000
"December, 2019","27,25  -0,2 (-0,73%)",29.35,25.55,27.45,27.5,27.85,27.0,27.25,27.5,26.92,128.34,3.559.000
"January, 2020","25,5  -0,9 (-3,41%)",28.2,24.6,26.4,26.2,26.3,25.5,25.5,25.910000000000004,25.75,116.55,3.020.000
"February, 2020","23,8  -0,5 (-2,06%)",26.0,22.6,24.3,24.3,24.3,23.6,23.8,23.8,24.03,200.73,4.778.000
"March, 2020","20,5  0,2 (0,99%)",21.7,18.9,20.3,20.2,20.5,20.2,20.5,20.32,20.5,69.88,1.420.000
"April, 2020","25,9  0,4 (1,57%)",27.25,23.75,25.5,26.7,26.75,25.5,25.9,26.33,25.9,484.84,12.767.000
"May, 2020","28,5  0,35 (1,24%)",30.1,26.2,28.15,28.05,28.9,27.9,28.5,28.47,28.5,193.490,5.540.720
"June, 2020","26,8  0,45 (1,71%)",28.15,24.55,26.35,26.35,27.1,26.35,26.8,26.85,0.0,180.19,4.838.000
"July, 2020","31,3  0,4 (1,29%)",33.05,28.75,30.9,30.9,31.45,30.4,31.3,31.04,0.0,279.96,8.691.000
"August, 2020","34  -0,6 (-1,73%)",37.0,32.2,34.6,34.6,34.85,33.9,34.0,34.29,0.0,495.610,16.992.000
"September, 2020","36,4  1,55 (4,45%)",37.25,32.45,34.85,34.85,36.4,34.65,36.4,35.64,0.0,522.64,18.626.000
"October, 2020",41  0 (0%),43.85,38.15,41.0,41.3,41.3,40.85,41.0,41.02,0.0,317.360,13.240.220
"November, 2020","48,05  -0,05 (-0,1%)",51.4,44.75,48.1,48.5,48.5,48.0,48.05,48.09,0.0,573.234,27.909.946
