Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","14,3  0,2 (1,42%)",15.0,13.2,14.1,14.1,14.3,14.1,14.3,14.19,91.7,217.850,3.092.000
"February, 2014","15,9  -0,1 (-0,62%)",17.1,14.9,16.0,16.0,16.1,15.8,15.9,15.94,10.85,520.97,8.303.560
"March, 2014","17,5  0,1 (0,57%)",18.6,16.2,17.4,17.4,17.6,17.3,17.5,17.39,11.79,1.214.250,21.116.451
"April, 2014","16,5  0 (0%)",17.6,15.4,16.5,16.5,16.5,16.2,16.5,16.41,11.12,38.18,626.452
"May, 2014","16,6  0,2 (1,22%)",17.5,15.3,16.4,16.4,16.6,16.3,16.6,16.45,10.65,720.45,11.850.000
"June, 2014","15,6  -0,5 (-3,11%)",17.2,15.0,16.1,16.0,16.0,15.5,15.6,15.75,10.01,910.490,14.340.000
"July, 2014","14,6  0,3 (2,1%)",15.3,13.3,14.3,14.3,14.6,14.3,14.6,14.48,93.6,243.99,3.550.000
"August, 2014","14,8  0 (0%)",15.8,13.8,14.8,14.7,14.9,14.7,14.8,14.79,94.9,844.320,12.491.000
"September, 2014","14,6  0,2 (1,39%)",15.4,13.4,14.4,14.4,14.6,14.4,14.6,14.54,93.6,337.350,4.921.000
"October, 2014","14,5  0,2 (1,4%)",15.3,13.3,14.3,14.4,14.5,14.3,14.5,14.419999999999998,93.0,384.550,5.545.000
"November, 2014","14,1  0 (0%)",15.0,13.2,14.1,14.1,14.2,14.0,14.1,14.080000000000002,90.4,412.360,5.804.000
"December, 2014","13,5  0,1 (0,75%)",14.3,12.5,13.4,13.5,13.8,13.4,13.5,13.57,86.6,416.76,5.654.000
"January, 2015","14,4  -0,1 (-0,69%)",15.5,13.5,14.5,14.5,14.5,14.3,14.4,14.43,92.4,353.940,5.107.000
"February, 2015","13,7  -0,1 (-0,72%)",14.7,12.9,13.8,13.8,13.9,13.5,13.7,13.65,98.2,463.240,6.325.000
"March, 2015","13,3  0,1 (0,76%)",14.1,12.3,13.2,13.2,13.4,13.1,13.3,13.21,95.3,496.32,6.576.000
"April, 2015","13,5  0,1 (0,75%)",14.3,12.5,13.4,13.4,13.5,13.4,13.5,13.49,96.7,184.550,2.490.000
"May, 2015","14,1  -0,1 (-0,7%)",15.1,13.3,14.2,14.1,14.2,14.0,14.1,14.1,10.1,251.250,3.542.000
"June, 2015","13,4  -0,2 (-1,47%)",14.5,12.7,13.6,13.5,13.6,13.4,13.4,13.48,96.0,256.86,3.469.000
"July, 2015","14,2  -0,1 (-0,7%)",15.3,13.3,14.3,14.5,14.5,14.2,14.2,14.3,10.18,459.520,6.569.000
"August, 2015",14  0 (0%),14.9,13.1,14.0,14.0,14.1,13.9,14.0,13.97,10.18,182.94,2.555.000
"September, 2015","14,1  0 (0%)",15.0,13.2,14.1,14.3,14.3,14.1,14.1,14.24,10.25,65.900,938.000
"October, 2015","16,8  0,2 (1,2%)",17.7,15.5,16.6,16.8,16.8,16.6,16.8,16.69,12.71,281.03,4.689.000
"November, 2015","16,7  -0,2 (-1,18%)",18.0,15.8,16.9,16.7,16.8,16.6,16.7,16.72,12.64,318.97,5.225.000
"December, 2015","16  0,1 (0,63%)",17.0,14.8,15.9,15.8,16.0,15.8,16.0,15.88,11.73,82.8,1.315.000
"January, 2016","16,1  0 (0%)",17.2,15.0,16.1,16.1,16.2,16.0,16.1,16.09,12.33,43.56,701.000
"February, 2016","15,8  0 (0%)",16.9,14.7,15.8,15.8,15.8,15.6,15.8,15.66,12.1,74.43,1.165.000
"March, 2016",16  0 (0%),17.1,14.9,16.0,16.0,16.0,15.9,16.0,15.94,12.33,53.14,847.000
"April, 2016","14,7  0,1 (0,68%)",15.6,13.6,14.6,14.6,14.7,14.6,14.7,14.6,12.06,51.48,752.0
"May, 2016","14,4  -0,2 (-1,37%)",15.6,13.6,14.6,14.4,14.6,14.4,14.4,14.46,11.98,13.57,196.000
"June, 2016","14,7  0 (0%)",15.7,13.7,14.7,14.7,14.7,14.5,14.7,14.65,12.31,3.76,55.0
"July, 2016","14,3  0 (0%)",15.3,13.3,14.3,14.3,14.3,14.2,14.3,14.26,12.06,47.63,679.0
"August, 2016","15,4  -0,2 (-1,28%)",16.6,14.6,15.6,15.6,15.7,15.2,15.4,15.43,13.169999999999998,207.61,3.203.000
"September, 2016","15,45  -0,1 (-0,64%)",16.6,14.5,15.55,15.45,15.6,15.3,15.45,15.44,13.52,150.59,2.325.000
