Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",12  0 (0%),12.8,11.2,12.0,0.0,0.0,0.0,12.0,0.0,76.2,1.05,8.0
"February, 2014","6,3  0,4 (6,78%)",63.0,55.0,59.0,63.0,63.0,63.0,63.0,63.0,43.4,10.0,63.0
"March, 2014","8  -0,6 (-6,98%)",92.0,8.0,86.0,8.0,87.0,8.0,8.0,80.2,55.1,350.0,2.807
"April, 2014","8,4  0 (0%)",89.0,79.0,84.0,0.0,0.0,0.0,84.0,0.0,54.8,60.0,504.0
"May, 2014","7,1  0,3 (4,41%)",72.0,64.0,68.0,72.0,72.0,71.0,71.0,71.8,43.7,140.0,1.0
"June, 2014","7,9  -0,1 (-1,25%)",85.0,75.0,8.0,79.0,79.0,79.0,79.0,79.0,50.2,1.92,15.0
"July, 2014",8  0 (0%),85.0,75.0,8.0,0.0,0.0,0.0,8.0,0.0,50.8,800.0,6.0
"August, 2014","8,1  0,1 (1,25%)",85.0,75.0,8.0,8.0,81.0,8.0,81.0,80.5,51.5,20.0,3.0
"September, 2014","8  0,2 (2,56%)",83.0,73.0,78.0,74.0,8.0,74.0,8.0,77.7,50.8,30.0,2.0
"October, 2014","8,5  0,2 (2,41%)",88.0,78.0,83.0,82.0,85.0,82.0,85.0,83.8,54.0,50.0,2.0
"November, 2014","12  0,5 (4,35%)",12.3,10.7,11.5,11.4,12.0,11.4,12.0,11.45,76.2,110.0,1.0
"December, 2014","10,6  0,3 (2,91%)",11.0,96.0,10.3,10.6,10.6,10.6,10.6,10.6,67.3,10.0,52.0
"January, 2015","10,2  0,2 (2%)",10.7,93.0,10.0,93.0,10.2,93.0,10.2,93.9,64.8,2.53,24.0
"February, 2015","10,2  0,6 (6,25%)",10.2,9.0,96.0,96.0,10.2,96.0,10.2,97.0,64.8,1.7,16.0
"March, 2015","10,5  0 (0%)",11.2,98.0,10.5,0.0,0.0,0.0,10.5,0.0,66.7,110.0,1.0
"April, 2015","10,3  0,6 (6,19%)",10.3,91.0,97.0,97.0,10.3,97.0,10.3,10.22,65.4,19.07,195.0
"May, 2015","11  0,7 (6,8%)",11.0,96.0,10.3,10.6,11.0,10.6,11.0,10.91,69.9,4.55,50.0
"June, 2015","10,4  0 (0%)",11.1,97.0,10.4,0.0,0.0,0.0,10.4,0.0,72.5,20.0,100.0
"July, 2015","9,4  0 (0%)",10.0,88.0,94.0,94.0,94.0,94.0,94.0,94.0,65.5,100.0,1.0
"August, 2015","12,5  0,8 (6,84%)",12.5,10.9,11.7,12.5,12.5,12.5,12.5,12.5,92.8,24.74,309.000
"September, 2015","13,6  0,7 (5,43%)",13.8,12.0,12.9,13.1,13.8,12.9,13.6,13.35,99.2,95.67,1.278.000
"October, 2015","16,1  0,4 (2,55%)",16.7,14.7,15.7,15.7,16.7,15.7,16.1,16.119999999999997,12.18,65.28,1.053.000
"November, 2015","12,4  -0,6 (-4,62%)",13.9,12.1,13.0,13.2,13.2,12.2,12.4,12.5,93.8,54.94,687.000
"December, 2015","13,8  -0,4 (-2,82%)",15.5,13.5,14.2,14.2,14.4,13.8,13.8,14.05,10.55,27.45,386.0
"January, 2016","13,5  -0,2 (-1,46%)",14.6,12.8,13.7,13.5,13.5,13.4,13.5,13.47,98.1,14.32,193.0
"February, 2016","13,4  0,3 (2,29%)",14.0,12.2,13.1,13.4,13.4,12.9,13.4,13.25,97.4,6.61,88.0
"March, 2016","15,3  1 (6,99%)",15.3,13.3,14.3,14.5,15.3,14.2,15.3,15.12,11.29,273.75,4.138.000
"April, 2016","14  0,3 (2,19%)",14.6,12.8,13.7,13.8,14.0,13.6,14.0,13.87,10.33,20.58,285.0
"May, 2016",14  0 (0%),14.9,13.1,14.0,14.0,14.0,13.8,14.0,13.94,10.4,18.65,260.0
"June, 2016","12,6  0 (0%)",13.4,11.8,12.6,12.6,12.7,12.5,12.6,12.58,10.23,7.01,88.0
"July, 2016","12,3  -0,2 (-1,6%)",13.3,11.7,12.5,12.4,12.5,12.3,12.3,12.43,10.24,10.99,137.0
"August, 2016","11,7  -0,2 (-1,68%)",12.7,11.1,11.9,11.8,11.8,11.7,11.7,11.76,91.7,2.54,30.0
"September, 2016","10,65  0,1 (0,95%)",11.25,98.2,10.55,10.6,10.9,10.6,10.65,10.77,83.8,15.73,169.0
"October, 2016","11,4  -0,6 (-5%)",12.8,11.2,12.0,11.2,12.0,11.2,11.4,11.21,88.7,9.61,108.0
"November, 2016",13  0 (0%),13.9,12.1,13.0,13.0,13.0,12.5,13.0,12.51,10.44,21.46,268.0
"December, 2016","12,6  0,6 (5%)",12.8,11.2,12.0,12.8,12.8,12.4,12.6,12.49,10.12,15.57,195.000
"January, 2017",13  0 (0%),13.9,12.1,13.0,13.0,13.0,13.0,13.0,13.0,10.36,9.2,120.0
"February, 2017","13  -0,6 (-4,41%)",14.55,12.65,13.6,13.7,13.9,13.0,13.0,13.45,10.36,640.0,9.0
"March, 2017","14,3  -0,4 (-2,72%)",15.7,13.7,14.7,14.5,14.5,14.0,14.3,14.080000000000002,11.47,2.88,41.0
"April, 2017","14,6  -0,1 (-0,68%)",15.7,13.7,14.7,14.7,15.0,14.6,14.6,14.7,11.71,11.7,172.0
"May, 2017","16,1  0 (0%)",17.2,15.0,16.1,16.1,16.2,16.1,16.1,16.06,12.919999999999998,8.78,141.0
"June, 2017","15,4  0 (0%)",16.45,14.35,15.4,15.1,15.4,15.1,15.4,15.26,13.61,5.7,87.0
"July, 2017","15,5  -0,5 (-3,12%)",17.1,14.9,16.0,15.5,15.5,15.5,15.5,15.580000000000002,13.7,5.2,81.0
"August, 2017","14,7  0 (0%)",15.7,13.7,14.7,15.0,15.25,14.5,14.7,14.76,12.99,4.2,62.0
"September, 2017","15,5  0 (0%)",16.55,14.45,15.5,0.0,0.0,0.0,15.5,0.0,13.7,670.0,11.0
"October, 2017","14,8  0 (0%)",15.8,13.8,14.8,0.0,0.0,0.0,14.8,0.0,13.080000000000002,100.0,1.0
"November, 2017","12,7  -0,85 (-6,27%)",14.45,12.65,13.55,13.0,13.0,12.7,12.7,12.86,11.23,9.95,128.0
"December, 2017","14,6  0 (0%)",15.6,13.6,14.6,14.6,14.6,14.6,14.6,14.62,12.9,3.9,57.000
"January, 2018","16,05  1,05 (7%)",16.05,13.95,15.0,15.95,16.05,15.95,16.05,16.0,14.19,33.75,540.0
"February, 2018","17,2  -0,95 (-5,23%)",19.4,16.9,18.15,17.2,17.2,17.2,17.2,17.2,15.2,10.0,172.0
"March, 2018","19,3  0,2 (1,05%)",20.4,17.8,19.1,20.3,20.4,19.3,19.3,20.17,17.06,29.06,586.0
"April, 2018","19,5  0 (0%)",20.85,18.15,19.5,20.0,20.85,19.5,19.5,19.97,17.240000000000002,18.73,374.0
"May, 2018","25  1,5 (6,38%)",25.1,21.9,23.5,25.0,25.0,24.0,25.0,24.55,22.1,1.1,27.0
"June, 2018","25  1 (4,17%)",25.65,22.35,24.0,24.5,25.55,24.5,25.0,25.03,22.1,9.27,232.0
"July, 2018","24,2  -1,8 (-6,92%)",27.8,24.2,26.0,27.8,27.8,24.2,24.2,24.27,23.56,6.18,150.000
"August, 2018","27,6  0,1 (0,36%)",29.4,25.6,27.5,27.0,27.8,27.0,27.6,27.3,26.87,3.04,83.0
"September, 2018","28,45  -0,15 (-0,52%)",30.6,26.6,28.6,27.6,28.45,27.6,28.45,26.92,27.7,260.0,7.0
"October, 2018","25,9  -0,5 (-1,89%)",28.2,24.6,26.4,26.4,26.4,25.5,25.9,25.0,25.22,360.0,9.0
"November, 2018","24,9  0,9 (3,75%)",25.65,22.35,24.0,24.5,25.0,23.2,24.9,24.62,24.24,650.0,16.000
"December, 2018","25,6  -0,4 (-1,54%)",27.8,24.2,26.0,26.3,26.5,24.2,25.6,24.79,24.93,1.17,29.0
