Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,4  0,6 (6,82%)",94.0,82.0,88.0,89.0,94.0,89.0,94.0,92.7,68.1,1.384.710,12.836.000
"February, 2014","7,6  -0,1 (-1,3%)",82.0,72.0,77.0,78.0,78.0,74.0,76.0,75.6,57.1,686.030,5.189.407
"March, 2014","8,8  -0,2 (-2,22%)",96.0,84.0,9.0,9.0,9.0,88.0,88.0,89.1,65.3,254.040,2.264.168
"April, 2014","7,2  0 (0%)",77.0,67.0,72.0,74.0,74.0,7.0,72.0,71.1,50.2,111.09,789.407
"May, 2014","6,5  0,1 (1,56%)",68.0,6.0,64.0,64.0,65.0,63.0,65.0,63.8,47.1,118.32,755.000
"June, 2014","6,9  -0,1 (-1,43%)",74.0,66.0,7.0,69.0,7.0,68.0,69.0,68.8,5.0,220.000,1.513.000
"July, 2014","7,1  0,1 (1,43%)",74.0,66.0,7.0,7.0,72.0,69.0,71.0,70.5,51.5,195.380,1.377.000
"August, 2014","7,9  0 (0%)",84.0,74.0,79.0,79.0,8.0,78.0,79.0,79.0,57.3,542.550,4.285.000
"September, 2014","8,1  0,1 (1,25%)",85.0,75.0,8.0,79.0,81.0,78.0,81.0,79.7,58.7,557.270,4.442.000
"October, 2014","8,3  0,1 (1,22%)",87.0,77.0,82.0,83.0,83.0,81.0,83.0,82.4,60.2,271.83,2.240.000
"November, 2014","8,8  0,5 (6,02%)",88.0,78.0,83.0,83.0,88.0,83.0,88.0,86.9,63.8,2.653.010,23.063.000
"December, 2014","8,4  0,2 (2,44%)",87.0,77.0,82.0,82.0,87.0,82.0,84.0,84.3,63.2,527.110,4.443.000
"January, 2015","8,7  0,2 (2,35%)",9.0,8.0,85.0,85.0,88.0,83.0,87.0,86.6,65.4,664.98,5.756.000
"February, 2015","8,2  0 (0%)",87.0,77.0,82.0,83.0,83.0,81.0,82.0,82.2,61.7,97.12,798.000
"March, 2015","7,6  0,1 (1,33%)",8.0,7.0,75.0,77.0,78.0,76.0,76.0,76.8,57.2,118.6,910.000
"April, 2015","7,4  -0,1 (-1,33%)",8.0,7.0,75.0,75.0,76.0,73.0,74.0,74.0,55.7,260.74,1.929.000
