Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","17,7  -0,6 (-3,28%)",19.55,17.05,18.3,18.3,18.75,17.7,17.7,18.11,13.56,26.01,471.000
"February, 2018","18,2  0,5 (2,82%)",18.9,16.5,17.7,17.7,18.3,17.7,18.2,18.03,13.94,29.07,524.000
"March, 2018","18  0,3 (1,69%)",18.9,16.5,17.7,17.8,18.0,17.8,18.0,17.880000000000003,13.79,12.75,228.0
"April, 2018","17,75  -0,25 (-1,39%)",19.25,16.75,18.0,17.7,18.15,17.7,17.75,17.75,13.6,16.79,298.0
"May, 2018","17,8  0,05 (0,28%)",18.95,16.55,17.75,18.0,18.15,17.8,17.8,18.009999999999998,13.64,13.55,244.0
"June, 2018","18,05  0,25 (1,4%)",19.0,16.6,17.8,17.55,18.2,17.55,18.05,17.55,13.830000000000002,12.71,223.0
"July, 2018","17,8  -0,25 (-1,39%)",19.3,16.8,18.05,18.05,18.05,17.8,17.8,17.95,13.64,13.59,244.0
"August, 2018","21,8  -0,25 (-1,13%)",23.55,20.55,22.05,22.05,22.1,20.55,21.8,21.5,16.7,135.03,2.903.000
"September, 2018","20,2  0 (0%)",21.6,18.8,20.2,20.0,20.55,19.0,20.2,19.89,15.47,170.25,3.387.000
"October, 2018","18,3  -0,1 (-0,54%)",19.65,17.15,18.4,19.0,19.0,17.85,18.3,18.68,14.02,22.0,411.000
"November, 2018","17,7  -0,05 (-0,28%)",18.95,16.55,17.75,17.9,17.9,17.7,17.7,17.82,13.56,18.13,323.0
"December, 2018","15,3  -1,15 (-6,99%)",17.6,15.3,16.45,15.7,15.7,15.3,15.3,15.43,11.72,7.0,108.0
"January, 2019","16,3  0,3 (1,88%)",17.1,14.9,16.0,16.05,16.3,16.05,16.3,16.169999999999998,11.83,19.6,317.000
"February, 2019","15,95  0 (0%)",17.05,14.85,15.95,16.0,16.0,14.95,15.95,15.76,11.58,9.2,145.000
"March, 2019","11,3  -0,2 (-1,74%)",12.3,10.7,11.5,11.25,11.5,11.2,11.3,11.4,82.0,46.75,533.000
"April, 2019","11,3  -0,2 (-1,74%)",12.3,10.7,11.5,11.5,11.5,11.0,11.3,11.23,82.0,64.99,730.000
"May, 2019","10,55  0,05 (0,48%)",11.2,97.7,10.5,10.45,10.6,10.4,10.55,10.48,77.8,104.24,1.092.000
"June, 2019","10,3  0 (0%)",11.0,95.8,10.3,10.2,10.35,10.0,10.3,10.18,77.6,70.85,721.000
"July, 2019","10,8  -0,8 (-6,9%)",12.4,10.8,11.6,11.45,11.5,10.8,10.8,10.98,81.9,292.5,3.211.000
"August, 2019","9,6  0 (0%)",10.25,89.3,96.0,96.0,98.9,89.3,96.0,93.7,73.7,38.12,357.0
"September, 2019","6,92  -0,18 (-2,54%)",75.9,66.1,71.0,71.0,71.0,67.0,69.2,67.9,65.7,18.57,126.0
"October, 2019","5,65  -0,14 (-2,42%)",61.9,53.9,57.9,57.9,57.9,56.0,56.5,58.8,53.7,2.21,13.0
"November, 2019","5,26  0,34 (6,91%)",52.6,45.8,49.2,52.6,52.6,52.6,52.6,52.5,5.0,54.07,284.0
"December, 2019","3,82  0,11 (2,96%)",39.6,34.6,37.1,37.5,38.2,37.2,38.2,37.1,36.3,6.2,23.0
"January, 2020","3,71  -0,22 (-5,6%)",42.0,36.6,39.3,38.0,38.0,37.1,37.1,36.7,35.2,3.81,14.0
"February, 2020","3,91  -0,04 (-1,01%)",42.2,36.8,39.5,4.0,4.0,38.5,39.1,38.2,37.1,12.55,48.0
"March, 2020","3,34  0,18 (5,7%)",33.8,29.4,31.6,33.6,33.6,30.5,33.4,31.9,33.4,5.33,17.0
"April, 2020","3,49  -0,04 (-1,13%)",37.7,32.9,35.3,35.3,35.3,33.5,34.9,34.3,34.9,6.12,21.0
"May, 2020","4,69  0,3 (6,83%)",46.9,40.9,43.9,46.9,46.9,46.9,46.9,47.1,46.9,28.48,134.0
"June, 2020","4,14  -0,31 (-6,97%)",47.6,41.4,44.5,44.6,46.1,41.4,41.4,44.1,0.0,9.07,40.0
"July, 2020","4,04  0,15 (3,86%)",41.6,36.2,38.9,40.4,40.4,40.4,40.4,40.4,0.0,10.0,40.0
"August, 2020","4,19  0 (0%)",44.8,39.0,41.9,41.9,41.9,41.3,41.9,41.0,0.0,11.21,46.0
"September, 2020","4,31  -0,08 (-1,82%)",46.9,40.9,43.9,43.9,43.9,42.2,43.1,42.9,0.0,5.6,24.0
"October, 2020","4,4  -0,01 (-0,23%)",47.1,41.1,44.1,44.7,44.7,43.3,44.0,42.9,0.0,700,3.000
"November, 2020","4,9  -0,13 (-2,58%)",53.8,46.8,50.3,50.3,50.5,47.0,49.0,49.8,0.0,12.45,62.0
"December, 2020","6,98  0,3 (4,49%)",71.4,62.2,66.8,71.0,71.2,66.8,69.8,70.1,0.0,95.21,667.0
"January, 2021","6,44  0,1 (1,58%)",67.8,59.0,63.4,59.0,64.5,59.0,64.4,59.9,0.0,34.2,205.0
"February, 2021","6,19  0 (0%)",66.2,57.6,61.9,0.0,0.0,0.0,61.9,0.0,0.0,8.0,49.0
"March, 2021","7,6  -0,1 (-1,3%)",82.3,71.7,77.0,77.0,77.7,75.1,76.0,76.6,0.0,20.9,160.0
"April, 2021","7,39  0,09 (1,23%)",78.1,67.9,73.0,73.0,74.0,73.0,73.9,73.7,0.0,9.9,73.0
"May, 2021","7,28  -0,12 (-1,62%)",79.1,68.9,74.0,74.0,74.0,7.0,72.8,73.5,0.0,3.4,25.0
"June, 2021","7,19  0,06 (0,84%)",76.2,66.4,71.3,72.0,72.5,71.3,71.9,72.5,0.0,6.9,50.0
"July, 2021","6,6  -0,24 (-3,51%)",73.1,63.7,68.4,68.4,68.4,65.5,66.0,66.2,0.0,26.3,174.0
"August, 2021","7,1  0 (0%)",75.9,66.1,71.0,70.1,71.0,7.0,71.0,7.0,0.0,22.3,156.0
"September, 2021","8,5  0,31 (3,79%)",87.6,76.2,81.9,81.9,86.0,81.9,85.0,84.1,0.0,18.9,159.000
"October, 2021","9,07  0,02 (0,22%)",96.8,84.2,90.5,90.5,91.7,89.1,90.7,90.2,0.0,84.5,762.0
"November, 2021","10,55  0,69 (7%)",10.55,91.7,98.6,10.3,10.55,10.3,10.55,10.53,0.0,71.7,755.000
"December, 2021","9,39  -0,05 (-0,53%)",10.1,87.8,94.4,94.4,95.0,93.9,93.9,93.9,0.0,19.6,184.000
