Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","280  0,9 (0,32%)",29.860000000000003,25.96,27.910000000000004,26.0,28.23,26.0,28.0,280.12,328.45,1.71,479.000
"February, 2018","286  6 (2,14%)",29.96,26.04,28.0,28.0,28.6,28.0,28.6,283.78000000000003,335.48,20.37,5.705.000
"March, 2018","280  15,1 (5,7%)",28.34,24.64,26.49,28.1,28.1,28.0,28.0,280.38,328.45,2.65,743.000
"April, 2018","279,9  -0,1 (-0,04%)",29.96,26.04,28.0,27.79,28.0,27.79,27.99,279.63,328.33000000000004,540.0,151.000
"May, 2018","279  -0,9 (-0,32%)",29.94,26.04,27.99,27.95,27.95,26.8,27.9,27.5,327.27,240.0,66.000
"June, 2018",319  -24 (-7%),36.7,31.9,34.3,32.1,32.1,31.9,31.9,320.56,374.19,1.8,577.000
"July, 2018","202,4  0 (0%)",21.65,18.83,20.24,20.01,20.24,20.0,20.24,201.16,237.42,860.0,173.000
"August, 2018","196  -1 (-0,51%)",21.07,18.33,19.7,20.0,20.0,19.49,19.6,196.54,229.91,270.7,54.173.400
"September, 2018",222  0 (0%),23.75,20.65,22.2,22.2,22.2,22.1,22.2,222.01,260.41,8.54,1.896.000
"October, 2018","279,1  -0,2 (-0,07%)",29.880000000000003,25.98,27.93,28.85,28.85,27.910000000000004,27.910000000000004,280.61,327.39,6.91,1.939.000
"November, 2018","264,9  -2,1 (-0,79%)",28.56,24.84,26.7,26.7,26.7,26.49,26.49,265.61,310.73,50.48,13.376.865
"December, 2018",235  0 (0%),25.14,21.86,23.5,24.98,24.98,22.8,23.5,237.61,275.66,16.62,3.949.000
"January, 2019","236  -4 (-1,67%)",25.68,22.32,24.0,23.51,23.9,23.51,23.6,236.36,277.98,1.1,260.000
"February, 2019","240,2  0,8 (0,33%)",25.610000000000003,22.27,23.94,23.94,24.1,23.94,24.02,240.25,282.92,21.12,5.074.000
"March, 2019","100  -5 (-4,76%)",11.23,97.7,10.5,97.7,11.18,97.7,100.0,103.43,117.79,529.5,52.965.179
"April, 2019","112,1  0 (0%)",11.99,10.43,11.21,11.12,11.22,11.01,11.21,111.59,132.04000000000002,35.19,3.927.000
"May, 2019","91,1  -1,6 (-1,73%)",99.1,86.3,92.7,92.7,92.7,90.0,91.1,91.42,10.73,95.54,8.734.000
"June, 2019","73,5  -2,6 (-3,42%)",81.4,70.8,76.1,76.0,76.0,73.5,73.5,74.49,86.57000000000001,230.38,17.160.000
"July, 2019","59,5  -2,9 (-4,65%)",66.7,58.1,62.4,58.1,63.5,58.1,59.5,59.38,70.08,63.83,3.790.000
"August, 2019","50,5  0,2 (0,4%)",53.8,46.8,50.3,50.2,50.9,50.2,50.5,50.54,55.49,21.43,1.083.000
"September, 2019","60  -1,2 (-1,96%)",65.4,57.0,61.2,61.2,61.3,60.0,60.0,60.48,65.92,22.32,1.350.000
