Date,Changes,Open,Max,Min,Close,KLGD,GTGD
"January, 2010","0,2  (0,04%)",481.49,484.15,477.11,481.96,26.562.490,1.117.067.000.000
"February, 2010","1,92  (0,39%)",494.31000000000006,496.91,491.97,496.91,39.282.900,1.515.662.000.000
"March, 2010","-1,48  (-0,3%)",501.85,50.4,499.24,499.24,52.760.980,2.014.789.000.000
"April, 2010","3,17  (0,59%)",541.4399999999999,542.74,541.1899999999999,542.37,74.876.770,2.856.977.000.000
"May, 2010","-5,55  (-1,08%)",510.54,513.4399999999999,506.32,507.44,44.805.060,1.458.428.000.000
"June, 2010","-3,57  (-0,7%)",501.19,507.14,501.06000000000006,507.14,59.174.620,1.830.049.000.000
"July, 2010","2,8  (0,57%)",49.13,49.510000000000005,49.13,493.91,46.042.970,1.336.830.000.000
"August, 2010","10,53  (2,37%)",447.86,455.43,445.36,455.08,55.600.580,1.540.347.000.000
"September, 2010","1,58  (0,35%)",452.71,454.52,451.28,454.52,40.627.470,1.208.913.000.000
"October, 2010","2,56  (0,57%)",45.05,452.79,450.29,452.63,33.401.040,1.008.644.000.000
"November, 2010","5,23  (1,17%)",450.04,45.63,450.04,451.59,66.969.099,1.382.124.000.000
"December, 2010","3,26  (0,68%)",480.93,485.22,48.010000000000005,484.66,60.094.429,1.591.998.000.000
"January, 2011","7,92  (1,58%)",502.77,511.91,502.75,51.06,37.629.396,959.449.000.000
"February, 2011","-5,59  (-1,2%)",467.12,474.22,461.37,461.37,34.263.463,768.582.000.000
"March, 2011","1,09  (0,24%)",462.27,465.31000000000006,460.74,461.13,27.888.540,541.783.000.000
"April, 2011","7,15  (1,51%)",477.43,481.13,477.07,480.08,25.172.450,628.760.000.000
"May, 2011","9,27  (2,25%)",414.98,421.37,414.88,421.37,22.752.640,388.739.000.000
"June, 2011","-2,06  (-0,47%)",435.21,435.63,432.17,432.54,24.178.969,409.988.000.000
"July, 2011","-2,69  (-0,66%)",407.58,409.04,40.22,40.57,18.914.457,370.265.000.000
"August, 2011","5,45  (1,3%)",421.45,426.29,417.79,424.71,47.740.480,784.326.000.000
"September, 2011","-0,48  (-0,11%)",426.13,433.09,424.64,42.760000000000005,34.375.279,812.816.000.000
"October, 2011","-1,26  (-0,3%)",426.89,428.86,420.81000000000006,420.81000000000006,37.892.750,580.622.000.000
"November, 2011","-2,21  (-0,58%)",381.88,382.62,378.78,380.69,26.233.860,386.308.000.000
"December, 2011","1,04  (0,3%)",351.83000000000004,352.46,34.83,351.55,56.176.288,808.911.000.000
"January, 2012","3,03  (0,79%)",390.43,393.92,387.97,387.97,39.042.210,508.968.000.000
"February, 2012","1,42  (0,34%)",420.02,423.64,418.0100000000001,423.64,125.979.180,2.300.807.000.000
"March, 2012","1,4  (0,32%)",442.57,443.74,437.62,441.03,67.123.170,882.383.000.000
"April, 2012","3,56  (0,76%)",473.43,475.22,470.43,473.77,86.178.662,1.304.100.000.000
"May, 2012","-6,14  (-1,41%)",431.84,433.94,428.52,42.92,48.180.040,732.033.000.000
"June, 2012","4,21  (1,01%)",420.7600000000001,422.37,418.49,422.37,55.759.822,1.066.052.000.000
"July, 2012","-0,52  (-0,13%)",41.57,416.57,414.19,414.48,25.401.170,417.134.000.000
"August, 2012","-1,23  (-0,31%)",396.88,398.19,394.29,396.02,33.353.341,505.389.000.000
"September, 2012","-0,77  (-0,2%)",392.11,393.91,390.99,392.57,37.103.386,619.342.000.000
"October, 2012","-1,44  (-0,37%)",38.85,390.05,387.39,388.42,57.630.532,890.511.000.000
"November, 2012","-0,38  (-0,1%)",380.01,380.18,377.52,377.82,45.543.539,1.873.789.000.000
"December, 2012","3,76  (0,92%)",409.49,413.73,408.32,413.73,84.321.532,1.157.572.000.000
"January, 2013","-7,81  (-1,6%)",484.04,485.19,479.79,479.79,80.500.630,1.140.507.000.000
"February, 2013","8,84  (1,9%)",465.72,476.41,465.72,474.56000000000006,53.252.280,785.204.000.000
"March, 2013","0,37  (0,08%)",487.0100000000001,492.96,48.35,491.04,38.988.610,600.343.000.000
"April, 2013","-2,08  (-0,44%)",477.04,479.12,474.43,474.5100000000001,31.271.830,484.359.000.000
"May, 2013","-3,06  (-0,59%)",526.58,526.58,518.39,518.39,150.130.800,2.526.351.000.000
"June, 2013","-1,82  (-0,38%)",484.84,485.94,479.94,481.13,62.412.303,1.093.718.000.000
"July, 2013","3,31  (0,68%)",48.81,49.31,48.71,491.85,41.623.310,789.632.000.000
"August, 2013","4,15  (0,89%)",469.64,47.27,462.13,47.27,35.495.698,739.284.000.000
"September, 2013","6,02  (1,24%)",487.12,492.65,48.67,492.63,68.463.830,1.022.359.000.000
"October, 2013","-1,66  (-0,33%)",500.04,500.59,497.41,497.41,43.344.990,687.975.000.000
"November, 2013","0,07  (0,01%)",507.42,508.78,506.05,507.78,101.245.300,1.153.155.000.000
"December, 2013","4,28  (0,86%)",500.04,506.44,499.49,504.63,60.922.914,869.515.000.000
"January, 2014","-3,67  (-0,66%)",560.45,560.49,556.35,556.52,67.551.730,1.171.597.000.000
"February, 2014","1,69  (0,29%)",586.12,591.36,581.63,586.48,119.408.907,2.241.698.000.000
"March, 2014","-2,72  (-0,46%)",594.29,597.22,591.5699999999999,591.5699999999999,119.514.830,2.098.740.000.000
"April, 2014","4,9  (0,85%)",570.64,578.21,570.64,57.8,50.435.143,917.117.000.000
